Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;
4.26. ПРИЕМ НА ОБУЧЕНИЕ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ;;;;;;;
 (тысяч человек);;;;;;;
;2005;2010;2013;2014;2015;2016;2017
Российская Федерация;1640,5;1399,5;1191,7;1221,8;1157,8;1142,0;1142,0
Центральный федеральный округ;499,8;416,3;360,8;380,1;358,0;352,7;352,7
Белгородская область;18,0;15,1;12,5;12,6;13,3;12,5;12,5
Брянская область;10,6;10,6;7,7;7,3;6,6;6,4;6,4
Владимирская область;13,3;11,0;7,8;8,7;8,1;7,4;7,4
Воронежская область;28,1;26,0;23,9;23,4;23,3;22,2;22,2
Ивановская область;11,2;10,6;6,8;7,5;7,0;6,9;6,9
Калужская область;6,5;7,0;5,7;5,2;5,1;5,1;5,1
Костромская область;4,8;4,6;3,3;3,2;2,8;2,7;2,7
Курская область;13,5;15,6;12,0;13,8;10,6;9,9;9,9
Липецкая область;8,3;7,6;5,6;6,0;6,3;6,2;6,2
Московская область;33,8;28,4;26,8;25,0;20,7;19,3;19,3
Орловская область;10,5;8,5;7,7;8,9;8,2;8,4;8,4
Рязанская область;11,3;10,5;8,4;8,5;8,2;8,5;8,5
Смоленская область;9,7;9,1;6,4;6,1;5,8;5,9;5,9
Тамбовская область;9,0;8,1;7,3;7,1;7,7;7,4;7,4
Тверская область;9,2;9,7;7,4;7,1;6,7;6,3;6,3
Тульская область;9,9;10,9;8,5;8,7;8,3;9,3;9,3
Ярославская область;13,6;11,0;8,8;9,1;8,3;8,4;8,4
г. Москва;278,3;212,0;194,2;212,0;201,0;199,7;199,7
Северо-Западный федеральный округ;174,1;148,0;116,0;123,6;119,4;121,1;121,1
Республика Карелия;5,9;4,9;3,4;3,2;2,7;2,8;2,8
Республика Коми;8,4;8,1;4,6;4,8;4,5;4,2;4,2
