Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;
Животноводство;;;;;;;;;
14.34. СРЕДНИЙ ГОДОВОЙ НАСТРИГ ШЕРСТИ С ОДНОЙ ОВЦЫ В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ;;;;;;;;;
"(в физическом весе; килограммов)";;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017
Астраханская область;2,6;2,7;2,2;2,4;2,2;1,9;1,9;2,0;1,9
Волгоградская область;3,2;3,1;2,6;3,0;2,8;2,7;3,0;2,8;3,0
Ростовская область;3,6;2,9;3,1;2,9;2,6;3,0;2,3;2,1;2,7
г. Севастополь;;;;;;-;-;-;-
Северо-Кавказский      федеральный округ;3,3;2,9;2,8;2,8;2,8;3,0;2,3;2,3;2,2
Республика Дагестан;2,2;2,0;1,9;2,3;2,3;2,5;2,4;2,3;2,3
Республика Ингушетия ;1,9;2,1;2,4;1,8;2,4;2,8;2,7;2,1;2,1
Кабардино-Балкарская Республика;1,0;0,6;0,6;0,5;0,5;1,0;1,0;0,9;0,9
Карачаево-Черкесская Республика;1,5;1,0;1,4;1,2;1,0;1,1;0,9;1,0;1,2
Республика Северная Осетия – Алания;0,9;0,1;0,1;0,5;0,2;0,3;0,4;0,4;0,0
Чеченская Республика ;3,0;2,1;2,2;1,8;1,4;1,8;1,9;1,6;1,9
Ставропольский край;3,9;3,5;3,5;3,4;3,5;3,4;3,5;3,4;3,0
Приволжский       федеральный округ;2,4;2,5;1,9;1,8;1,8;1,9;1,8;1,8;2,1
Республика Башкортостан;2,1;2,3;2,3;2,1;1,8;1,8;1,6;1,8;2,2
Республика Марий Эл;-;3,8;1,9;1,7;0,4;1,0;1,8;1,1;1,1
Республика Мордовия;1,3;1,4;…;…;…;…;…;1,1;1,0
Республика Татарстан;1,7;2,4;2,1;2,3;2,2;2,0;2,6;2,1;2,1
Удмуртская Республика;3,1;2,2;2,0;2,2;2,3;2,0;2,2;2,3;1,0
Чувашская Республика;2,6;1,3;0,8;0,8;1,3;0,8;1,0;1,4;0,9
Пермский край;0,0;…;…;…;0,6;0,5;0,3;0,7;0,5
Кировская область;0,5;1,6;…;0,7;0,6;0,5;…;…;…
Нижегородская область ;1,1;1,0;0,7;0,7;0,7;0,6;0,7;0,2;0,3
Оренбургская область;2,7;2,4;1,8;1,8;2,3;1,8;1,8;1,4;1,6
Пензенская область;1,8;1,8;0,9;0,8;0,8;0,8;1,3;0,6;0,3
Самарская область;2,5;2,7;2,7;2,1;2,6;2,2;2,3;2,3;2,7
Саратовская область;2,5;2,8;2,0;1,8;1,6;2,2;2,0;1,9;2,5
Ульяновская область;2,3;2,0;0,8;1,1;1,0;0,7;0,6;1,1;1,1
Уральский     федеральный округ;1,5;0,8;0,8;0,2;…;0,1;0,5;0,1;…
Курганская область;1,6;0,4;0,7;…;…;…;…;…;…
Свердловская область ;2,5;1,1;0,4;…;…;0,7;1,8;1,8;…
Тюменская область;0,8;…;1,2;…;…;…;0,6;…;…
в том числе:;;;;;;;;;
Ханты-Мансийский автономный    округ – Югра;0,0;…;…;…;…;…;…;…;…
Ямало-Ненецкий автономный округ;…;…;…;-;-;-;-;-;-
Тюменская область    без автономных округов;…;…;1,3;…;…;…;0,6;…;…
Челябинская область;2,0;1,7;0,9;0,9;…;…;…;…;…
Сибирский      федеральный округ;2,5;2,0;2,0;2,0;1,8;2,0;1,9;1,9;2,0
Республика Алтай;1,7;1,7;2,2;2,2;2,1;2,1;2,1;2,1;2,2
Республика Бурятия;2,7;2,8;2,5;2,2;2,1;2,1;2,2;2,1;2,2
Республика Тыва;1,3;1,2;1,1;1,1;1,1;1,2;1,1;1,4;1,4
Республика Хакасия;2,6;3,3;2,2;2,4;1,6;2,2;2,4;1,3;1,4
Алтайский край;3,1;2,4;2,2;2,2;1,7;1,5;1,0;1,9;1,7
Забайкальский край;3,2;2,5;2,6;2,6;2,4;3,0;2,6;2,6;2,9
Красноярский край;3,6;1,6;1,6;1,6;1,0;0,5;…;0,9;-
Иркутская область;2,3;1,1;1,3;0,8;1,0;1,3;1,7;1,2;1,8
Кемеровская область;0,0;1,2;0,4;0,6;1,5;1,3;1,9;1,5;0,8
Новосибирская область ;2,5;2,4;2,0;1,9;1,6;1,7;1,8;1,9;2,7
Омская область;3,0;2,3;2,0;2,3;1,9;2,4;2,8;3,5;3,7
Томская область;2,0;…;…;…;…;…;…;…;…
Дальневосточный      федеральный округ;0,8;0,0;…;…;…;…;…;…;…
Республика Саха (Якутия);-;-;-;-;-;-;-;-;-
Камчатский  край;0,3;…;…;…;…;…;…;…;…
Приморский край;1,0;0,1;…;…;…;…;…;…;…
Хабаровский край;0,0;…;…;…;…;…;…;…;…
Амурская область;0,5;…;…;…;…;…;…;…;…
Магаданская область;-;-;-;-;-;-;-;-;-
Сахалинская область;-;-;-;-;-;-;-;-;-
Еврейская автономная область;0,0;-;-;-;-;-;-;-;…
Чукотский автономный округ;-;-;-;-;-;-;-;-;-
