;;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
GOV;говядина, кг в месяц;53,0;34,5;43,1;59,6;49,3;56,8;49,1;42,8;35,1;40,6;38,6;44,6;58,0;62,8;61,6;67,4;77,8;80,7;78,3;85,0;78,8;79,3;87,3
MOL;молоко питьевое, л в месяц;886,8;417,6;497,0;369,1;238,5;258,6;313,6;305,4;271,4;313,0;334,0;394,1;464,2;497,0;543,1;619,4;666,2;603,7;585,5;548,6;519,1;602,2;630,5
TVO;творог, кг в месяц;223,8;86,3;113,4;93,2;70,8;76,2;80,3;76,7;67,2;77,3;77,4;88,8;106,4;111,6;119,0;131,0;139,1;121,1;130,1;131,6;125,9;134,6;139,2
YAY;яйца куриные, шт. в месяц;1880;1229;1794;1632;1329;1400;1612;1532;1372;1700;1845;2271;2789;2846;3383;4312;4421;4209;4890;5548;5624;5939;5832
SAH;сахар-песок, кг в месяц;209,8;68,5;117,1;202,0;139,6;194,7;224,4;177,2;160,7;190,5;197,3;239,3;263,1;326,2;406,4;391,3;569,5;624,0;553,7;525,5;549,2;718,0;795,1
MPO;масло подсолнечное, кг в месяц;128,4;56,7;87,6;90,3;63,2;83,5;107,6;77,4;61,6;96,6;118,3;109,8;139,7;167,2;202,1;256,2;281,7;206,0;268,4;315,5;268,1;314,0;333,7
MSL;масло сливочное, кг в месяц;52,3;19,6;33,0;45,7;26,4;37,2;41,0;34,6;25,9;35,2;44,2;54,0;62,4;71,7;82,6;95,4;102,1;88,4;93,8;89,1;83,4;91,4;93,6
KAR;картофель, кг в месяц;338,1;256,9;489,7;421,1;299,6;378,8;480,9;434,2;294,7;394,0;499,8;468,7;505,6;777,4;794,1;791,5;930,6;811,1;976,4;928,9;823,0;1372,4;1123,4
MPS;мука пшеничная, кг в месяц;356,1;194,6;434,2;380,1;267,7;240,2;285,9;307,1;266,2;284,5;359,3;480,4;564,0;484,1;650,4;807,3;855,9;718,1;813,5;975,7;997,1;1090,2;957,5
HLE;хлеб и булочные изделия из пшеничной муки, кг в месяц;552,9;241,7;508,5;294,6;205,1;175,4;199,5;208,9;221,1;228,9;267,1;326,0;370,7;351,4;424,3;497,0;530,1;480,6;506,4;560,2;574,2;610,6;594,1
RIS;рис шлифованный, кг в месяц;233,8;116,2;270,1;300,5;156,2;153,3;190,6;153,9;103,1;159,2;230,7;262,5;324,9;339,1;383,1;449,0;457,5;380,3;364,4;446,5;500,5;590,6;620,9
KRU;крупы, кг в месяц;338,1;142,4;306,3;284,5;220,7;187,9;232,3;225,7;206,6;224,9;326,3;418,1;397,5;437,5;591,3;682,0;736,2;635,0;732,8;755,9;525,1;812,8;828,6
