;;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
TEL;телевизоры, шт.;137;134;125;124;124;124;124;126;129;133;135;138;144;149;154;160;164;170;174;178
VID;видеомагнитофоны, видеокамеры3), шт.;9;15;25;39;43;46;48;50;54;57;62;66;67;62;60;58;49;46;46;47
PC;персональные компьютеры, шт.;;;;;;;;7;10;13;20;26;33;42;48;55;63;75;86;100
MOB;мобильные телефоны, шт.;;;;;;;;5;9;25;55;104;142;178;200;217;228;237;244;250
MUS;музыкальные центры, шт.;;;;;;;12;16;21;24;28;34;36;38;38;39;39;40;38;39
HOL;холодильники, морозильники, шт.;114;116;112;112;113;113;113;113;114;114;114;117;118;119;121;123;121;122;125;126
STM;стиральные машины, шт.;102;100;99;98;97;97;98;93;93;93;94;97;99;100;100;101;99;101;101;101
EP;электропылесосы, шт.;77;77;79;79;80;81;82;75;77;78;80;84;87;88;89;92;92;93;93;95
MVP;микроволновые печи, шт.;;;;;;;;;;;;25;32;39;45;51;61;65;69;72
PMM;посудомоечные машины, шт.;;;;;;;;;;;;1;2;2;2;3;3;4;5;7
KON;кондиционеры шт.;;;;;;;;;;;;3;4;5;6;8;8;10;12;17
SVE;швейные, вязальные машины, шт.;75;74;74;72;73;73;73;63;62;60;58;60;58;57;54;53;43;42;40;41
