СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;
импорт товаров Российской Федерации со странами дальнего зарубежья, млн. долл. США;28344;33117;31909;38889;32266;21935;22276;30681;36014;44207;57856;79712;115433;169875;230494;145530;197184;260920;272323;276310;253776;161693;162658;202877;212026;;;;;;;;;;;;;;;
импорт товаров Российской Федерации со странами СНГ, млн  долл. США;10317;13592;14549;14234;11313;8343;11604;11202;10163;13139;17713;18996;22374;29878;36607;21818;31728;44841;44941;38988;33287;21210;19790;24993;26468;;;;;;;;;;;;;;;
Сальдо торгового баланса Российской Федерации (по методологии платежного баланса)1), млн долл.США - всего;18025;20291;20848;14157;16203;32395;57089;45236;43650;55846;83616;116185;134294;123447;177625;113231;146995;196854;191663;180566;188931;148398;90215;114719;194429;;;;;;;;;;;;;;;
         в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
сальдо торгового баланса Российской Федерации со странами дальнего зарубежья, млн  долл. США;15245;21164;22815;13490;14365;30209;55134;42004;38075;48248;71898;102985;114460;100679;143827;89339;120398;162885;155371;148891;156254;121546;70848;89949;164290;;;;;;;;;;;;;;;
сальдо торгового баланса Российской Федерации со странами СНГ, млн  долл. США;2780;-873;-1967;668;1838;2185;1955;3231;5575;7599;11718;13200;19834;22768;33798;23891;26597;33969;36291;31675;32677;26852;19366;24770;30139;;;;;;;;;;;;;;;
Экспорт услуг Российской Федерации1), млн  долл. США;;10567;13281;14080;12372;9067;9565;11441;13611;16229;20595;28845;35719;43860;57136;45797;49159;58039;62340;70123;65744;51616;50644;57631;64626;;;;;;;;;;;;;;;
Импорт услуг Российской Федерации1), млн .долл. США;;20205;18665;20025;16456;13351;16230;20572;23497;27122;33287;40471;46273;60578;77556;63397;75279;91495;108927;128382;121022;88768;74602;88864;94564;;;;;;;;;;;;;;;
1) Начиная с итогов за апрель 2014 г. с учетом данных по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Цены внешней торговли1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Средние фактические экспортные цены на основные товары, долларов США за тонну;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Мясо свежее и мороженое (без мяса    птицы);;1437;…;…;…;1000;1088;1867;1433;1308;1689;1929;2456;2279;3178;3588;3351;5196;5273;5931;5553;2881;2452;2595;2879;;;;;;;;;;;;;;;
Мясо птицы свежее и мороженое;;1222;…;…;…;800;978;1133;1107;968;1781;1820;1572;1934;2012;1069;931;1269;1175;1166;1055;1060;1023;1059;1040;;;;;;;;;;;;;;;
Рыба свежая и мороженая;;973;…;…;…;1087;1113;1086;940;989;1073;1197;1365;1503;1621;1426;1513;1625;1654;1627;1839;1683;1638;1588;1802;;;;;;;;;;;;;;;
Ракообразные и моллюски;;8643;…;…;…;4127;3983;4441;3476;6019;5166;5296;5596;7972;7353;6845;6322;6859;7319;7949;8242;7958;8317;10346;11246;;;;;;;;;;;;;;;
Молоко и сливки, несгущенные;;…;…;…;…;515;515;391;413;473;611;558;726;931;1142;869;930;977;1153;1129;1181;591;535;691;731;;;;;;;;;;;;;;;
Молоко и сливки, сгущенные;;1287;…;…;…;899;977;1100;799;1090;1103;1206;1290;1578;1898;1601;1423;1927;1735;2100;2028;1293;1222;1429;1261;;;;;;;;;;;;;;;
Масло сливочное;;…;…;…;…;1682;1378;1224;1239;1193;1443;1310;1657;2161;2261;2353;3697;3830;3943;4256;2427;2676;2476;3200;3426;;;;;;;;;;;;;;;
Картофель свежий или охлажденный;;238;…;…;…;186;92,6;79,9;128;123;111;125;146;156;165;140;170;189;236;262;203;106;101;127;122;;;;;;;;;;;;;;;
Горох сушеный;;…;…;…;…;…;…;140;112;146;133;130;154;291;331;202;229;292;324;331;307;274;285;231;199;;;;;;;;;;;;;;;
Злаки;;86,1;…;…;…;81,3;108;88,4;75,7;101;118;112;141;247;242;159;174;243;278;250;235;184;165;173;191;;;;;;;;;;;;;;;
из них:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
пшеница и меслин;;137;…;…;…;80,1;117;88,7;75,7;103;116;110;141;250;245;164;175;242;281;252;245;186;166;175;192;;;;;;;;;;;;;;;
ячмень;;77,2;…;…;…;71,8;87,2;82;72,6;98,9;116;115;125;224;220;126;128;238;262;238;196;178;148;158;188;;;;;;;;;;;;;;;
Крупа;;281;…;…;…;360;347;247;210;353;375;305;393;459;608;413;505;770;577;614;540;495;495;447;409;;;;;;;;;;;;;;;
Масло подсолнечное, сафлоровое или хлопковое и их фракции;;913;…;…;…;612;419;519;664;701;721;649;580;787;1407;803;676;1152;1132;1085;875;824;804;765;762;;;;;;;;;;;;;;;
Готовые или консервированные продукты из мяса;;1858;…;…;…;1788;1524;1474;1595;1439;1455;1332;1657;2113;2341;2242;2521;3353;2690;2654;2702;2039;2087;2403;2414;;;;;;;;;;;;;;;
Готовая или консервированная рыба;;8043;…;…;…;3730;2667;2454;2238;1547;1517;1549;1938;2241;2686;2795;2785;3248;3527;3132;2626;2265;2455;2867;3481;;;;;;;;;;;;;;;
Сахар белый ;;534;…;…;…;333;276;296;233;273;274;260;445;409;472;423;716;828;714;866;815;869;558;491;471;;;;;;;;;;;;;;;
Макаронные изделия;;669;…;…;…;500;611;617;603;667;563;660;707;8509;1209;924;903;1207;1154;1416;1342;1028;910;962;869;;;;;;;;;;;;;;;
Соль, пригодная для употребления в пищу;;…;…;…;…;…;…;44634;…;…;…;…;70,4;80,1;104;108;165;190;189;193;143;103;101;119;109;;;;;;;;;;;;;;;
Фосфаты кальция;;47,3;…;…;…;41,1;39,4;40,3;37,6;41,3;49,5;63,4;72,3;74,8;275;179;140;228;246;207;160;166;153;130;119;;;;;;;;;;;;;;;
Руды и концентраты железные;;23,1;…;…;…;14,8;15,8;14,8;15,1;16,2;30,1;47,7;39,3;51,0;89,2;44,5;83,4;118;97,7;93,0;84,8;47,7;43,3;75,4;82,3;;;;;;;;;;;;;;;
