СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
8. КУЛЬТУРА;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Число профессиональных театров1);393;421;439;460;470;489;506;523;539;547;556;571;568;579;588;590;594;586;601;604;618;643;658;661;665;651;649;657
Численность зрителей в театрах1), млн человек;50,5;44,2;41,4;34,6;31,6;29,1;27,7;27,6;29,3;30,8;31;30,1;29,1;28,2;28;28,6;29,3;30,4;30,2;31;32,9;33,9;35,8;37,2;38,2;38,9;39,6;40,8
Число цирков;45;77;73;72;70;62;68;68;68;62;63;64;71;66;67;67;68;68;66;68;68;67;67;63;67;65;66;60
Численность зрителей в цирках1), млнчеловек;15,1;21,5;14,1;13,1;11,1;11,3;9,6;8,2;8,6;8,6;8,9;8,1;7,5;6,7;6,8;6,5;6,9;7,4;6,3;11,32);11,5;10,8;5,6;5,1;4,2;4,2;5,8;4,9
Число музеев1) ;1282;1425;1478;1547;1725;1814;1871;1942;1979;2047;2113;2189;2229;2269;2285;2368;2468;2495;2539;2578;2631;2687;2727;2731;2758;2742;2742;2809
Число посещений музеев1), млн;114,4;95,0;79,8;62,5;75,4;69,0;69,6;66,8;72,3;73,2;74,3;75,1;73,8;74,3;75,6;79,2;78,8;80,8;78,9;81,0;85,9;90,1;95,8;102,7;119,0;123,6;117,4;113,8
Число объектов культурного и археологического наследия1), тыс.;49,6;52,4;55,1;57,1;64,5;70,3;78;84,8;84,9;84,9;85;83,6;87,8;87,7;87,8;89,3;131,1;142,7;142,5;143,4;185,1;175,9;180,1;172,5;171,1;168,0;158,1;149,3
Число организаций культурно-досугового типа1), тыс.;70,1;66,0;63,7;61,3;59,9;58,6;57,4;56,1;55,1;54,8;54,8;54,2;53,6;52,9;51,4;49,5;49,5;48,4;47,4;46,6;45,0;43,7;42,4;42,1;40,3;41,3;42,5;42,8
Число общедоступных библиотек1), тыс.;59,1;57,2;56,9;54,8;54,4;53,5;52,9;52,2;51,4;51,2;51,2;51,0;50,6;49,9;49,5;48,3;47,5;47,0;46,7;46,1;43,2;40,8;39,8;40,1;39,0;38,2;37,4;37,1
Библиотечный фонд1), млн экз.;1083;1063;1034;1117;1105;1082;1069;1053;1034;1027;1022;1014;1007;988;977;958;945;942;934;923;888;864;851;854;839;831;818;810
Число книг и брошюр (печатных единиц)2), тыс.;34;29;29;30;34;36;45;46;48;60;70;70;81;89;96;102;109;123;128;122;123;117;121;112;112;117;117;117
Число журналов и других периодических изданий2);3353;2664;2273;2307;2471;2751;3308;3420;3358;3570;4139;4315;4551;4674;4874;5429;6312;6698;7312;7049;7812;8051;8598;8846;8847;8177;8032;7678
Число газет (изданий)2);4863;4837;4650;4526;5101;4881;5500;5436;5535;5758;5532;6663;8086;7517;7535;8250;8516;8978;9563;9659;10152;10681;11109;11061;10504;10051;9542;8984
Охват населением теле- и радиовещанием3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Имеют возможность принимать телевизионные программы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Наземного эфирного аналового телевещания;;;;;;;;;;;;;;;;;;;;98,6;98,7;98,9;97,9;97,2;97,6;97,6;97,8;97,7
Цифрового телевещания;;;;;;;;;;;;;;;;;;;;6,0;18,3;30,8;44,0;61,5;71,0;88,5;97,4;98,6
Общероссийские обязательные общедоступные телеканалы эфирного аналогового телевещания:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""Россия""";;;;;;;;;;;;;;;;;;;;94,4;95,9;96,1;95,0;94,1;92,6;94,0;94,0;93,6
"""Россия-Культура""";;;;;;;;;;;;;;;;;;;;63,3;65,3;66,0;65,0;65,7;55,0;53,5;54,4;54,3
"""Россия-24""";;;;;;;;;;;;;;;;;;;;…;;;33,3;21,6;30,8;34,6;26,0;21,8
Первый канал;;;;;;;;;;;;;;;;;;;;96,4;97,4;97,6;96,4;95,7;96,4;96,6;96,3;96,1
Телекомпания НТВ;;;;;;;;;;;;;;;;;;;;64,2;67,5;68,2;66,6;66,3;66,5;66,6;66,8;66,3
Тпетербург - 5 канал;;;;;;;;;;;;;;;;;;;;51,8;,,,;,,,;61,2;61,8;62,5;62,1;62,6;63,7
"""Россия-2""";;;;;;;;;;;;;;;;;;;;,,,;,,,;,,,;48,8;47,1;43,8;48,4;47,7;48,2
ТВ-Центр - Москва;;;;;;;;;;;;;;;;;;;;,,,;,,,;,,,;42,1;44,1;45,0;47,1;49,7;50,7
Имеют возможность принимать радиопрограмму;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Радио России;;;;;;;;;;;;;;;;;;;;93,4;94,4;92,4;92,2;87,9;85,8;82,6;82,5;83,9
Маяк;;;;;;;;;;;;;;;;;;;;85,0;86,8;82,3;59,1;53,9;55,6;56,1;56,9;57,8
Вести FM;;;;;;;;;;;;;;;;;;;;14,5;21,5;24,8;27,6;30,3;35,4;44,7;49,2;49,6
1) По данным Минкультуры России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2) По данным филиала ""Российская книжная палата"" ФГУП  ИТАР-ТАСС, ТАСС.";;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) По данным Минкомсвязи России.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
