СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
"осударственное управление и обеспечение военной безопасности; социальное обеспечение";;;;;;;;;;;;;;;;;;;;;;;;;;;11657732;12122636
образование;;;;;;;;;;;;;;;;;;;;;;;;;;;4807941;5220952
деятельность в области здравоохранения и социальных услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;4054083;4347744
деятельность в области культуры, спорта, организации досуга и развлечений;;;;;;;;;;;;;;;;;;;;;;;;;;;1888338;2119910
предоставление прочих видов услуг;;;;;;;;;;;;;;;;;;;;;;;;;;;422572;442939
Степень износа основных фондов на конец года, в процентах;35,4;42,5;33,7;41,3;39,5;37,8;41,0;41,6;41,7;39,3;41,1;44,0;43,0;41,9;45,2;46,3;46,2;45,3;45,3;47,1;47,9;47,7;48,2;49,4;47,7;48,1;47,3;46,6
Удельный вес полностью изношенных основных фондов на конец года, в процентах от общего объема основных фондов4);;;7,5;11,4;9,5;9,9;10,9;11,5;11,9;12,7;13,6;17,1;15,0;14,8;13,3;13,3;12,9;13,1;13,0;13,5;14,4;14,0;14,6;14,9;15,8;16,9;17,9;18,7
"Коэффициент обновления основных фондов (в сопоставимых ценах)5);6), в процентах";5,5;3,6;2,5;2,1;1,9;1,6;1,4;1,3;1,4;1,8;2,1;2,2;2,5;2,7;3,0;3,3;4,0;4,4;4,1;3,7;4,6;4,8;4,6;4,3;3,9;4,4;4,3;4,7
"Коэффициент выбытия основных фондов (в сопоставимых ценах)5);6), в процентах ";2,1;1,6;1,9;2,0;1,9;1,7;1,6;1,4;1,2;1,3;1,3;1,3;1,2;1,1;1,1;1,0;1,0;1,0;1,0;0,8;0,8;0,7;0,7;0,8;1,0;0,8;0,7;0,7
"Индекс физического объема основных фондов (в сопоставимых ценах)5);7), в процентах к предыдущему году";103,5;102,0;100,6;99,9;100,1;99,9;99,6;99,7;100,2;100,5;100,9;101,0;101,3;101,6;101,9;102,4;103,1;103,6;103,2;103,0;104;104,3;104,1;103,7;103,2;103,9;103,8;104,2
1) С 2011 г. - с учетом переоценки, проведенной на конец года.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Начиная с 2010 г. данные уточнены, расчеты проведены по полному кругу организаций с учетом основных фондов Банка России и основных фондов, находящихся в государственной казне.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) По видам экономической деятельности (по ОКВЭД) разработка показателей осуществляется с 2004 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) По коммерческим организациям (без субъектов малого предпринимательства).;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5) Cопоставимые цены 2000 г.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6) Данные за 2014 г. без учета сведений по Республике Крым и г.Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7) В целях обеспечения статистической сопоставимости относительный показатель  по Российской Федерации за 2014 г. рассчитан без учета данных по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
