СОЦИАЛЬНО-ЭКОНОМИЧЕСКИЕ ПОКАЗАТЕЛИ РОССИЙСКОЙ ФЕДЕРАЦИИ В 1991-2018 гг.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ПОКАЗАТЕЛИ ;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
11. СИСТЕМА НАЦИОНАЛЬНЫХ СЧЕТОВ*);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Показатели национальных счетов;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Валовой внутренний продукт, млрд руб.(1992-1997 гг.- трлн руб);1,4;19,0;171,5;610,7;1428,5;2007,8;2342,5;2629,6;4823,2;7305,6;8943,6;10830,5;13208,2;17027,2;21609,8;26917,2;33247,5;41276,8;38807,2;46308,5;60282,5;68163,9;73133,9;79058484,0;83094,3;86014,2;92101,3;103875,8
на душу населения1), руб.(1992-1997 гг.- тыс.руб);9,4;128,0;1155,3;4115,3;9627,7;13551,7;15836,9;17807,3;32763,2;49834,9;61267,3;74535,8;91312,5;118189,1;150571,0;188166,9;232817,4;289170,3;271787,1;324177,2;421671,5;475999,0;509619,0;541160,6;567560,8;586429,2;627212,2;707453,5
Темпы роста ВВП (в постоянных ценах), в процентах к предыдущему году;95,0;85,5;91,3;87,3;95,9;96,4;101,4;94,7;106,4;110,0;105,1;104,7;107,3;107,2;106,4;108,2;108,5;105,2;92,2;104,5;104,3;103,7;101,8;100,7;97,7;100,3;101,6;102,3
Индекс-дефлятор ВВП, в процентах к предыдущему году2) ;228,6;1589,5;988,4;407,9;243,9;145,8;115,1;118,6;172,5;137,6;116,5;115,6;113,8;120,3;119,3;115,2;113,8;118,0;102,0;114,2;…;109,1;105,4;107,5;107,6;103,2;105,4;110,3
"Динамика валового внутреннего продукта ( в постоянных ценах; 2011 г.- 100%)";85,0;72,6;66,3;57,9;55,5;53,5;54,3;51,4;54,6;60,1;63,2;66,2;71,0;76,1;80,9;87,5;95,0;100,0;92,2;96,3;100,0;103,7;105,6;106,3;103,8;104,2;105,9;108,3
1) За 2003-2010 гг. показатели рассчитаны с использованием численности населения с учетом итогов Всероссийской переписи населения 2010 года.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Индекс-дефлятор за 2011. не публикуется в связи с различной методологией расчёта валовой добавленной стоимости в текущих ценах за 2010, 2011 гг. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Счет товаров и услуг (в текущих ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресурсы;2844,8;48591,6;373338,4;1233905,3;3246420,0;4417435,9;5069837,4;5465974,2;10060912,0;15141463,9;19186204,8;22885944,1;28015493,2;35432909,9;44760977,1;55817144,1;69677385,3;86806795,2;81046669,9;98112692,6;121169557,2;136046694,1;147349551,1;159488588,5;171576438,1;180084497,3;194348050,7;218184828,2
Выпуск в основных ценах;2612,1;39083,7;305481,0;1044341,5;2767620,5;3799125,9;4327531,3;4573977,1;8303202,6;12552211,7;15922787,8;18990498,6;23273089,5;29490622,6;37020602,0;46223866,5;57752132,5;71601657,9;68116448,0;82054614,9;100960390,7;113092172,5;123165485,1;132844907,0;145956162,4;153856534,7;166329337,9;185534251,4
Импорт товаров и услуг;181,6;9173,2;52300,0;141665,5;369902,7;438694,0;527711,4;645633,8;1262349,2;1755804,7;2165927,7;2646204,1;3153920,2;3773863,5;4648275,4;5653419,9;7162210,8;9110986,5;7954327,1;9789614,0;12010756,9;13786871,7;14919620,8;16351535,5;17153423,3;17689044,9;19072953,0;21574303,8
