;1990;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Российская Федерация;1243;2014;2033;1739;1906;2009;2477;2695;2509;2249;2097;1840;1682
Центральный федеральный округ;882;1562;1580;1496;1694;1734;2048;2119;2001;1811;1747;1566;1465
Белгородская область;882;1323;1350;1198;1264;1280;1670;1594;1396;1256;1307;1099;1036
Брянская область;1067;2107;1981;1510;1809;1856;2321;2191;2148;2049;1982;1833;1533
Владимирская область;954;2031;2131;1749;1913;2140;2471;2497;2296;1956;1898;1775;1659
Воронежская область;903;1606;1701;1433;1626;1593;1854;1737;1716;1483;1337;1177;1158
Ивановская область;1033;2367;2376;1911;2266;2170;2377;2462;2302;1939;1827;1771;1628
Калужская область;853;1996;1918;1521;1766;2026;2541;2541;2263;2095;1938;1776;1496
Костромская область;962;2446;2744;1969;2197;2214;2466;2345;2007;1640;1587;1480;1394
Курская область;743;1962;1858;1580;1659;1808;2208;2680;2474;1974;1798;1620;1504
Липецкая область;821;1516;1455;1318;1265;1155;1554;1642;1684;1658;1510;1385;1315
Московская область;789;1302;1250;1132;1269;1327;1722;1891;1859;1750;1731;1620;1592
Орловская область;842;1756;1615;1920;1901;1941;2282;2512;2478;2106;1897;1730;1610
Рязанская область;993;1229;1243;952;1023;963;1450;1373;1175;1155;951;916;845
Смоленская область;1099;2196;2093;1900;2070;2312;2779;2738;2423;2297;2291;2116;1856
Тамбовская область;991;1634;1646;1333;1326;1395;2002;2046;1811;1585;1452;1260;1247
Тверская область;1190;1965;1946;1842;1967;2037;2850;2964;2795;2585;2473;2202;2150
Тульская область;1052;1619;1646;1178;1116;1170;1261;1306;1229;1150;1145;1023;949
Ярославская область;1398;2562;2355;2258;2380;2754;3420;3097;2681;2288;2077;1673;1454
г. Москва;673;1092;1236;1582;1976;1933;2014;2157;2070;1886;1871;1622;1500
Северо-Западный;1305;2276;2255;1806;1820;1983;2371;2528;2369;2072;1958;1713;1607
Республика Карелия;1490;2550;2620;1861;2296;2225;2257;2634;2190;2393;2421;2129;2224
Республика Коми;1381;2271;2447;2284;2726;2695;3191;3728;3017;2648;2576;2176;1928
Архангельская область;1386;2051;2041;1672;1762;2146;2425;2937;2860;2443;2152;2022;2033
в том числе Ненецкий;…;1866;1902;1857;1981;2067;2131;1994;1920;2304;2313;2038;1826
Вологодская область;1138;2677;2603;2158;2415;2710;2997;2851;2805;2446;2275;2027;2108
Калинингpадская область;1382;2304;2579;2123;2368;2560;2407;2505;2319;2039;2108;1792;1609
Ленинградская область;1620;2587;2639;1885;1774;1906;2144;2163;2117;1896;1895;1658;1429
Мурманская область;1042;1817;1975;1728;1685;1628;2152;2612;2540;2349;2048;2113;2019
Новгородская область;1381;2517;2411;1966;1901;1835;2298;2485;2340;2269;2190;1841;1773
Псковская область;1654;2640;2347;1724;2074;2176;2546;2613;2358;2117;1918;1820;1689
г. Санкт-Петербург;1151;2066;1935;1546;1285;1522;2135;2191;2098;1712;1602;1323;1204
Южный федеральный округ;1258;1790;1730;1435;1486;1491;1715;1995;1972;1819;1643;1480;1397
Республика Адыгея;…;2071;1437;1103;1174;1270;1363;1422;1179;1077;1107;1063;1035
Республика Калмыкия;1323;1743;1698;1494;1730;1582;1861;2007;1859;1880;1594;1401;1320
Краснодарский край;1336;1571;1516;1205;1139;1104;1239;1638;1597;1375;1307;1260;1262
