Пензенская область;17;135183;180559;228396;243758;262655;315061;377811;446113;533261;579673;613333
Самарская область;46;513679;729525;886148;966882;1056262;1154449;1333971;1528511;1652795;1775376;2005380
Саратовская область;36;292971;458337;520351;532388;556180;630917;764456;907459;991128;1108845;1215058
Ульяновская область;17;134398;173256;200197;212287;234805;260362;308080;352257;430413;469472;525557
Уральский;249;2495342;5069686;5812297;6267153;7935967;9209054;10955498;13269958;14526823;16840119;19435141
федеральный округ;;;;;;;;;;;;
Курганская область;13;105205;146404;177444;186289;213335;242086;325899;368000;416057;474482;521738
Свердловская область;60;607927;954194;1105279;1142985;1424665;1509597;1746705;2063335;2247358;2561776;3285624
Тюменская область;132;1350459;3416427;3780191;4125299;5405244;6462995;7581168;9357677;10315779;12115952;13758304
в том числе:;;;;;;;;;;;;
Ханты-Мансийский автономный округ;…;865096;1765170;1969088;2203663;2903606;3346899;4007371;4852290;5423503;6382571;6888515
Ямало-Ненецкий;…;298875;1276960;1411989;1561226;2088400;2491843;2797387;3742708;4002082;4699979;5687176
автономный округ;;;;;;;;;;;;
Челябинская область;44;431751;552661;749383;812580;892723;994376;1301726;1480946;1547629;1687909;1869475
Сибирский;278;2310955;3215231;3751440;3988065;4458879;5021477;6212843;7183950;8288137;9071296;10256100
федеральный округ;;;;;;;;;;;;
Республика Алтай;...;15372;17748;19576;20385;22026;26506;36386;40300;44595;49786;61628
Республика Бурятия;13;107029;166665;188615;200509;221056;206590;299067;343681;375160;402856;430210
Республика Тыва;3;15831;15984;18232;18680;19490;22158;27975;31718;36141;39154;47409
Республика Хакасия;...;64529;87598;107799;117068;120518;141252;186212;225192;230085;246369;292915
Алтайский край;29;203441;256888;320439;359417;382472;445470;545300;615342;670720;712242;757632
Забайкальский край;13;125252;226267;250341;260582;316690;384530;454018;512955;559907;592903;650405
Красноярский край;62;406756;585508;693145;750452;823467;927280;1099859;1261951;1472018;1628414;1815754
Иркутская область;43;366685;517510;576236;563456;651069;674969;826755;1056433;1472728;1641443;1975486
Кемеровская область;40;332002;425676;486882;530233;629492;745812;924027;1058631;1152849;1259707;1406912
Новосибирская область;32;320944;440046;511803;545077;595609;682585;820667;939236;1055081;1172183;1229181
Омская область;26;191993;261674;310513;326879;357195;402762;503481;552613;599347;652835;725451
Томская область;17;161121;213667;267859;295327;319795;361563;489096;545898;619506;673404;863117
Дальневосточный;141;1144282;1482381;1849684;1991989;2214245;2485870;2979000;3424690;4290077;4675943;6080300
федеральный округ;;;;;;;;;;;;
Республика Саха (Якутия);24;227793;280473;357706;389591;450823;506544;590058;657603;733665;776760;921586
Камчатский край;9;63975;72382;85851;94084;100939;113962;158848;169981;180548;194506;242183
Приморский край;33;180681;294027;407011;446027;457446;476660;581679;634614;799882;912847;1695166
Хабаровский край;26;309666;332389;371876;395949;437286;489476;596954;670723;752349;809105;1041749
Амурская область;17;165136;254061;325363;339012;384833;411171;473453;493989;530204;562364;623125
Магаданская область;15;48680;68306;78048;86131;93758;100547;115027;122805;136348;144914;150356
Сахалинская область;17;106273;130229;164880;174132;207065;287633;332989;522887;996746;1091696;1208172
Еврейская автономная область;...;23185;36365;42653;45180;52480;72817;96110;104532;97291;107363;116967
Чукотский автономный округ;...;18893;14149;16296;21883;29615;27060;33882;47556;63044;76388;80996
