Республика Татарстан;6,5;44716;56385;56709;70302;99552;139361;160606;214558;273098;277573;328944;386145
Удмуртская Республика;2,5;9904;13603;11477;13068;15540;26876;34312;44565;53536;40450;51148;60899
Чувашская Республика;1,9;4940;6225;8203;10949;15233;19445;25861;38069;50473;35688;42612;55522
Пермский край;5;27516;37977;38894;39679;50973;56800;75519;122480;152363;132274;139652;133921
Кировская область;2,3;4275;4875;5577;7532;11112;17088;24185;37389;42672;31471;34553;37800
Нижегородская область;5,4;15383;18218;27593;37399;52205;64581;89272;133189;207392;201692;192072;221686
Оренбургская область;3,4;15005;18229;18097;21018;28606;39993;52953;80353;108868;91268;103648;113004
Пензенская область;1,9;3956;6107;6820;8619;11166;15689;25459;44023;52632;43603;45678;57125
Самарская область;4,5;23125;32541;39969;46458;60491;67206;88560;137127;148262;111189;164852;198744
Саратовская область;3,9;13506;14398;17631;20733;24337;40435;46993;56710;83221;67760;80041;100686
Ульяновская область;2,3;4187;5005;6115;6917;11474;14711;21882;34970;48507;49500;47993;61768
Уральский;39;250731;330984;383378;445954;534467;593370;801479;1113151;1482552;1337857;1492761;1869904
федеральный округ;;;;;;;;;;;;;
Курганская область;1,7;2522;3210;4108;5879;6059;8628;13916;19043;33437;35021;25573;27955
Свердловская область;6,3;25895;30219;40886;53700;75901;91019;133476;187314;242634;200368;266374;371938
Тюменская область;26;200065;267293;304979;349712;393503;420875;564887;775868;1025474;957021;1049693;1295650
в том числе:;;;;;;;;;;;;;
Ханты-Мансийский;11,8;107173;153710;157282;163212;192205;223318;306570;381342;482584;472195;507172;648649
автономный округ – Югра;;;;;;;;;;;;;
Ямало-Ненецкий;8,7;82458;99734;130487;165420;164647;141234;170738;287954;399611;344336;387696;469227
автономный округ;;;;;;;;;;;;;
Челябинская область;5;22250;30261;33405;36663;59004;72848;89200;130926;181006;145446;151121;174362
Сибирский;36,9;98647;135116;150109;193614;255399;346105;483721;708951;945556;834593;977816;1214665
федеральный округ;;;;;;;;;;;;;
Республика Алтай;0,2;615;1130;1290;1187;2149;2914;4080;5967;7591;7169;9522;11802
Республика Бурятия;1,6;3477;5747;6444;10116;8403;9606;15928;19457;23605;23379;33569;41017
Республика Тыва;0,4;282;582;652;828;991;1293;1975;2396;3756;5188;7236;7033
Республика Хакасия;0,8;1812;2646;2749;4080;6284;10328;19516;17420;13312;12837;22109;38064
Алтайский край;3,7;6731;8420;10213;13365;15306;21344;29285;42643;55965;45026;54580;70833
Забайкальский край;2;6810;8766;6905;11453;15660;17402;22421;32057;47445;42271;44825;51557
Красноярский край;6,9;25457;33758;31759;37199;49089;71388;92587;120833;204171;247789;266910;303885
Иркутская область;5,9;10814;15234;17313;22123;26014;36675;70672;121878;129951;106550;119395;137995
Кемеровская область;5,3;17380;20427;23697;28548;56525;80315;91032;115681;152887;110074;155646;225131
Новосибирская область;4,2;10805;14151;17455;22402;28902;36829;51176;89474;133410;100448;113232;142078
Омская область;3;5160;8625;13333;18932;23437;38611;47039;69506;87509;59184;73196;83342
Томская область;2,7;9304;15632;18298;23383;22641;19401;38011;71640;85954;74679;77598;101927
Дальневосточный;19,6;53589;85743;113779;135723;216743;276291;330825;436849;584745;686111;787699;1013906
 федеральный округ;;;;;;;;;;;;;
Республика Саха (Якутия);4,2;15809;21850;25922;30448;34387;48978;56619;119825;156954;192648;130493;165972
Камчатский край;1,1;3546;3398;3925;6807;5476;7060;8337;13019;16520;24385;32615;33843
Приморский край;4,4;7332;9922;13452;15271;18614;28499;34233;46988;76970;149813;208209;278378
Хабаровский край;3,1;11605;14876;20095;25116;34592;39166;47281;64544;83675;96974;156439;176654
Амурская область;2,4;4051;14164;13632;18217;22032;23742;28651;45683;66056;65625;83892;123232
Магаданская область;1,4;2138;2552;3508;3379;4273;5126;7109;9900;13471;15178;16809;18897
Сахалинская область;2;8067;16798;27390;26339;85557;110850;137529;122756;152387;118446;135014;181298
Еврейская автономная;0,4;340;440;842;1417;3198;5461;6059;8541;10426;8039;18811;26626
область;;;;;;;;;;;;;
Чукотский автономный округ;0,6;701;1743;5013;8729;8614;7409;5006;5594;8286;15001;5419;9007
