Population (Millions of people);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;21,229;22,203;23,116;24,019;24,861;25,631;26,617;27,294;28,004;28,803;29,709;30,697;31,732;32,758;33,736;34,656;35,53;36,02
Jordan;2,374;2,461;2,56;2,667;2,78;2,896;3,011;3,128;3,253;3,395;3,561;3,753;3,968;4,189;4,396;4,573;4,716;4,832;4,928;5,015;5,103;5,193;5,287;5,397;5,536;5,714;5,934;6,193;6,49;6,821;7,182;7,575;7,993;8,413;8,809;9,159;9,456;9,702;9,904
Kazakhstan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17,048;16,9;15,8;15,676;15,481;15,188;14,955;14,902;14,866;14,851;14,867;14,951;15,075;15,219;15,397;15,572;15,982;16,203;16,441;16,674;16,91;17,161;17,416;17,67;17,918;18,157;18,396
Kenya;15,74;16,327;16,92;17,498;18,095;18,712;19,351;20,011;20,694;21,4;22,037;22,694;23,37;24,066;24,783;25,521;26,281;27,064;27,87;28,7;29,494;30,309;31,147;32,009;32,894;33,803;34,738;35,698;36,686;37,7;38,5;39,5;40,7;41,8;43;44,2;45,451;46,729;48,033
Kiribati;0,058;0,06;0,062;0,061;0,062;0,064;0,065;0,067;0,069;0,071;0,072;0,073;0,074;0,075;0,077;0,078;0,079;0,08;0,082;0,083;0,084;0,086;0,088;0,089;0,091;0,093;0,095;0,097;0,099;0,101;0,103;0,104;0,106;0,107;0,109;0,11;0,112;0,113;0,115
Korea, Republic of;38,124;38,723;39,326;39,91;40,406;40,806;41,214;41,622;42,031;42,449;42,869;43,296;43,748;44,195;44,642;45,093;45,525;45,954;46,287;46,617;47,008;47,37;47,645;47,892;48,083;48,185;48,438;48,684;49,055;49,308;49,554;49,937;50,2;50,429;50,747;51,015;51,218;51,426;51,635
Kosovo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,472;1,472;1,511;1,537;1,631;1,651;1,674;1,699;1,72;1,747;1,775;1,78;1,816;1,821;1,805;1,772;1,784;1,799;1,793
Kuwait;1,37;1,432;1,497;1,566;1,6;1,7;1,8;1,9;2;2,1;2,13;1,36;1,42;1,48;1,83;1,96;2,09;2,209;2,271;2,255;2,217;2,309;2,42;2,547;2,754;2,991;3,183;3,4;3,442;3,485;3,582;3,697;3,807;3,892;4,039;4,183;4,329;4,45;4,574
Kyrgyz Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;4,411;4,485;4,505;4,525;4,596;4,661;4,732;4,806;4,875;4,922;4,968;5,013;5,073;5,136;5,189;5,248;5,289;5,348;5,418;5,478;5,552;5,663;5,777;5,895;6,019;6,14;6,257
Lao P.D.R.;3,209;3,27;3,345;3,431;3,525;3,622;3,724;3,83;3,94;4,053;4,206;4,33;4,457;4,584;4,708;4,827;4,941;5,05;5,145;5,235;5,324;5,41;5,493;5,577;5,662;5,752;5,846;5,945;6,047;6,149;6,249;6,348;6,445;6,541;6,64;6,741;6,846;6,953;7,062
Latvia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,677;2,669;2,627;2,501;2,47;2,445;2,421;2,399;2,382;2,353;2,321;2,299;2,277;2,25;2,228;2,209;2,192;2,163;2,121;2,075;2,045;2,024;2,001;1,986;1,969;1,95;1,934
Lebanon;2,55;2,531;2,521;2,521;2,521;2,55;2,588;2,617;2,645;2,674;2,703;2,752;2,822;2,901;2,975;3,033;3,071;3,093;3,114;3,157;3,235;3,36;3,523;3,701;3,863;3,987;4,057;4,086;4,111;4,183;4,337;4,588;4,916;5,276;5,603;5,851;6,007;6,082;6,094
Lesotho;1,281;1,315;1,349;1,384;1,358;1,39;1,425;1,492;1,532;1,576;1,621;1,643;1,708;1,749;1,786;1,877;1,862;1,864;1,865;1,867;1,868;1,869;1,871;1,872;1,874;1,875;1,877;1,889;1,902;1,915;1,928;1,941;1,954;1,967;1,98;1,994;2,007;2,021;2,034
Liberia;1,737;1,8;1,869;1,934;1,986;2,016;2,025;2,015;1,991;1,96;1,929;1,895;1,86;1,839;1,851;1,907;2,015;2,169;2,346;2,515;2,653;2,751;2,817;2,866;2,921;2,999;3,105;3,231;3,369;3,505;3,631;3,743;3,845;3,942;4,038;4,138;4,243;4,352;4,463
Libya;2,988;3,126;3,273;3,411;3,558;3,539;3,676;3,834;4,325;4,522;4,26;4,36;4,46;4,56;4,65;4,75;4,84;4,92;5,01;5,09;5,18;5,26;5,34;5,42;5,51;5,59;5,69;5,78;5,88;5,96;6,041;5,923;6,283;6,266;6,259;6,322;6,385;6,448;6,513
Lithuania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,629;3,602;3,575;3,549;3,524;3,5;3,471;3,443;3,415;3,377;3,323;3,27;3,231;3,198;3,163;3,097;3,028;2,988;2,958;2,932;2,905;2,868;2,828;2,806
Luxembourg;0,364;0,365;0,366;0,366;0,366;0,367;0,368;0,371;0,374;0,378;0,382;0,387;0,392;0,398;0,404;0,406;0,412;0,417;0,422;0,427;0,434;0,439;0,444;0,448;0,455;0,461;0,469;0,476;0,484;0,494;0,502;0,512;0,525;0,537;0,55;0,563;0,576;0,591;0,602
Macao SAR;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,436;0,441;0,447;0,463;0,484;0,513;0,538;0,549;0,542;0,552;0,557;0,582;0,608;0,636;0,647;0,645;0,653;0,667
Madagascar;8,747;8,983;9,221;9,462;9,714;9,981;10,264;10,563;10,878;11,206;11,546;11,898;12,264;12,644;13,04;13,453;13,883;14,329;14,79;15,263;15,745;16,236;16,736;17,245;17,763;18,29;18,826;19,371;19,927;20,496;21,08;21,679;22,294;22,925;23,572;24,235;24,916;25,613;26,326
Malawi;6,564;6,748;6,923;7,116;7,368;7,7;8,133;8,647;9,185;9,667;10,039;10,275;10,4;10,461;10,533;10,666;10,876;11,148;11,458;11,774;12,07;12,343;12,813;13,098;13,385;13,654;14,043;14,439;14,846;15,274;15,714;16,166;16,632;17,111;17,604;18,111;18,632;19,169;19,721
Malaysia;13,885;14,229;14,592;14,955;15,328;15,823;16,257;16,681;17,094;17,508;18,267;18,547;19,068;19,602;20,142;20,682;21,223;21,769;22,334;22,91;23,495;24,123;24,727;25,32;25,905;26,477;26,832;27,1;27,6;28,082;28,589;29,062;29,51;30,214;30,709;31,186;31,634;32,023;32,385
Maldives;0,152;0,158;0,163;0,169;0,175;0,182;0,189;0,193;0,198;0,204;0,212;0,222;0,228;0,234;0,24;0,245;0,25;0,255;0,261;0,266;0,27;0,276;0,281;0,285;0,289;0,294;0,299;0,305;0,31;0,315;0,32;0,325;0,331;0,336;0,342;0,348;0,354;0,36;0,366
Mali;7,09;7,09;7,234;7,388;7,544;7,694;7,832;7,955;8,068;8,181;8,31;8,465;8,653;8,868;9,105;9,353;9,604;9,857;10,114;10,381;10,664;10,968;11,293;11,639;12,005;12,392;12,799;13,227;13,676;14,138;14,607;15,075;15,541;16,007;16,478;16,963;17,468;17,995;18,542
Malta;0,315;0,318;0,32;0,332;0,329;0,332;0,341;0,343;0,346;0,349;0,352;0,362;0,366;0,369;0,373;0,376;0,378;0,381;0,384;0,386;0,389;0,391;0,395;0,397;0,4;0,403;0,405;0,406;0,408;0,411;0,414;0,415;0,418;0,423;0,429;0,44;0,45;0,46;0,476
Marshall Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,049;0,05;0,051;0,051;0,051;0,05;0,05;0,05;0,051;0,051;0,052;0,052;0,052;0,053;0,053;0,053;0,054;0,054;0,054;0,054;0,054;0,055
Mauritania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,996;2,05;2,108;2,167;2,228;2,292;2,358;2,425;2,495;2,568;2,643;2,72;2,8;2,882;2,965;3,047;2,953;3,036;3,119;3,202;3,285;3,369;3,454;3,537;3,621;3,706;3,794;3,881;3,97
Mauritius;0,966;0,98;0,993;1,002;1,012;1,021;1,028;1,036;1,043;1,051;1,059;1,07;1,084;1,097;1,113;1,122;1,134;1,148;1,16;1,175;1,187;1,196;1,205;1,213;1,221;1,228;1,234;1,24;1,244;1,247;1,25;1,252;1,256;1,259;1,261;1,263;1,264;1,265;1,266
Mexico;69,361;70,992;72,603;74,197;75,781;77,361;78,934;80,503;82,084;83,698;87,065;88,631;90,133;91,601;93,055;94,49;95,877;97,205;98,485;99,706;100,896;102,122;103,418;104,72;105,952;107,151;108,409;109,787;111,299;112,853;114,256;115,683;117,054;118,395;119,713;121,006;122,273;123,518;124,738
Micronesia, Fed. States of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,106;0,106;0,106;0,107;0,107;0,107;0,107;0,106;0,106;0,106;0,106;0,105;0,104;0,104;0,103;0,103;0,102;0,102;0,102;0,102;0,102;0,102;0,102;0,102
Moldova;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,689;3,679;3,684;3,679;3,668;3,656;3,65;3,644;3,635;3,628;3,618;3,607;3,6;3,59;3,581;3,573;3,568;3,564;3,56;3,56;3,559;3,558;3,555;3,553;3,551;3,547;3,544
Mongolia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,078;2,129;2,169;2,189;2,21;2,243;2,276;2,307;2,34;2,373;2,403;2,432;2,466;2,495;2,522;2,551;2,583;2,62;2,666;2,716;2,761;2,812;2,868;2,93;2,996;3,058;3,12;3,178;3,238
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,612;0,615;0,615;0,615;0,615;0,615;0,615;0,616;0,617;0,618;0,619;0,62;0,621;0,621;0,622;0,622;0,622;0,622;0,623
Morocco;19,432;19,938;20,459;20,944;21,441;21,951;22,469;23,002;23,528;24,075;24,167;24,634;25,095;25,549;25,996;26,384;26,761;27,14;27,519;27,9;28,283;28,666;29,051;29,438;29,826;30,215;30,606;30,998;31,391;31,786;32,182;32,579;32,978;33,378;33,77;34,125;34,487;34,852;35,22
Mozambique;12,142;12,439;12,729;12,993;13,201;13,339;13,391;13,375;13,349;13,395;13,568;13,894;14,35;14,893;15,453;15,982;16,463;16,915;17,351;17,798;18,276;18,786;19,32;19,873;20,439;21,01;21,738;22,36;22,995;23,648;24,321;25,017;25,733;26,467;27,216;27,978;28,751;29,538;30,339
Myanmar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;45,296;45,874;46,379;46,801;47,153;47,455;47,74;48,033;48,338;48,653;48,983;49,334;49,708;50,11;50,537;50,979;51,419;51,846;52,254;52,645;52,832
Namibia;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,284;1,345;1,403;1,455;1,504;1,549;1,594;1,643;1,696;1,75;1,805;1,828;1,83;1,86;1,891;1,923;1,957;1,992;1,994;2,024;2,054;2,085;2,116;2,155;2,196;2,238;2,281;2,324;2,369;2,414
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,01;0,01;0,009;0,009;0,009;0,01;0,01;0,01;0,01;0,011;0,012;0,012;0,013;0,013;0,013
Nepal;15,022;15,372;15,733;16,103;16,479;16,858;17,24;17,624;18,021;18,445;18,905;19,406;19,938;20,49;21,041;21,576;22,09;22,585;23,058;23,51;23,941;24,347;24,726;25,081;25,419;25,745;26,067;26,383;26,667;26,884;27,013;27,041;26,99;26,918;26,907;27,015;27,261;27,627;28,088
Netherlands;14,091;14,209;14,286;14,34;14,395;14,454;14,529;14,615;14,715;14,805;14,893;15,01;15,129;15,239;15,342;15,424;15,494;15,567;15,654;15,76;15,864;15,987;16,105;16,193;16,258;16,306;16,334;16,358;16,405;16,486;16,575;16,656;16,73;16,78;16,829;16,901;16,979;17,082;17,181
New Zealand;3,126;3,143;3,167;3,198;3,23;3,261;3,291;3,32;3,351;3,385;3,425;3,516;3,552;3,598;3,648;3,707;3,762;3,803;3,829;3,851;3,873;3,916;3,99;4,062;4,114;4,161;4,209;4,246;4,28;4,332;4,374;4,399;4,426;4,476;4,555;4,647;4,747;4,844;4,93
Nicaragua;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;4,299;4,427;4,549;4,669;4,763;4,859;4,957;5,059;5,162;5,268;5,375;5,483;5,523;5,596;5,669;5,742;5,816;5,997;6,071;6,134;6,198;6,263;6,328;6,394;6,46
Niger;5,794;5,991;6,199;6,415;6,634;6,854;7,076;7,303;7,534;7,772;8,019;8,282;8,564;8,861;9,171;9,49;9,827;10,178;10,546;10,93;11,332;11,751;12,19;12,648;13,126;13,624;14,144;14,685;15,251;15,843;16,464;17,115;17,795;18,504;19,24;20,002;20,789;21,602;22,443
Nigeria;73,424;75,441;77,428;79,415;81,449;83,563;85,766;88,048;90,395;92,788;95,212;97,668;100,162;102,701;105,294;107,948;110,669;113,458;116,32;119,26;122,284;125,394;128,596;131,901;135,32;138,865;142,538;146,34;150,27;154,325;158,503;162,805;167,229;171,766;176,405;181,137;185,96;190,873;195,875
North Macedonia ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,933;1,942;1,952;1,963;1,977;1,983;1,993;2,002;2,01;2,016;2,022;2,026;2,033;2,037;2,042;2,045;2,049;2,053;2,057;2,06;2,062;2,066;2,069;2,071;2,074;2,075;2,077
Norway;4,092;4,107;4,123;4,134;4,146;4,159;4,174;4,198;4,221;4,233;4,25;4,274;4,299;4,325;4,348;4,37;4,393;4,413;4,441;4,473;4,501;4,519;4,547;4,573;4,599;4,632;4,672;4,722;4,787;4,843;4,908;4,973;5,038;5,096;5,156;5,205;5,252;5,29;5,324
Oman;1,357;1,47;1,47;1,583;1,696;1,696;1,809;1,922;1,922;2,035;1,843;1,91;1,979;2,047;2,112;2,172;2,225;2,274;2,318;2,361;2,402;2,443;2,484;2,526;2,57;2,618;2,67;2,726;2,785;2,883;2,885;2,993;3,291;3,594;3,717;3,778;4,009;4,142;4,179
Pakistan;80,379;82,756;85,203;87,651;90,098;92,565;95,071;97,597;100,152;102,726;105,7;108,04;112,61;115,54;118,5;121,48;124,49;127,51;130,56;133,61;136,64;140,36;143,17;146,75;149,65;152,53;155,37;158,17;164,66;168,18;171,73;175,31;178,91;182,53;186,19;189,87;193,56;197,26;200,96
Palau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,019;0,019;0,019;0,02;0,02;0,02;0,02;0,019;0,019;0,019;0,018;0,018;0,018;0,017;0,017;0,018;0,018;0,018;0,018
Panama;1,982;2,03;2,078;2,127;2,176;2,225;2,274;2,324;2,374;2,424;2,474;2,527;2,581;2,636;2,691;2,747;2,804;2,862;2,921;2,98;3,041;3,102;3,164;3,227;3,289;3,351;3,413;3,476;3,538;3,6;3,662;3,724;3,788;3,851;3,913;3,975;4,037;4,098;4,159
Papua New Guinea;2,96;3,04;3,11;3,18;3,25;3,33;3,4;3,35;3,45;3,6;3,758;3,875;4,181;4,288;4,401;4,52;4,64;4,761;4,883;5,006;5,13;5,256;5,384;5,515;5,647;5,781;5,917;6,056;6,196;6,339;6,684;7,047;7,431;7,593;7,756;7,92;8,085;8,254;8,426
Paraguay;3,151;3,245;3,342;3,442;3,545;3,652;3,767;3,887;4,01;4,138;4,138;4,406;4,496;4,588;4,681;4,777;4,874;4,974;5,075;5,179;5,284;5,385;5,485;5,583;5,682;5,78;5,877;5,975;6,072;6,169;6,266;6,363;6,461;6,559;6,657;6,756;6,855;6,954;7,053
Peru;17,333;17,769;18,206;18,644;19,084;19,526;19,973;20,425;20,878;21,326;21,765;22,204;22,64;23,073;23,502;23,926;24,348;24,768;25,182;25,589;25,984;26,367;26,739;27,103;27,46;27,811;28,151;28,482;28,807;29,132;29,462;29,798;30,136;30,475;30,814;31,152;31,489;31,826;32,162
Philippines;47,88;49,089;50,318;51,586;52,864;54,172;55,49;56,877;58,165;59,553;60,94;62,36;63,82;65,32;66,84;68,41;71,9;73,53;75,36;76,99;77,02;78,59;80,28;81,88;83,56;85,26;86,97;88,71;89,44;91,02;92,6;94,18;96,5;98,19;99,88;101,56;103,24;104,92;106,6
Poland;35,567;35,887;36,216;36,731;37,049;37,327;37,558;37,75;37,786;37,824;38,186;38,286;38,386;38,501;38,581;38,581;38,609;38,639;38,66;38,667;38,263;38,254;38,242;38,219;38,191;38,174;38,157;38,125;38,116;38,136;38,023;38,063;38,064;38,063;38,018;38,006;37,967;37,973;37,977
Portugal;9,766;9,851;9,912;9,958;9,996;10,024;10,033;10,03;10,02;10,005;9,983;9,96;9,953;9,965;9,992;10,026;10,064;10,109;10,16;10,218;10,29;10,363;10,42;10,459;10,484;10,503;10,522;10,543;10,558;10,568;10,573;10,558;10,515;10,457;10,401;10,358;10,326;10,3;10,279
Puerto Rico;3,203;3,229;3,257;3,286;3,317;3,349;3,382;3,417;3,454;3,492;3,528;3,551;3,575;3,6;3,627;3,655;3,685;3,716;3,748;3,782;3,811;3,819;3,824;3,826;3,827;3,821;3,805;3,783;3,761;3,74;3,722;3,679;3,634;3,593;3,535;3,474;3,411;3,3;3,2
Qatar;0,245;0,265;0,285;0,306;0,326;0,345;0,362;0,377;0,392;0,408;0,477;0,485;0,49;0,492;0,495;0,501;0,512;0,529;0,55;0,572;0,594;0,612;0,63;0,66;0,72;0,821;0,968;1,152;1,554;1,639;1,715;1,733;1,833;2,004;2,216;2,438;2,618;2,657;2,719
Romania;22,442;22,576;22,683;22,775;22,868;22,971;23,093;23,224;23,346;23,431;23,459;23,423;23,333;23,205;23,064;22,927;22,8;22,679;22,565;22,458;22,435;22,408;21,795;21,628;21,521;21,382;21,257;21,131;20,636;20,44;20,295;20,199;20,096;20,02;19,953;19,876;19,761;19,644;19,524
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;147,729;148,3;148,3;148,6;148,4;148,5;148,3;148,3;147,8;147,5;146,9;146,3;145,2;145;144,3;143,8;143,2;142,8;142,8;142,7;142,8;142,9;143;143,3;143,7;146,3;146,5;146,8;146,9;146,8
Rwanda;4,654;4,825;5,006;5,195;5,321;5,502;5,691;5,89;6,097;6,304;6,453;6,652;6,656;6,247;5,79;5,468;5,406;5,66;6,176;6,843;7,495;8,013;8,361;8,578;8,711;8,833;9;9,2;9,5;9,7;10;10,2;10,5;10,739;11,003;11,263;11,533;11,811;12,091
Saint Kitts and Nevis;0,043;0,043;0,043;0,043;0,042;0,042;0,042;0,041;0,041;0,041;0,041;0,041;0,041;0,042;0,042;0,043;0,043;0,044;0,044;0,045;0,045;0,046;0,047;0,047;0,048;0,049;0,049;0,05;0,05;0,051;0,051;0,052;0,053;0,053;0,054;0,054;0,055;0,055;0,056
Saint Lucia;0,116;0,118;0,12;0,121;0,123;0,125;0,127;0,129;0,13;0,133;0,134;0,136;0,138;0,139;0,142;0,145;0,147;0,15;0,152;0,154;0,156;0,158;0,159;0,161;0,162;0,164;0,166;0,168;0,17;0,165;0,166;0,167;0,169;0,171;0,173;0,174;0,176;0,177;0,179
Saint Vincent and the Grenadines;0,098;0,099;0,1;0,101;0,102;0,102;0,103;0,104;0,104;0,105;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,106;0,107;0,107;0,108;0,108;0,109;0,109;0,109;0,109;0,109;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,11
Samoa;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,173;0,174;0,175;0,176;0,177;0,178;0,179;0,18;0,181;0,182;0,184;0,185;0,186;0,188;0,189;0,191;0,192;0,194;0,196;0,198;0,199
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,03;0,03;0,031;0,031;0,032;0,032;0,032;0,033;0,033;0,033;0,033;0,033
Saudi Arabia;9,32;9,786;10,276;10,79;11,33;11,897;12,492;13,118;13,774;14,463;15,187;15,947;16,948;17,277;17,701;18,136;18,581;19,037;19,504;19,983;20,474;20,976;21,491;22,02;22,564;23,33;24,122;24,941;25,787;26,661;27,563;28,376;29,196;29,994;30,34;31,062;31,788;32,613;33,414
Senegal;5,676;5,831;5,996;6,17;6,353;6,544;6,744;6,952;7,166;7,382;7,599;7,814;8,03;8,272;8,512;8,747;8,974;9,197;9,418;9,646;9,884;10,134;10,397;10,671;10,956;11,251;11,557;11,874;12,204;12,551;12,916;13,301;13,704;14,12;14,546;14,977;15,412;15,851;16,302
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7,597;7,568;7,54;7,516;7,503;7,5;7,481;7,463;7,441;7,412;7,382;7,35;7,321;7,291;7,237;7,201;7,167;7,132;7,095;7,058;7,021;6,993
Seychelles;0,063;0,064;0,064;0,064;0,065;0,065;0,066;0,068;0,069;0,069;0,07;0,07;0,071;0,072;0,074;0,075;0,076;0,077;0,079;0,08;0,081;0,081;0,083;0,083;0,082;0,083;0,085;0,085;0,087;0,087;0,09;0,087;0,088;0,09;0,091;0,093;0,094;0,094;0,095
Sierra Leone;3,469;3,554;3,628;3,714;3,735;3,809;3,894;3,98;4,065;4,16;4,221;4,246;4,24;4,216;4,193;4,185;4,192;4,214;4,261;4,343;4,465;4,633;4,841;5,072;5,301;5,51;5,693;5,853;5,997;6,136;6,279;6,426;6,574;6,724;6,939;7,092;7,248;7,408;7,571
Singapore;2,414;2,533;2,646;2,681;2,732;2,736;2,733;2,775;2,846;2,931;3,047;3,135;3,231;3,313;3,419;3,525;3,671;3,796;3,927;3,959;4,028;4,138;4,176;4,115;4,167;4,266;4,401;4,589;4,839;4,988;5,077;5,184;5,312;5,399;5,47;5,535;5,607;5,612;5,639
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5,337;5,367;5,397;5,408;5,379;5,388;5,393;5,399;5,379;5,379;5,375;5,372;5,373;5,373;5,373;5,376;5,382;5,39;5,392;5,404;5,411;5,416;5,421;5,426;5,435;5,443
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,999;1,989;1,989;1,989;1,99;1,987;1,985;1,978;1,988;1,99;1,994;1,995;1,996;1,998;2,003;2,01;2,01;2,032;2,047;2,05;2,055;2,059;2,061;2,063;2,064;2,066;2,068
Solomon Islands;0,231;0,238;0,247;0,255;0,263;0,271;0,279;0,287;0,295;0,303;0,312;0,321;0,33;0,339;0,349;0,359;0,369;0,38;0,39;0,401;0,412;0,424;0,435;0,446;0,458;0,469;0,481;0,492;0,504;0,515;0,526;0,538;0,55;0,562;0,575;0,588;0,601;0,614;0,627
South Africa;29,08;29,83;30,61;31,41;32,21;32,98;33,73;34,46;35,2;35,97;36,79;37,69;38,65;39,62;40,56;41,43;42,21;42,92;43,58;44,23;44,9;45,724;46,355;46,806;47,31;47,86;48,446;49,089;49,795;50,545;51,329;52,129;52,93;53,751;54,574;55,407;56,252;57,098;57,939
South Sudan, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;10,449;10,818;11,177;11,531;11,882;12,231;12,585;12,976
Spain;37,656;38,014;38,217;38,397;38,55;38,686;38,798;38,888;38,971;39,048;39,117;39,221;39,35;39,473;39,579;39,672;39,764;39,869;40,008;40,215;40,554;40,766;41,424;42,196;42,859;43,663;44,361;45,236;45,983;46,368;46,562;46,736;46,766;46,593;46,455;46,41;46,399;46,408;46,449
Sri Lanka;15,557;15,767;15,965;16,152;16,325;16,486;16,649;16,815;16,984;17,155;17,33;17,54;17,741;17,929;18,098;18,247;18,372;18,477;18,571;18,669;18,782;18,913;19,059;19,215;19,373;19,525;19,67;19,811;19,946;20,075;20,198;20,315;20,425;20,585;20,771;20,966;21,203;21,444;21,688
Sudan;18,68;19,24;19,8;20,36;21,311;21,908;22,521;23,152;23,6;24,2;25,75;26,53;27,32;28,13;28,95;27,95;28,6;29,2;29,8;30,4;31,1;31,9;32,7;33,6;34,474;35,3;36,218;37,159;38,126;39,117;40,134;32,661;35,056;36,164;37,289;38,435;39,599;40,783;41,985
Suriname;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,408;0,414;0,419;0,426;0,431;0,437;0,442;0,449;0,454;0,461;0,467;0,474;0,479;0,484;0,493;0,499;0,504;0,51;0,517;0,524;0,531;0,54;0,542;0,55;0,559;0,567;0,576;0,583;0,591
Sweden;8,318;8,323;8,327;8,331;8,343;8,358;8,382;8,414;8,459;8,527;8,591;8,644;8,692;8,745;8,816;8,837;8,844;8,848;8,854;8,861;8,883;8,909;8,941;8,976;9,011;9,048;9,113;9,183;9,256;9,341;9,416;9,483;9,556;9,645;9,747;9,851;9,995;10,12;10,23
Switzerland;6,304;6,335;6,373;6,41;6,428;6,456;6,485;6,523;6,567;6,62;6,674;6,757;6,843;6,908;6,969;7,019;7,062;7,081;7,096;7,124;7,164;7,198;7,256;7,314;7,364;7,415;7,459;7,509;7,593;7,702;7,786;7,87;7,955;8,039;8,14;8,238;8,327;8,42;8,484
Syria;9,129;9,444;9,758;10,084;10,419;10,776;11,133;11,511;11,899;12,298;12,721;13,102;13,484;13,865;14,241;14,61;14,973;15,334;15,702;16,091;16,511;16,961;17,438;17,952;18,512;19,121;19,596;20,083;20,581;21,092;21,393;no data;no data;no data;no data;no data;no data;no data;no data
S?o Tom? and Pr?ncipe;0,089;0,09;0,092;0,095;0,097;0,099;0,102;0,105;0,108;0,111;0,114;0,118;0,121;0,123;0,125;0,127;0,13;0,132;0,135;0,137;0,139;0,142;0,144;0,147;0,151;0,155;0,159;0,163;0,168;0,173;0,178;0,183;0,188;0,193;0,198;0,203;0,208;0,213;0,217
Taiwan Province of China;17,866;18,194;18,516;18,791;19,069;19,314;19,509;19,725;19,954;20,157;20,401;20,606;20,803;20,995;21,178;21,357;21,525;21,743;21,929;22,092;22,277;22,406;22,521;22,605;22,689;22,77;22,877;22,958;23,037;23,12;23,162;23,225;23,316;23,374;23,434;23,492;23,54;23,571;23,589
Tajikistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5,506;5,536;5,573;5,607;5,668;5,735;5,822;5,939;6,115;6,216;6,327;6,448;6,577;6,713;6,854;7,001;7,152;7,31;7,473;7,642;7,816;7,995;8,178;8,363;8,549;8,735;8,921;9,107
Tanzania;18,034;18,601;19,187;19,791;20,402;21,036;21,68;22,336;23,016;23,737;24,507;25,336;26,216;27,116;27,997;28,829;29,603;30,33;31,014;31,751;32,544;33,406;34,328;35,302;36,314;37,354;38,421;39,522;40,64;41,824;43,06;44,348;45,688;47,076;48,511;49,989;51,51;53,074;54,68
Thailand;46,5;47,88;48,85;49,52;50,58;51,8;52,97;53,87;54,96;55,29;56,303;56,961;57,06;57,69;58,32;58,95;59,6;60,25;60,9;61,57;62,24;62,6;62,96;63,32;63,69;64,05;64,42;64,79;65,17;65,54;65,92;66,21;66,49;66,76;67;67,24;67,46;67,65;67,793
