GDP per capita, current prices (Purchasing power parity, international dollars per capita);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;848,304;902,056;897,513;999,89;1052,752;1179,875;1218,288;1442,729;1538,807;1621,757;1823,087;1896,559;1921,603;1903,914;1913,113;1951,865;2025,472
Albania;2082,077;2361,197;2525,848;2597,954;2688,374;2676,209;2827,772;2817,694;2822,464;3135,162;2875,053;2152,989;2055,939;2320,814;2609,152;2918,919;3263,07;2975,277;3295,094;3797,544;4178,664;4668,061;4971,922;5364,266;5836,815;6383,82;7009,317;7686,137;8488,191;8899,566;9383,479;9849,795;10197,854;10499,961;10906,615;11297,524;11811,747;12494,07;13326,694
Algeria;4654,986;5090,092;5571,582;5908,499;6263,334;6508,234;6451,61;6396,571;6307,636;6702,71;6918,987;6896,014;6994,728;6847,521;6779,046;7043,027;7312,659;7396,56;7738,016;7977,124;8315,217;8625,835;9117,5;9808,399;10349,445;11133,229;11489,919;12013,908;12270,973;12325,125;12664,666;13026,656;13441,898;13766,248;14249,828;14613,714;14911,767;15063,637;15331,743
Angola;1284,213;1308,496;1353,537;1428,23;1528,152;1447,984;1477,75;1536,849;1644,03;1663,575;1622,967;1645,138;1819,899;2007,161;2199,505;2406,166;2645,475;2802,768;2880,852;2899,227;2965,606;3066,131;3437,162;3500,643;3872,461;4459,41;4975,643;5655,469;6222,56;6139,644;6323,302;6484,974;6964,995;7221,681;7485,49;7411,591;7077,096;6977,938;6851,272
Antigua and Barbuda;3908,795;4476,919;4804,648;5337,423;6191,918;6993,058;8094,019;8999,98;9951,395;10985,036;11750,926;12312,177;12533,411;13209,204;14028,212;13337,43;14087,896;14699,099;15153,711;15557,802;16618,717;15871,207;16114,105;17222,418;18501,639;20085,245;23078,815;25617,672;25830,246;22632,514;20936,821;20732,565;21610,358;21624,866;22618,079;23475,054;24756,018;25738,711;28012,75
Argentina;6337,694;6423,922;6496,474;6905,075;7175,075;6771,739;7307,784;7591,456;7612,351;7266,465;7284,39;8210,295;9137,572;9793,019;10450,983;10239,546;10873,101;11820,424;12275,454;11901,163;11944,748;11551,612;10355,794;11385,26;12614,946;14024,955;15460,555;17136,308;18000,36;16898,805;18524,847;19817,451;19764,275;20365,566;20000,192;20537,743;20105,058;20800,31;20551,043
Armenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1422,67;1281,411;1412,989;1592,38;1732,258;1839,224;1995,632;2102,145;2282,301;2569,872;3006,898;3504,606;3988,983;4724,93;5528,762;6479,469;7088,125;6152,201;6368,636;6803,483;7423,634;7776,968;8192,152;8531,855;8630,802;9496,259;10273,434
Aruba;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;28826,386;28571,209;29921,32;30074,991;30510,057;33215,587;32491,651;31844,146;32702,186;35472,959;36077,732;36891,283;38365,851;38873,962;34495,813;33647,861;35230,99;34813,278;36272,965;36819,954;36586,971;36698,731;38094,138;39345,367
Australia;10513,675;11794,155;12326,073;12587,925;13698,361;14693,408;15129,512;16008,521;16975,122;18184,666;18888,594;19097,657;19830,685;20899,779;22172,098;22989,974;24104,587;25388,673;26605,805;27871,634;29019,986;30042,512;31437,314;32508,662;34432,446;36049,207;37602,326;39553,901;40516,047;40852,377;41728,821;43098,706;44819,682;45841,647;47229,419;48193,838;49218,89;50560,909;52379,456
Austria;11257,774;12285,876;13277,185;14225,986;14786,635;15585,997;16254,915;16914,301;17656,597;19016,93;20449,982;21681,776;22384,713;22791,475;23698,401;24779,646;25803,691;26767,829;28007,853;29365,51;30960,845;31918,38;32796,422;33569,901;35194,609;36853,319;39077,378;41486,192;42774,827;41379,228;42530,549;44541,75;45500,105;46032,011;46825,517;47379,176;48229,748;49963,648;52172,116
