GDP, current prices (Purchasing power parity, billions of international dollars);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18,835;20,852;21,557;24,858;26,983;31,404;33,252;40,403;44,323;48,18;55,963;60,181;62,948;64,231;66,301;69,35;72,958
China, People's Republic of;305,579;351,548;406,864;468,46;559,14;654,702;727,324;832,515;958,404;1037,812;1118,514;1263,884;1476,25;1721,287;1986,586;2249,709;2517,703;2796,741;3048,823;3330,996;3695,688;4092,291;4537,284;5084,531;5751,493;6604,643;7670,133;8998,799;10059,135;11088,727;12402,885;13864,863;15247,14;16724,781;18277,817;19742,406;21290,133;23156,725;25278,767
Colombia;78,561;87,951;94,271;99,505;106,55;113,335;122,351;132,108;142,325;152,955;165,474;175,128;186,917;202,272;217,225;233,318;242,474;255,117;259,458;252,14;265,315;275,683;287,057;303,844;328,665;354,852;390,376;428,317;450,87;459,783;485,363;531,984;563,35;599,412;639,372;665,125;686,039;708,404;744,308
Comoros;0,34;0,393;0,434;0,465;0,502;0,532;0,555;0,581;0,632;0,651;0,725;0,704;0,773;0,811;0,795;0,858;0,869;0,923;0,933;0,972;0,985;1,061;1,127;1,171;1,24;1,352;1,367;1,415;1,5;1,561;1,638;1,742;1,832;1,947;2,025;2,069;2,145;2,25;2,373
Congo, Dem. Rep. of the;20,693;22,864;24,167;25,467;27,665;28,672;30,63;32,226;33,517;34,393;33,336;31,553;28,896;25,597;24,537;25,743;25,708;24,101;23,428;22,862;21,472;21,482;22,465;24,158;26,48;28,98;31,446;34,312;37,157;38,509;41,727;45,528;49,689;54,849;61,155;66,065;68,351;72,234;78,297
Congo, Republic of ;3,135;3,522;3,829;4,075;4,322;4,564;4,765;4,996;6,305;7,946;8,327;8,814;9,251;9,377;9,051;9,609;10,205;10,316;10,822;10,695;11,762;12,478;13,256;13,612;14,464;16,071;17,59;17,777;19,133;20,791;22,866;24,136;25,541;26,839;29,206;30,283;29,731;29,754;30,964
Costa Rica;8,198;8,771;8,634;9,229;10,329;10,733;11,555;12,405;13,284;14,587;15,677;16,574;18,511;20,293;21,656;23,021;23,733;25,486;27,567;29,068;30,857;32,634;34,241;36,361;38,96;41,728;46,103;51,208;54,631;54,513;57,88;61,634;65,829;68,504;72,224;75,627;79,654;83,911;88,22
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;38,417;36,181;39,134;42,605;45,934;49,831;51,33;51,584;54,714;57,845;61,847;66,511;70,975;76,194;82,321;88,999;92,577;86,481;86,201;87,702;87,328;88,423;89,98;93,1;97,39;102,123;107,362
Cyprus;3,136;3,538;3,992;4,369;4,926;5,323;5,625;6,176;6,925;7,779;8,667;9,027;10,097;10,409;11,258;12,635;13,027;13,602;14,595;15,546;16,841;17,891;18,851;19,704;21,252;22,977;24,789;26,752;28,267;27,909;28,611;29,327;29,029;27,825;27,968;28,814;30,513;32,477;34,558
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;144,023;153,297;155,013;156,243;160,77;171,376;180,229;186,106;196,392;211,575;232,418;255,863;277,457;290,44;278,6;288,254;299,507;302,81;306,632;320,787;341,335;353,321;375,643;396,176
C?te d'Ivoire;15,535;17,599;18,724;18,971;19,262;20,587;22,01;22,441;23,497;25,139;25,796;26,679;27,219;27,813;28,456;30,671;33,774;36,322;38,542;39,731;39,779;40,701;40,655;40,847;42,464;44,54;46,584;48,679;50,888;52,943;54,641;53,073;59,967;66,677;73,883;81,253;88,639;97,264;107,04
Denmark;59,103;64,268;70,749;75,427;81,409;87,347;93,472;96,027;99,406;103,966;109,446;114,728;119,642;122,485;131,767;138,605;145,243;152,564;157,695;164,689;174,682;179,982;183,684;187,821;198,024;208,973;223,719;231,814;235,115;225,287;232,168;240,186;245,353;251,992;260,803;269,693;279,02;290,716;302,233
Djibouti;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,647;1,694;1,617;1,629;1,606;1,574;1,582;1,601;1,672;1,721;1,791;1,878;1,974;2,083;2,215;2,392;2,579;2,782;2,849;3,001;3,288;3,513;3,753;4,093;4,453;4,81;5,149;5,565
Dominica;0,125;0,152;0,168;0,179;0,193;0,202;0,221;0,24;0,268;0,278;0,304;0,319;0,333;0,348;0,355;0,374;0,393;0,408;0,428;0,436;0,456;0,466;0,46;0,498;0,527;0,547;0,59;0,644;0,704;0,701;0,714;0,727;0,733;0,741;0,788;0,776;0,804;0,741;0,763
Dominican Republic;13,411;15,308;16,53;17,972;18,854;19,037;20,105;22,686;23,993;26,031;25,532;26,645;30,31;33,313;34,909;37,668;40,65;45,025;48,589;52,219;55,875;58,505;62,102;62,404;65,731;74,168;83,423;92,017;96,818;98,479;107,935;113,643;118,97;126,959;138,425;149,555;161,166;171,864;188,344
