GDP, current prices (Purchasing power parity, billions of international dollars);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;18,835;20,852;21,557;24,858;26,983;31,404;33,252;40,403;44,323;48,18;55,963;60,181;62,948;64,231;66,301;69,35;72,958
Ireland;25,449;28,557;30,775;31,747;33,946;35,702;36,575;38,844;41,42;45,46;50,798;53,378;56,549;59,228;64,058;71,675;79,623;89,701;98,577;110,494;123,659;133,08;143,22;150,327;164,848;179,744;194,577;210,375;204,713;195,743;201,514;206,412;210,846;217,445;240,369;303,886;318,283;350,659;389,019
Israel;27,987;32,082;34,549;36,831;39,003;42,028;44,396;48,902;52,431;55,26;61,13;66,116;72,461;76,976;84,131;94,187;100,759;106,666;112,378;118,032;131,373;134,45;136,358;140,426;151,383;162,564;177,153;192,864;202,859;207,123;221,146;237,392;247,764;262,874;277,855;287,239;301,769;318,442;337,426
Italy;605,82;666,829;709,133;743,722;793,773;840,342;880,491;929,94;1001,524;1074,642;1136,962;1192,33;1228,319;1246,921;1299,962;1362,827;1405,633;1456,115;1496,302;1541,586;1634,518;1699,967;1731,154;1765,97;1842,201;1917,619;2015,297;2099,938;2118,294;2017,433;2075,362;2130,933;2110,582;2110,497;2152;2194,495;2242,028;2322,722;2399,733
Jamaica;6,119;6,994;7,655;8,285;8,666;8,859;9,67;10,673;10,608;11,542;12,558;13,091;13,761;14,398;14,981;15,681;16,006;16,015;15,999;16,389;16,886;17,477;17,873;18,873;19,638;20,43;21,659;22,562;22,812;22,205;22,141;22,924;23,247;23,704;24,281;24,742;25,374;26,022;27,092
Japan;1044,882;1191,883;1307,445;1406,515;1522,876;1653,26;1742,646;1870,225;2067,549;2252,995;2451,67;2621,208;2703,684;2753,407;2840,126;2979,19;3127,788;3215,961;3215,462;3253,674;3418,865;3508,044;3567,748;3689,536;3872,397;4059,4;4241,64;4427,641;4464,397;4254,78;4484,786;4573,186;4730,59;4909,869;5019,478;5133,759;5218,51;5419,727;5596,959
Jordan;8,416;10,555;11,813;12,192;13,352;13,655;14,725;15,523;16,43;15,298;16,055;16,998;19,701;20,713;22,176;24,146;24,899;26,354;27,418;28,511;30,403;32,534;35,125;37,205;41,258;45,759;50,143;55,7;60,89;64,714;66,981;70,15;73,39;76,79;80,634;83,39;85,975;89,448;93,404
Kazakhstan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;123,355;114,66;102,376;95,952;98,197;101,589;100,781;104,996;117,863;136,708;152,48;169,756;191,061;216,122;246,488;275,637;290,27;295,993;321,302;352,286;376,278;405,852;430,725;440,431;449,887;477,152;508,817
Kenya;16,081;18,324;20,439;21,578;22,714;24,387;26,615;28,858;31,695;34,438;37,204;38,977;39,435;40,331;42,235;44,969;47,692;48,714;50,731;52,596;53,958;57,335;58,523;61,367;65,941;71,846;78,354;85,971;87,846;91,443;100,282;108,633;115,769;124,726;133,839;142,966;152,938;163,395;177,954
Kiribati;0,054;0,059;0,063;0,064;0,067;0,066;0,068;0,07;0,08;0,08;0,082;0,085;0,088;0,091;0,095;0,097;0,099;0,103;0,111;0,111;0,12;0,121;0,128;0,133;0,134;0,145;0,15;0,157;0,157;0,159;0,159;0,165;0,176;0,187;0,189;0,211;0,224;0,229;0,24
Korea, Republic of;85,412;100,206;115,191;135,553;155,111;172,418;195,631;225,463;261,201;290,523;330,967;377,588;410,043;448,498;500,245;559,615;613,14;660,65;631,534;713,102;790,005;846,506;926,326;973,224;1051,368;1130,825;1226,38;1332,361;1399,2;1421,043;1535,428;1625,275;1696,247;1780,629;1871,663;1944,273;2022,294;2125,48;2235,287
Kosovo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;7,161;8,128;8,242;8,876;9,374;10,037;10,693;11,892;12,667;13,223;13,82;14,726;15,43;16,241;16,744;17,613;18,518;19,664;20,912
Kuwait;45,999;40,824;39,227;42,905;46,782;46,207;51,175;56,71;52,81;69,093;52,878;32,249;60,297;83,411;92,532;96,05;98,393;102,585;107,531;107,132;114,665;117,425;122,878;146,858;167,043;189,601;210,029;228,593;238,818;223,611;220,854;247,177;268,608;276,465;282,989;287,632;299,113;294,137;304,851
Kyrgyz Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8,106;7,219;5,913;5,709;6,226;6,961;7,189;7,559;8,149;8,771;8,908;9,711;10,674;10,987;11,671;13,008;14,264;14,788;14,89;16,106;16,4;18,51;19,611;20,583;21,698;23,154;24,539
Lao P.D.R.;1,876;2,369;2,634;2,819;3,109;3,499;3,742;3,798;3,849;4,396;4,865;5,231;5,725;6,204;6,854;7,491;8,153;8,867;9,35;9,868;10,737;11,496;12,473;13,489;14,848;16,373;18,379;20,354;22,373;24,206;26,452;29,161;32,04;35,219;38,601;41,838;45,24;49,241;53,623
Latvia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;16,082;14,586;15,225;15,221;15,865;17,587;18,945;19,722;21,253;23,122;25,156;27,784;30,91;35,282;40,672;45,932;45,164;38,954;37,855;41,112;43,591;45,434;47,135;49,041;50,571;53,913;57,86
Lebanon;15,164;16,69;11,202;14,284;21,383;27,419;26,077;31,192;23,183;13,926;12,508;17,871;19,1;20,921;23,084;25,098;26,59;29,804;31,315;31,513;32,572;34,584;36,326;37,63;41,541;44,012;46,116;51,778;57,667;63,949;69,894;72,008;75,386;78,718;81,685;82,878;85,081;87,162;89,508
Lesotho;0,651;0,735;0,824;0,881;0,953;1,015;1,078;1,128;1,258;1,38;1,506;1,631;1,772;1,884;2,01;2,11;2,254;2,373;2,434;2,508;2,69;2,839;2,929;3,105;3,265;3,471;3,735;4,026;4,332;4,502;4,841;5,272;5,637;5,86;6,132;6,328;6,566;6,724;7,078
Liberia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2,805;2,946;3,125;2,261;2,414;2,635;2,944;3,42;3,699;3,921;4,218;4,638;5,125;5,676;5,821;5,882;5,846;6,103;6,33
Libya;104,827;91,749;98,897;97,93;93,036;96,562;87,323;76,327;85,007;94,7;101,899;121,838;121,235;119,437;124,347;111,216;116,234;117,521;118,395;120,66;127,898;128,398;129,178;148,704;159,52;184,014;201,906;220,503;184,057;179,918;187,796;63,924;146,399;94,105;45,031;39,575;37,03;61,878;74,719
Lithuania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;24,741;26,514;29,208;31,742;31,835;33,794;36,788;39,896;44,92;49,151;54,598;60,416;68,918;72,105;61,891;63,639;68,895;72,904;76,778;80,965;83,461;86,31;91,575;97,084
Luxembourg;5,703;6,292;6,75;7,147;7,755;8,448;9,479;10,097;11,338;12,937;14,135;15,876;16,533;17,636;18,701;19,366;20,02;21,574;23,234;25,554;28,33;29,685;31,306;32,407;34,481;36,683;39,751;44,229;44,512;42,896;45,508;47,638;48,381;51,028;54,206;56,915;58,891;60,928;64,036
Macao SAR;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;15,12;16,734;19,031;24,772;27,602;32,224;37,87;39,917;40,753;51,643;64,148;71,418;80,81;81,317;64,421;64,53;72,125;77,36
Madagascar;7,851;7,751;8,074;8,465;8,925;9,314;9,688;10,044;10,753;11,63;12,442;12,052;12,472;13,036;13,308;13,816;14,372;15,159;15,931;16,92;18,069;19,57;17,413;19,471;21,047;22,735;24,687;26,798;29,268;28,304;28,712;29,736;31,226;32,486;34,189;35,615;37,493;39,836;42,927
Malawi;2,422;2,512;2,734;2,946;3,217;3,47;3,533;3,679;3,929;4,138;4,538;5,101;4,834;5,429;4,973;5,779;6,472;7,017;7,172;7,533;7,761;7,608;7,864;8,468;9,167;9,761;10,529;11,85;13,004;14,194;15,346;16,428;17,058;18,26;19,658;20,449;21,13;22,389;23,661
Malaysia;46,616;54,569;61,383;67,774;75,67;77,379;79,847;86,231;98,143;111,231;125,788;142,458;158,652;178,483;199,086;223,24;250,065;273,016;255,773;275,374;305,94;314,268;336,45;362,536;397,548;430,328;468,11;510,964;546,073;541,907;589,491;633,662;681,166;725,649;783,473;831,268;877,249;945,089;1014,018
Maldives;0,224;0,264;0,302;0,327;0,398;0,467;0,518;0,577;0,65;0,738;0,735;0,812;0,884;0,954;1,048;1,149;1,276;1,433;1,591;1,731;1,854;1,96;2,112;2,698;2,935;2,621;3,397;3,771;4,211;3,962;4,292;4,751;4,958;5,412;5,916;6,15;6,667;7,262;7,998
Mali;3,952;4,129;3,878;4,16;4,414;4,701;5,089;5,344;5,535;6,367;7,22;8,038;8,093;8,579;9,096;9,565;10,449;11,139;11,594;12,496;12,768;15,054;15,767;17,524;18,277;20,078;21,65;23,008;24,575;25,953;27,65;29,135;29,445;30,652;33,436;35,868;38,328;41,166;44,13
Malta;1,93;2,17;2,306;2,459;2,568;2,713;2,873;3,112;3,44;3,829;4,158;4,552;5,032;5,354;5,72;6,241;6,61;7,049;7,371;7,76;7,855;8,077;8,445;8,818;9,098;9,74;10,22;10,911;11,492;11,297;11,833;12,238;12,822;13,648;15,111;16,92;18,065;19,643;21,484
Marshall Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,099;0,098;0,097;0,105;0,113;0,118;0,12;0,123;0,132;0,138;0,147;0,146;0,145;0,157;0,162;0,17;0,178;0,18;0,181;0,186;0,198;0,208
Mauritania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;3,768;3,895;4,054;4,394;4,351;4,878;5,256;5,131;5,333;5,827;5,931;6,183;6,323;6,825;7,412;8,328;10,199;10,768;11,096;11,065;11,728;12,536;13,517;14,592;15,691;15,923;16,385;17,206;18,254
Mauritius;1,92;2,225;2,492;2,6;2,822;3,111;3,483;3,932;4,347;4,72;5,248;5,666;6,173;6,64;7,062;7,52;8,085;8,692;9,324;9,706;10,735;11,324;11,69;12,619;13,516;14,14;15,225;16,53;17,759;18,488;19,522;20,742;21,879;23,011;24,314;25,44;26,69;28,23;30,006
Mexico;404,79;480,863;507,915;509,405;545,789;575,369;568,88;592,991;621,781;672,688;733,983;790,789;837,453;880,763;944,018;903,176;982,009;1067,339;1135,09;1183,187;1269,42;1292,015;1311,932;1355,623;1446,697;1526,184;1643,052;1725,853;1779,54;1698,329;1806,054;1911,319;2018,932;2082,17;2180,178;2275,306;2365,776;2461,36;2571,633
Micronesia, Fed. States of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,217;0,214;0,205;0,213;0,219;0,235;0,245;0,25;0,259;0,258;0,271;0,279;0,281;0,28;0,286;0,295;0,311;0,311;0,304;0,303;0,321;0,327;0,341;0,353
Moldova;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,827;11,962;8,442;8,496;8,141;8,414;7,956;7,796;8,138;8,823;9,662;10,491;11,571;12,826;13,848;14,647;16,097;15,246;16,519;17,845;18,08;20,061;21,454;21,604;22,79;24,309;25,897
Mongolia;2,938;3,486;4,009;4,408;4,837;5,273;5,887;6,246;6,799;7,361;7,447;6,99;6,488;6,431;6,709;7,286;7,585;8,017;8,378;8,76;9,058;9,686;10,358;11,326;12,727;13,978;15,576;17,395;19,12;18,867;20,483;24,526;28,076;31,897;35,049;36,257;37,06;39,773;43,559
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;4,939;5,103;5,282;5,515;5,912;6,353;7,108;7,795;8,519;8,086;8,401;8,851;8,775;9,246;9,585;10,013;10,415;11,112;11,94
Morocco;28,985;30,85;35,907;37,106;40,112;43,997;48,609;48,544;55,489;59,029;63,709;70,617;70,711;71,85;81,154;78,377;89,688;89,81;97,395;99,87;104,056;114,122;119,546;129,024;138,854;147,892;163,909;174,257;188,168;197,649;207,582;223,035;234,155;249,069;260,451;275,135;280,93;298,244;314,539
Mozambique;2,096;2,409;2,381;2,086;2,021;2,105;2,098;2,466;2,763;3,058;3,204;3,529;3,421;3,809;4,13;4,311;5,568;6,278;7,101;7,768;8,075;9,301;10,279;11,151;12,345;13,84;15,664;17,279;18,826;20,175;21,775;23,812;26,015;28,362;31,038;33,429;35,046;37,04;39,183
Myanmar;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;39,599;43,558;50,061;57,538;65,288;75,136;87,726;102,731;119,924;138,54;151,909;159,78;170,123;183,179;198,801;218,267;240,535;261,201;277,498;300,632;328,974
Namibia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5,571;6,068;6,781;6,829;7,185;7,637;8,026;8,508;8,887;9,319;9,86;10,318;11,181;11,785;12,905;13,928;14,916;15,875;16,613;16,789;18,011;19,323;20,69;22,236;24,086;25,817;26,378;26,641;27,27
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,035;0,036;0,04;0,032;0,04;0,043;0,049;0,055;0,062;0,083;0,107;0,112;0,117;0,112;0,113
Nepal;6,039;7,162;7,892;7,957;9,042;9,901;10,561;11,007;12,272;13,305;14,443;15,882;16,911;17,977;19,87;20,991;22,516;24,109;25,098;26,602;28,86;31,153;31,684;33,545;36,061;38,478;40,977;43,513;47,067;49,576;52,569;55,504;59,273;62,803;67,796;70,779;71,932;79,314;86,655
Netherlands;166,047;180,823;189,532;200,418;214,124;226,765;238,561;248,985;269,585;292,706;316,346;335,063;348,146;360,899;379,694;398,363;419,832;445,554;471,604;502,489;535,294;559,768;569,856;581,352;608,843;640,656;682,894;727,69;757,956;735,726;754,28;781,97;788,75;801,569;828,03;853,035;880,758;923,466;970,536
New Zealand;27,648;31,159;34,037;35,326;39,111;40,837;42,413;44,521;46,347;48,886;51,251;51,836;53,478;57,414;62,553;66,639;70,397;73,771;75,17;79,659;84,798;88,561;94,532;100,719;107,991;114,2;120,889;129,057;131,03;132,454;136,692;142,15;148,571;154,491;162,282;170,537;179,511;187,686;197,66
Nicaragua;6,047;6,974;7,345;7,985;8,143;8,058;8,136;8,279;7,508;7,67;7,947;8,203;8,423;8,588;9,21;9,959;10,785;11,406;11,963;12,99;13,825;14,546;14,888;15,546;16,813;18,079;19,335;20,862;21,999;21,436;22,643;24,576;26,674;28,48;30,395;32,183;34;36,26;35,726
Niger;3,105;3,392;3,68;3,677;3,169;3,521;3,82;3,918;4,335;4,548;4,656;4,934;4,717;4,899;5,204;4,962;5,31;5,428;6,187;6,339;6,313;6,97;7,459;8,133;8,283;9,26;10,094;10,693;11,953;11,959;13,11;13,679;15,594;16,703;18,293;19,285;20,445;21,849;23,832
Nigeria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;184,454;189,64;198,216;206,096;211,037;219,496;232,572;243,41;252,293;257,272;277,537;302,533;352,201;392,831;445,531;491,605;540,549;595,691;650,996;710,754;799,992;856,619;910,41;976,355;1057,17;1096,512;1089,953;1119,429;1168,751
North Macedonia ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11,961;11,326;11,36;11,471;11,821;12,187;12,741;13,487;14,414;14,278;14,721;15,328;16,476;17,792;19,272;21,07;22,656;22,747;23,785;24,85;25,211;26,403;27,868;29,244;30,388;31,035;32,638
Norway;61,378;68,258;72,646;78,491;86,245;93,914;99,677;103,933;107,324;112,69;119,166;126,997;134,534;141,64;151,978;161,612;172,846;185,118;192,115;198,812;209,771;218,819;225,496;231,773;247,461;261,868;276,267;292,183;299,285;296,359;301,916;311,248;325,793;334,937;347,854;358,39;365,981;381,536;395,872
Oman;11,752;15,063;17,833;21,487;25,358;29,959;31,218;30,713;33,464;35,813;40,266;44,144;48,984;53,226;56,452;60,421;63,304;68,374;71,014;72,278;78,733;84,067;84,457;83,731;87,095;92,044;99,925;107,178;118,223;126,405;130,38;136,518;151,804;162,35;167,708;177,347;187,958;192,16;200,314
Pakistan;72,024;83,733;95,63;106,12;114,318;128,204;139,106;150,83;166,199;181,02;196,412;213,465;234,856;245,463;261,656;280,665;304,665;315,196;329,88;348,639;370,361;385,929;404,234;431,199;475,941;534,73;582,967;631,771;676,185;683,798;709,617;750,693;794,446;838,158;888,272;933,94;986,671;1057,711;1143,372
Palau;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;0,158;0,171;0,18;0,178;0,192;0,206;0,209;0,218;0,21;0,198;0,201;0,215;0,223;0,224;0,238;0,265;0,27;0,265;0,276
Panama;7,077;8,46;9,463;9,392;9,994;10,82;11,432;11,503;10,315;10,887;12,209;13,811;15,284;16,5;17,332;18,006;19,687;21,324;23,146;24,39;25,618;26,326;27,344;29,029;32,048;35,419;39,608;45,598;51,066;52,095;55,773;63,38;70,913;77,138;82,546;88,187;93,525;100,357;106,582
Papua New Guinea;3,264;3,614;3,869;4,159;4,266;4,559;4,914;5,174;5,512;5,647;5,683;6,436;7,493;9,067;9,811;9,672;10,499;10,003;10,589;10,941;10,911;11,145;11,549;12,279;12,682;13,59;14,323;15,857;16,117;17,345;19,324;19,946;21,275;22,477;25,993;28,754;30,237;31,63;32,048
Paraguay;10,639;12,714;13,311;13,411;14,287;15,309;15,658;16,699;18,305;20,129;21,742;23,262;24,196;25,992;27,959;30,493;31,54;33,445;33,844;33,864;33,82;34,273;34,808;36,986;39,523;41,623;44,945;48,654;52,755;53,02;59,615;63,446;64,315;70,952;75,778;78,925;83,182;88,95;94,508
Peru;54,669;63,109;66,791;62,932;67,681;71,28;81,518;89,998;84,394;75,931;74,764;79,007;80,371;86,59;99,324;108,922;114,021;123,499;124,4;128,083;134,475;138,272;148,12;157,154;169,388;185,641;205,659;229,173;254,992;259,632;284,854;309,567;334,28;360;375,44;391,767;411,846;429,983;458,039
Philippines;90,557;102,518;112,792;119,406;114,654;109,638;115,667;123,638;136,642;150,811;161,206;165,695;170,043;177,756;189,517;202,544;218,31;233,59;234,857;245,591;262,156;275,659;290,229;310,312;340,009;367,35;398,31;436,073;463,016;471,903;513,839;543,771;591,243;644,114;696,35;746,284;805,918;875,925;953,288
Poland;169,226;166,713;168,435;184,834;190,802;204,438;215,842;226,271;241,946;261,017;251,368;241,665;252,197;269,241;289,397;315,343;341,152;371,627;394,532;418,336;445,905;461,177;475,236;501,305;541,239;577,596;631,85;694,468;738,062;764,663;801,475;859,27;889,833;918,048;966,067;1013,597;1055,457;1128,428;1215,444
Portugal;58,834;66,669;72,32;75,882;77,801;81,575;85,98;94,831;103,418;114,619;128,254;137,06;144,571;146,979;152,353;159,137;167,729;178,131;188,796;199,005;211,217;220,045;225,249;227,297;237,591;246,907;258,513;272,112;278,29;271,657;279,598;280,597;274,376;276,614;283,965;292,063;301,047;317,471;333,145
Puerto Rico;23,863;26,401;27,177;28,374;31,549;33,217;36,652;39,406;43,45;47,385;51,017;53,958;57,706;61,817;65,78;70,214;73,154;78,047;84,07;89,047;94,017;105,175;109,158;113,788;119,173;120,443;122,339;124,165;124,246;122,749;123,666;125,797;128,247;130,097;130,927;130,902;130,587;129,511;126,158
Qatar;17,684;18,603;18,131;17,837;21,436;19,232;20,346;21,037;22,803;24,953;22,096;22,463;25,578;25,838;26,763;27,98;29,739;39,331;44,236;46,797;51,684;54,876;59,748;63,122;77,279;85,656;111,344;134,899;161,814;182,542;218,153;252,498;269,403;286,22;303,116;317,474;327,598;339,04;352,487
Romania;106,821;117,045;129,123;142,231;156,205;160,985;168,167;173,705;178,931;175,162;171,519;154,398;144,073;149,74;158,95;173,867;184,041;175,883;169,294;169,763;178,627;192,07;206,236;214,984;243,794;263,123;292,851;322,471;359,341;342,103;332,588;346,35;360,326;379,533;399,742;419,541;444,236;484,245;516,359
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1707,685;1596,056;1423,109;1393,378;1367,696;1410,508;1350,14;1456,627;1638,788;1759,981;1872,641;2047,592;2253,601;2471,958;2754,426;3069,831;3293,764;3059,313;3234,344;3469,186;3666,555;3798,041;3895,405;3845,129;3897,737;4035,879;4227,428
Rwanda;2,162;2,426;2,512;2,768;3,24;3,489;3,755;3,836;3,983;3,903;4,066;4,023;4,386;4,024;2,388;3,037;3,451;4,034;4,419;4,631;5,13;5,688;6,541;6,807;7,514;8,474;9,534;10,539;11,943;12,787;13,883;15,302;16,943;18,053;19,52;21,473;22,993;24,86;27,657
Saint Kitts and Nevis;0,141;0,158;0,178;0,181;0,206;0,226;0,251;0,279;0,318;0,351;0,384;0,406;0,428;0,462;0,497;0,525;0,566;0,618;0,632;0,666;0,763;0,817;0,839;0,819;0,873;0,979;1,04;1,072;1,162;1,132;1,162;1,225;1,193;1,292;1,411;1,448;1,49;1,532;1,641
Saint Lucia;0,26;0,299;0,324;0,351;0,393;0,456;0,532;0,567;0,668;0,757;0,863;0,895;0,989;1,018;1,056;1,097;1,15;1,162;1,249;1,3;1,33;1,313;1,339;1,422;1,567;1,609;1,763;1,847;1,975;1,961;1,992;2,118;2,15;2,145;2,214;2,242;2,337;2,441;2,522
Saint Vincent and the Grenadines;0,167;0,19;0,207;0,222;0,242;0,26;0,28;0,289;0,338;0,363;0,395;0,417;0,457;0,485;0,489;0,533;0,549;0,579;0,612;0,634;0,66;0,685;0,739;0,808;0,868;0,922;1,007;1,066;1,081;1,067;1,055;1,079;1,114;1,162;1,187;1,209;1,232;1,264;1,321
Samoa;0,211;0,21;0,221;0,23;0,243;0,266;0,284;0,293;0,312;0,343;0,333;0,335;0,357;0,372;0,404;0,44;0,48;0,492;0,503;0,507;0,545;0,598;0,642;0,688;0,729;0,801;0,843;0,87;0,918;0,869;0,862;0,929;0,951;0,949;0,978;1,004;1,088;1,138;1,176
San Marino;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,147;1,247;1,379;1,441;1,554;1,584;1,676;1,8;1,901;2,034;2,237;2,268;2,049;1,96;1,834;1,738;1,754;1,774;1,837;1,902;1,949;2,019
Saudi Arabia;361,427;403,309;339,457;296,13;292,514;272,209;324,931;310,884;364,039;376,41;449,826;534,833;568,835;574,371;589,913;603,559;630,821;648,782;675,067;659,044;711,678;718,481;709,272;803,66;890,977;969,937;1027,155;1074,232;1163,568;1148,295;1220,218;1370,24;1472,094;1537,968;1624,052;1708,345;1754,87;1774,661;1862,149
Senegal;5,836;6,712;7,685;7,561;8,127;8,659;9,109;9,903;10,191;11,012;11,347;12,031;12,458;12,919;13,193;14,192;14,742;15,465;16,561;17,867;18,851;20,147;20,599;22,384;24,336;26,505;27,98;30,15;31,983;32,901;34,471;35,704;38,251;40,02;43,457;46,705;50,188;54,781;59,848
Serbia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;45,473;47,102;41,978;46,247;49,621;53,992;57,423;64,304;73,04;79,094;86,449;93,114;91,261;93;96,876;98,061;102,667;102,905;105,824;110,491;114,879;122,74
Seychelles;0,286;0,301;0,313;0,323;0,349;0,397;0,408;0,438;0,478;0,548;0,611;0,649;0,711;0,781;0,779;0,799;0,895;1,021;1,058;1,094;1,166;1,164;1,197;1,147;1,145;1,287;1,45;1,644;1,64;1,635;1,752;1,885;1,991;2,148;2,287;2,425;2,56;2,721;2,901
Sierra Leone;2,9;3,234;3,495;3,575;3,767;3,624;3,702;3,884;4,104;4,476;4,718;4,488;4,147;4,248;4,49;4,125;3,159;2,648;2,656;2,475;2,627;3,172;4,074;4,537;4,966;5,352;5,746;6,376;6,851;7,123;7,592;8,24;9,672;11,881;12,652;10,164;10,922;11,547;12,238
Singapore;21,77;26,407;30,03;33,876;38,184;39,147;40,471;45,95;52,929;60,592;69,033;76,141;83,047;94,76;107,524;117,684;128,792;141,913;140,36;150,537;167,813;169,66;179,091;190,691;215,053;238,07;267,363;299,315;310,837;313,586;363,321;394,138;419,571;447,489;473,549;492,319;512,152;541,102;571,687
Slovak Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;43,761;47,469;52,28;56,932;60,488;63,623;64,409;66,646;70,366;74,712;80,223;86,715;95,453;106,654;121,347;130,672;124,528;132,331;138,904;143,914;148,622;155,535;163,716;170,581;179,334;191,252
Slovenia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;22,293;23,46;25,231;26,816;28,291;30,232;31,575;33,739;35,76;37,719;39,659;41,592;44,573;47,707;51,975;57,097;60,251;56,127;57,544;59,252;58,795;59,211;61,976;64,005;66,687;71,226;75,967
Solomon Islands;0,186;0,2;0,208;0,225;0,233;0,233;0,238;0,264;0,277;0,3;0,318;0,348;0,401;0,427;0,472;0,53;0,549;0,553;0,567;0,572;0,501;0,472;0,466;0,505;0,561;0,652;0,699;0,764;0,834;0,8;0,865;0,999;1,065;1,116;1,163;1,205;1,256;1,327;1,412
Somalia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;9,175;9,464;9,809;10,226;10,689;11,113;11,479;12,088
South Africa;135,072;155,777;164,768;168,059;183,002;186,503;190,292;199,095;214,773;228,539;236,338;241,844;242,07;250,862;264,505;278,465;295,776;308,84;313,932;325,975;347,107;364,423;383,766;402,42;432,076;469,045;510,319;552,119;580,819;576,245;600,68;633,368;659,804;688,065;713,743;729,783;740,282;764,892;789,695
South Sudan, Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;35,254;17,092;22,493;23,578;23,782;20,007;19,264;19,512
Spain;297,764;324,606;348,931;368,588;388,373;410,12;432,734;468,753;510,929;557,53;600,644;636,641;656,69;663,417;693,401;737,123;768,795;812,282;858,132;911,832;979,319;1040,806;1087,722;1143,257;1211,183;1295,406;1390,325;1481,493;1527,17;1483,83;1501,344;1517,418;1501,223;1501,493;1550,366;1623,678;1692,47;1775,784;1865,967
Sri Lanka;16,626;19,171;21,421;22,998;25,43;27,535;29,292;30,452;32,377;34,404;37,894;43,415;43,013;47,324;52,218;56,539;64,577;72,451;72,06;75,206;83,359;83,528;88,011;94,971;102,838;112,66;124,97;137,049;148,028;154,435;168,758;186,763;207,752;218,575;233,664;247,92;261,725;275,773;291,558
Sudan;20,757;24,157;26,708;27,335;26,728;27,401;30,729;33,524;36,22;38,175;38,93;43,074;46,497;48,908;51,707;57,469;61,72;66,587;72,886;77,07;85,399;96,757;104,127;112,731;121,711;132,591;145,526;158,005;167,275;163,885;172,192;170,822;144,494;149,915;159,822;164,575;171,165;177,29;177,564
Suriname;2,089;2,33;2,319;2,286;2,298;2,349;2,339;2,186;2,507;2,666;2,724;2,427;2,58;2,583;2,453;2,788;3,157;3,436;3,551;3,57;3,646;3,909;4,119;4,455;4,91;5,311;5,788;6,246;6,632;6,884;7,324;7,914;8,284;8,676;8,859;8,646;8,249;8,547;8,93
Sweden;86,954;99,502;107,156;113,644;122,801;129,564;136,041;143,958;152,701;162,597;170,031;173,976;176,206;178,084;189,111;200,796;207,775;217,908;229,751;243,116;260,666;270,293;280,599;292,225;313,075;332,175;357,979;380,208;386,663;373,106;400,814;421,677;427,053;439,273;459,694;485,013;501,86;523,644;548,868
