Inflation rate, end of period consumer prices (Annual percent change);1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Bolivia;23,9;25,1;296,8;328,4;2177,3;8170,5;64,6;10,7;21,5;16,6;18;15,4;10,5;9,3;8,5;12,6;7,9;6,7;4,4;3,1;3,4;0,9;2,4;3,9;4,6;4,9;3;11,7;11,8;0,3;7,2;6,9;4,5;6,5;5,2;3;4;2,7;1,5
Bosnia and Herzegovina;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;12,9;-11,7;5,7;-0,3;2,8;7;3;-0,4;0,5;0,6;4,3;4,5;4,9;3,8;0;3,1;3;1,8;-1,4;-0,4;-1,3;-0,5;0,7;1,6
Botswana;no data;14,6;12,7;8,3;6,5;10,4;10,8;8,1;10,4;11,3;12;12,6;16,5;12,7;9,8;10,8;9,6;7,8;6,4;8,4;8,5;5,8;10,6;6,4;7,9;11,3;8,5;8,1;13,7;5,8;7,4;9,2;7,4;4,1;3,8;3,1;3;3,2;3,5
Brazil;no data;95,7;104,8;164;215,3;242,2;79,7;363,4;980,2;1972,9;1621;472,7;1119,1;2477,1;916,4;22,4;9,6;5,2;1,7;8,9;6;7,7;12,5;9,3;7,6;5,7;3,1;4,5;5,9;4,3;5,9;6,5;5,8;5,9;6,4;10,7;6,3;2,9;3,7
Brunei Darussalam;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1,3;4,3;2,4;6;2;1,7;-0,4;0;1,2;0,6;-2,3;0,9;1,7;0;-0,3;1,9;1,9;0,5;0,2;0,2;0;0,2;1,2;-1;-1,6;0;0
Bulgaria;no data;no data;no data;no data;no data;no data;no data;no data;no data;69,6;64,3;4027,8;79,4;63,8;121,9;32,9;310,8;549,2;1,6;7;11,3;4,8;3,8;5,6;4;7,4;6,1;11,6;7,2;1,6;4,4;2;2,8;-0,9;-2;-0,9;-0,5;1,8;2,3
Burkina Faso;no data;6,5;13,4;2,7;7,5;1;-3,5;3;2,2;1,6;-1,4;-0,9;-0,2;2,7;29,1;3,9;6,9;4,2;1;0,7;2,4;1;3,9;3,2;0,7;4,5;1,5;2,3;11,6;-1,8;-0,3;5,1;1,7;0,1;-0,1;1,3;-1,6;2,1;0,3
Burundi;no data;11;8;5,3;25;-5,5;4,4;5;5,4;12;10,7;8,3;3,5;15,5;13,2;19,2;37,4;26,6;-1,2;21;14,1;3,7;3,3;10,9;12,1;1,1;9;14,7;25,7;4,6;4,1;14,9;11,8;9;3,7;7,1;9,5;10,5;5,3
Cabo Verde;no data;20,7;21,8;17,9;9,7;5,9;11,1;3,7;3,6;4,7;11,1;10,6;13,9;4,4;3,9;5,7;9,1;0,4;8,4;-1,6;-1;4,6;3;-2,3;-0,3;1,8;5,8;3,4;6,6;-0,3;3,4;3,5;4,1;0,1;-0,3;-0,5;-0,3;0,3;1
Cambodia;no data;no data;no data;no data;no data;no data;no data;no data;31;89;151;150;112;41;29,9;-1,9;10;16,7;8;0,2;0,3;-0,5;1,4;0;5,3;8,4;4,2;14;12,5;5,3;3,1;4,9;2,5;4,7;1;2,8;3,9;2,2;1,6
Cameroon;no data;4,6;13,4;13,5;16,6;3,7;8,5;18,9;-1,9;0;-0,7;-0,2;0,8;-4,1;33,8;16,2;0,8;4,6;5,9;-0,5;1,5;5;2,4;-0,1;1;3,5;2,4;3,4;5,3;0,9;2,6;2,7;2,5;1,7;2,6;1,5;0,3;0,8;2
Canada;7,3;12,4;9,6;4,7;3,7;4,1;4,4;4,2;4,1;5,2;4,9;4,1;1,8;1,8;0;2,1;2;1;1,1;2,4;3,1;1,1;3,8;1,7;2,3;2,3;1,4;2,5;1,8;0,8;2,2;2,7;1;1;2;1,3;1,4;1,8;2,1
Central African Republic;no data;14,7;13,2;14,6;2,6;10,5;2,4;-7;-3,9;0,6;-1,1;-0,8;0;-4,8;44,7;5;4,6;0,4;-3;-4,2;8,1;2,5;9,1;-1,3;-0,3;2,2;7,1;-0,2;14,5;-1,2;2,3;4,3;5,9;5,9;9,7;4,8;1,6;7,2;4,6
Chad;no data;8,1;6,5;11,6;20,3;5,1;-16;-4,7;14,9;-4,8;3,4;2,1;-6,8;31,4;15,3;10;10,5;0,6;3,5;3,3;13;0,7;12,6;-11,9;9,2;-8,1;8;1,7;9,7;4,7;-2,2;10,7;2,1;0,9;3,7;2,2;-5;3,1;4,4
Chile;31,2;11,2;20,7;23,4;23,6;26,8;17,3;21,1;12,3;21,2;27,2;18,8;12,9;12,5;9,2;8,3;6,7;6;4,7;2,3;4,6;2,7;2,9;1,1;2,4;3,7;2,6;7,9;7,1;-1,5;2,9;4,4;1,5;3,1;4,7;4,4;2,7;2,3;2,1
China, People's Republic of;no data;no data;no data;no data;no data;11,2;6,6;8,9;27,9;6,6;4,3;4,5;8,8;18,8;25,5;10,1;7;0,4;-1;-1;1,5;-0,3;-0,4;3,2;2,4;1,6;2,8;6,5;1,2;1,9;4,6;4,1;2,5;2,5;1,5;1,6;2,1;1,8;1,9
Colombia;25,9;27,5;23,3;16,8;18,6;22,7;20,6;24,2;28,3;26,3;32,4;26,9;25,2;22,6;22,6;19,4;21,5;17,5;16,5;9;8,5;7,5;6,8;6,4;5,5;4,8;4,5;5,7;7,6;1,9;3,1;3,7;2,5;2;3,7;6,8;5,8;4,1;3,2
Comoros;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;-7;0;1,5;4,2;-1,3;3,3;9,4;-0,9;4,6;3,3;7,2;1,7;2,2;7,4;2,2;6,7;4,9;1;2,2;-0,9;2,7;-1,4;1,4;0,9
Congo, Dem. Rep. of the;no data;52,2;40,7;-11,1;159,1;39,2;38,3;106,5;120,6;56,1;265;4228;2729,8;4583,1;9796,9;370,3;1705,1;20;133,3;485,7;509,8;135,1;15,8;4,4;9,2;21;18,2;10;27,6;53,4;9,8;8,7;2,8;1,1;1;0,8;11,2;54,7;7,2
Congo, Republic of ;no data;0,8;3,5;3,5;3,5;3,5;3,5;3,5;-13;-11,6;1,5;7,4;-2,7;0;-18,2;28,8;5,5;16;-2,5;3,8;-3,1;8,3;-2,9;6,7;1,1;3,1;18,1;-3,9;11,8;-1,8;2,6;1,8;7,5;2,1;0,5;4,1;0;1,8;0,9
Costa Rica;18;64,9;82,7;10,3;17,6;11;15,3;16,6;25,2;10;27,3;25,3;16,9;9;19,9;22,6;13,9;11,2;12,4;10,1;10,3;10,9;9,7;9,9;13,1;14,1;9,4;10,8;13,9;4;5,8;4,7;4,6;3,7;5,1;-0,8;0,8;2,6;2
Croatia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1151,6;-3;3,7;3,6;4;6;3,8;5,4;2,5;1,8;1,7;2,8;3,6;2,1;5,8;2,9;1,9;1,8;2,1;4,6;0,3;-0,5;-0,6;0,2;1,2;0,9
Cyprus;13,5;10,3;4,6;4,1;8,2;1,9;2,8;2,2;4,2;2,8;5,8;6,5;6,5;3,2;5,2;1,6;2;3,8;0,8;3,5;3,7;2,2;3,1;2,3;3,9;1,4;1,5;3,8;2;1,8;2,1;4,4;1,6;-1,1;-0,9;-0,5;0,1;-0,3;1,1
Czech Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8,7;10,1;6,8;2,3;4;4,1;0,7;1;2,7;2,3;1,7;5,4;3,7;1;2,3;2,4;2,4;1,4;0,1;0;2;2,4;2
C?te d'Ivoire;no data;7,8;5,7;8,4;4,1;4,4;8,3;7,5;4,1;0,1;0,1;1,7;3,6;2,5;32,2;7,7;3,5;4,6;2;1,6;3,6;4,8;4,4;-0,1;4,4;2,5;2;1,5;9;-1,7;5,1;2;3,4;0,4;0,9;1,4;-0,2;1,1;1,1
