gdppcppp;GDP per capita, current prices (Purchasing power parity, international dollars per capita)
gdpppp;GDP, current prices (Purchasing power parity, billions of international dollars)
pop;Population (Millions of people)
infl;Inflation rate, end of period consumer prices (Annual percent change)
