Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
17. ТРАНСПОРТ;;;;;;;;;;;;;;;;;;;;
"17.10. ПЛОТНОСТЬ АВТОМОБИЛЬНЫХ ДОРОГ ОБЩЕГО ПОЛЬЗОВАНИЯ С ТВЕРДЫМ ПОКРЫТИЕМ1);2)";;;;;;;;;;;;;;;;;;;;
"(на конец года; км путей на 1000 км2 территории)";;;;;;;;;;;;;;;;;;;;  
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;31;31;32;32;32;31;35;37;37;38;39;43;54;58;60;61;62;62;63;
Центральный   федеральный округ;184;185;186;187;188;179;206;214;215;232;232;240;319;337;345;349;355;358;364;
Белгородская область;237;239;241;241;242;243;243;244;248;248;247;251;600;639;675;704;729;733;731;
Брянская область;178;181;184;185;186;186;187;188;189;195;194;194;280;304;307;307;312;315;320;
Владимирская область;191;191;191;192;192;99;194;195;194;194;216;314;315;330;332;336;340;343;347;
Воронежская область;174;174;175;175;175;176;193;197;201;204;205;207;303;319;323;327;338;345;359;
Ивановская область;160;161;163;164;165;168;172;217;182;183;217;248;313;333;340;333;335;334;334;
Калужская область;165;168;172;175;176;122;287;299;301;301;304;307;312;318;319;321;321;323;330;
Костромская область;92;92;93;94;93;62;92;92;92;92;92;92;112;127;130;133;136;136;137;
Курская область;203;205;206;208;208;207;230;231;242;243;244;247;336;345;352;357;362;367;371;
Липецкая область;214;215;216;217;217;220;231;237;248;253;256;264;482;507;514;520;528;533;541;
Московская область;343;347;349;352;356;367;471;525;536;636;670;672;695;698;709;720;729;740;776;
Орловская область;163;165;168;171;173;173;203;212;201;226;225;234;336;358;363;364;368;371;378;
Рязанская область;167;169;171;173;174;175;178;178;183;185;197;203;228;258;261;264;269;269;269;
Смоленская область;178;178;178;179;179;179;180;180;180;180;180;181;266;278;279;283;308;310;311;
Тамбовская область;154;156;160;160;161;161;163;167;168;169;184;191;259;284;286;282;286;288;290;
Тверская область;178;178;178;179;179;179;181;183;183;186;184;186;211;230;244;248;249;248;249;
Тульская область;201;200;200;199;199;200;201;202;203;206;206;224;364;389;393;395;394;396;399;
Ярославская область;172;172;172;171;170;171;172;173;177;195;193;196;256;262;264;265;269;270;273;
г. Москва;…;…;…;…;…;…;…;…;…;…;…;…;2114;2171;2438;2453;2472;2496;2524;
Северо-Западный    федеральный округ;40;40;40;40;40;40;43;43;45;45;45;47;56;60;61;61;62;62;62;
Республика Карелия;38;38;39;39;39;37;37;37;37;37;37;37;44;46;47;47;48;48;48;
Республика Коми;13;13;13;13;13;13;14;14;14;14;14;14;14;15;15;16;16;16;16;
Архангельская область;12;12;13;13;13;13;16;17;18;18;18;19;20;21;21;21;21;21;21;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;0,9;1,0;1,0;1,0;1,0;1,0;1,1;1,1;1,1;1,1;1,1;1,1;1,2;1,2;1,2;1,2;1,3;1,4;1,5;
Архангельская область    без автономного округа;17;17;17;18;18;18;22;24;25;25;26;27;28;29;29;29;29;29;29;
Вологодская область;81;81;82;79;78;79;82;81;81;79;81;82;101;114;118;118;117;116;116;
Калининградская область;303;304;305;305;306;306;413;414;417;438;439;427;440;492;511;513;519;521;521;
Ленинградская область;122;123;123;124;124;127;128;128;133;133;135;137;180;211;212;207;207;209;212;
Мурманская область;17;17;17;17;17;17;18;18;18;19;19;20;23;23;23;23;23;23;23;
Новгородская область;156;157;158;159;159;161;163;165;168;170;175;177;192;202;196;198;198;198;202;
Псковская область;180;180;180;180;180;180;180;185;198;198;200;230;272;287;292;299;301;302;303;
г. Санкт-Петербург;…;…;…;…;…;…;…;…;…;…;…;…;2156;2281;2290;2377;2451;2468;2490;
Южный            федеральный округ;89;91;93;94;94;75;121;122;125;131;132;144;187;204;223;227;229;232;235;
Республика Адыгея;202;203;207;207;208;204;203;203;204;206;207;556;562;564;564;563;564;570;571;
Республика Калмыкия;31;34;36;37;38;39;42;42;42;42;42;40;43;46;47;47;48;49;49;
Республика Крым;;;;;;;;;;;;;;;451;479;486;494;494;
Краснодарский край;137;140;142;143;143;136;219;225;239;272;280;296;419;428;438;447;454;463;472;
Астраханская область;60;61;61;61;61;54;62;64;67;68;68;75;81;84;87;88;88;88;87;
Волгоградская область;76;77;78;78;78;79;109;108;108;108;109;119;134;140;140;141;142;143;146;
Ростовская область;114;118;120;123;123;48;141;143;142;140;139;139;202;258;260;261;262;263;264;
г. Севастополь;;;;;;;;;;;;;;;801;1019;951;1084;1101;
Северо-Кавказский     федеральный округ;151;150;152;152;151;152;169;182;183;192;221;294;348;367;374;392;393;401;406;
Республика Дагестан;145;145;147;148;148;150;152;152;152;153;153;384;371;370;370;397;396;410;417;
Республика Ингушетия;200;200;201;196;189;241;241;241;241;241;489;586;606;629;644;830;832;838;848;
Кабардино-Балкарская Республика;231;232;233;235;237;238;426;442;444;444;472;472;529;545;565;565;571;575;589;
Карачаево-Черкесская Республика;134;134;134;134;134;133;213;236;243;249;251;254;297;331;334;341;344;346;347;
Республика Северная Осетия – Алания;289;257;286;286;286;286;286;349;312;436;485;437;663;696;697;691;692;695;715;
Чеченская Республика;200;200;201;196;189;179;179;179;179;180;388;385;440;480;510;562;565;573;586;
Ставропольский край;113;113;114;113;113;114;104;122;125;133;134;146;232;258;264;267;269;272;272;
Приволжский  федеральный округ;121;122;123;124;125;126;130;140;141;145;150;152;200;207;218;226;227;229;232;
Республика Башкортостан;152;153;153;154;155;156;161;161;137;163;163;165;190;206;260;296;301;304;306;
