Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
ОСНОВНЫЕ ПОКАЗАТЕЛИ СЕЛЬСКОГО ХОЗЯЙСТВА;;;;;;;;;;;;;;;;;;;;
"14.3. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ДЕЯТЕЛЬНОСТЬ В РАСТЕНИЕВОДСТВЕ И ЖИВОТНОВОДСТВЕ1);2)";;;;;;;;;;;;;;;;;;;;
14.3.1. Сальдированный финансовый результат (прибыль минус убыток) организаций . Растениеводство;;;;;;;;;;;;;; ;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
Уральский       федеральный округ;-9;661;2116;1886;400;-66;839;661;-467;-553;1300;-912;1049;371;;;;;;
Курганская область;4;78;256;256;-8;-81;-10;246;68;182;510;103;511;120;;;;;;
Свердловская область ;54;180;236;384;305;222;133;105;101;203;251;197;179;72;;;;;;
Тюменская область;207;327;748;489;387;91;484;197;108;102;747;160;545;340;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;3;8;1;-0,4;-6;18;3;-125;-8;13;-30;-4;-3;;;;;;
Ямало-Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-6;-;-;;;;;;
Тюменская область    без автономных округов;-;324;740;488;387;97;466;194;233;110;734;196;549;343;;;;;;
Челябинская область;-274;76;876;757;-284;-298;232;113;-744;-1040;-208;-1372;-186;-161;;;;;;
Сибирский    федеральный округ;8;717;3646;4997;1236;2601;3792;1414;2649;2172;5801;4817;3282;4542;;;;;;
Республика Алтай;1;3;6;5;9;7;7;48;129;24;2;4;1;-;;;;;;
