Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;
РАСТЕНИЕВОДСТВО;;;;;;;;;;;;;;;;;;;
14.14. УРОЖАЙНОСТЬ САХАРНОЙ СВЕКЛЫ;;;;;;;;;;;;;;;;;;;
"(в хозяйствах всех категорий; центнеров с одного гектара убранной площади)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация, млн т;188;199;219;227;277;282;325;292;362;323;241;392;409;442;370;388;470;442;381
Центральный федеральный округ;189;196;217;245;259;293;344;322;375;324;204;407;431;445;355;391;470;445;401
Белгородская область;209;207;222;235;298;311;322;319;354;284;181;407;424;414;415;379;532;411;442
Брянская область;147;149;161;184;172;244;338;382;392;412;300;363;430;505;… 1);… 1);427;443;479
Владимировская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Воронежская область;189;193;209;245;241;281;318;296;363;294;179;382;438;439;395;437;484;470;395
Ивановская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Калужская область;140;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Костромская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Курская область;202;186;216;208;238;253;366;343;396;391;228;414;426;404;335;352;488;483;464
Липецкая область;188;214;240;317;328;374;416;388;386;340;218;406;490;459;299;380;445;420;348
Московская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Орловская область;202;189;212;204;192;253;367;314;353;300;272;419;406;446;326;333;403;405;403,9
Рязанская область;167;159;166;230;201;291;345;312;415;413;232;389;421;410;321;429;489;463;385,7
Смоленская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тамбовская область;151;181;220;236;228;274;339;304;395;327;196;437;397;505;364;429;448;445;377,9
Тверская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тульская область;165;224;185;235;247;276;369;275;314;363;231;470;461;519;296;367;494;433;406
Ярославская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
г. Москва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Северо-Западный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;… 1);-;-;-;-;-
Республика Карелия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Коми;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Архангельская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
  в том числе:;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
 Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
 Архангельская область без автономного округа;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Вологодская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Калининградская область;-;-;-;-;-;-;-;-;-;-;-;-;-;… 1);-;-;-;-;-
Ленинградская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Мурманская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Новгородская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Псковская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
г. Санкт-Петербург;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Южный          федеральный округ;223;237;296;229;389;326;359;262;428;378;354;453;423;511;476;449;555;491;376
Республика Адыгея;89;98;74;129;134;40;226;-;-;324;210;463;260;-;-;-;… 1);-;… 1)
Республика Калмыкия;10;60;177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Крым;;;;;;;;;;;;;;;-;-;-;-;-
Краснодарский край;229;241;302;231;395;328;363;268;440;384;365;456;425;518;494;466;556;497;386
Астраханская область;125;145;125;141;139;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Волгоградская область;101;120;101;90;357;225;276;203;199;53;51;295;-;-;-;-;… 1);393;…
Ростовская область;114;171;160;192;282;292;321;201;312;313;283;430;389;433;332;311;546;438;307
г. Севастополь;;;;;;;;;;;;;;;-;-;-;-;-
Северо-Кавказский федеральный округ;198;250;340;233;397;330;367;342;446;454;421;483;496;516;576;491;663;545;470
Республика Дагестан;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Ингушетия;154;142;260;154;149;72;138;126;-;-;-;-;-;-;-;-;-;-;-
Кабардино-Балкарская Республика;64;112;50;121;103;219;-;-;-;-;-;-;-;-;-;-;-;-;-
Карачаево-Черкесская Республика;158;165;236;170;215;166;163;306;321;360;405;345;430;497;485;404;493;375;489
Республика Северная Осетия – Алания;236;186;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Чеченская Республика ;…;…;…;89;134;67;100;-;135;127;142;188;171;142;203;292;319;175;-
Ставропольский край;224;284;382;292;481;384;436;352;505;508;449;535;524;603;624;518;708;599;490
Приволжский федеральный округ;163;174;139;186;222;240;274;252;285;260;144;288;329;378;287;311;355;370;312
Республика Башкортостан;167;174;133;146;196;208;241;206;217;254;97;249;209;338;250;259;269;310;318
Республика Марий Эл;157;61;120;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Мордовия;215;211;216;217;241;290;376;383;371;394;287;393;453;411;372;368;435;352;329
Республика Татарстан;214;237;165;222;269;290;302;291;300;274;167;244;371;399;292;356;370;420;330
Удмуртская Республика;-;-;-;-;-;-;-;-;-;-;-;373;-;-;-;-;-;-;-
Чувашская Республика;196;167;174;163;182;190;245;280;303;223;211;274;263;338;264;262;347;310;301
Пермский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кировская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Нижегородская область ;210;183;160;173;209;193;228;178;241;175;123;235;290;315;187;166;255;225;256
Оренбургская область;112;104;144;280;167;147;175;108;60;98;-;167;98;178;230;279;150;… 1);… 1)
Пензенская область;114;127;120;203;185;225;285;262;335;254;141;349;355;401;304;325;394;403;301
Самарская область;137;122;59;153;123;120;165;186;-;24;100;297;178;150;-;-;-;-;-
Саратовская область;83;98;98;180;212;208;236;226;310;192;131;289;331;432;300;312;422;437;352
Ульяновская область;154;151;112;182;228;261;294;271;296;150;161;307;309;368;262;302;352;306;356
Уральский        федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Курганская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Свердловская область ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тюменская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ямало-Ненецкий автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Тюменская область без автономных округов;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Челябинская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Сибирский         федеральный округ;159;163;165;155;172;186;152;208;208;301;254;300;245;381;344;370;489;475;392
Республика Алтай;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Тыва;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Хакасия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Алтайский край;159;163;165;155;172;186;152;208;208;301;254;300;245;381;344;370;489;475;392
Красноярский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Иркутская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Кемеровская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Новосибирская область ;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Омская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Томская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Дальневосточный федеральный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Бурятия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Республика Саха (Якутия);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Забайкальский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Камчатский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Приморский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Хабаровский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Амурская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Магаданская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Сахалинская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Еврейская автономная область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?????;;;;;;;;;;;;;;;;;;;
1) Данные не публикуются в целях обеспечения конфиденциальности первичных статистических данных, полученных от организаций, в соответствии с Федеральным законом от 29.11.2007 г. № 282-ФЗ «Об официальном статистическом учете и системе государственной статистики в Российской Федерации» (п. 5 ст. 4, ч.1 ст. 9).;;;;;;;;;;;;;;;;;;;
