Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;;;
6.4. ВЫПУСК ГАЗЕТ на 1000 человек населения1);;;;;;;;;;;;;;;;;;;
"(разовый тираж; экземпляров)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Чувашская Республика;470;443;491;820;872;981;1046;942;1005;1270;1103;1380;1278;914;946;1761;1644;792;909
Пермский край;551;357;922;1793;1311;1123;1877;2120;1717;1104;1287;1888;2250;1550;1465;1519;2420;1131;986
Кировская область;203;219;266;690;520;283;501;574;551;771;1242;1618;1643;1611;1639;1361;1342;1004;1058
Нижегородская область;494;380;429;1101;1043;1408;2008;2747;2615;2462;2216;2364;2623;3886;3497;3190;3436;2203;2187
Оренбургская область;347;224;331;355;426;431;520;647;508;506;510;616;782;727;892;922;581;442;418
Пензенская область;227;165;333;415;463;457;501;536;538;745;1025;1563;1622;1518;1281;1086;857;1007;911
Самарская область;848;836;958;2419;2324;1585;1599;1401;1072;750;737;854;908;1078;1096;1131;1238;2481;1179
Саратовская область;317;259;260;892;502;894;940;822;870;1020;1173;1271;1362;1154;1277;1324;1319;2544;643
Ульяновская область;486;595;349;1519;1091;689;851;934;1463;819;666;936;915;853;819;800;1480;1086;1537
Уральский       федеральный округ;377;283;389;787;688;730;892;747;691;630;749;910;1035;1011;1099;964;1273;828;727
Курганская область;228;315;226;360;364;252;763;252;275;328;479;495;553;446;579;525;477;470;425
Свердловская область;343;226;378;690;474;381;846;517;486;414;630;800;898;884;794;712;1407;656;639
Тюменская область;280;311;358;800;858;858;578;667;718;716;797;720;718;680;675;606;684;728;497
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;338;361;539;677;717;…;124;238;811;796;586;518;683;456;503;333;485;508;396
Ямало-Ненецкий автономный округ;147;142;166;308;218;…;127;141;187;274;182;210;182;368;165;146;164;310;218
Тюменская область    без автономных округов;;;;;;2156;1267;1360;825;798;1280;1151;968;1056;1062;1085;1095;1124;708
Челябинская область;547;321;478;1017;887;1174;1280;1240;1029;894;920;1341;1647;1645;2038;1754;1915;1232;1152
Сибирский        федеральный округ;288;254;285;495;521;508;676;607;683;820;680;821;908;925;833;749;828;662;670
Республика Алтай;730;364;148;143;128;158;149;130;265;192;146;134;324;466;557;325;582;525;807
Республика Тыва;26;16;29;26;36;23;59;59;161;220;247;240;197;234;139;223;161;205;188
Республика Хакасия;117;159;259;272;235;308;338;284;187;435;522;621;744;769;590;559;532;501;452
Алтайский край;294;319;335;383;395;920;1640;348;593;706;654;858;826;791;681;661;667;704;630
Красноярский край;139;116;191;180;343;238;266;274;405;940;578;690;642;857;1007;712;1002;629;552
Иркутская область;476;554;497;1073;779;754;759;1017;1063;863;739;744;966;932;765;748;1057;663;800
Кемеровская область;236;215;218;353;663;431;422;482;473;478;496;848;804;894;782;673;761;620;623
Новосибирская область;460;219;218;645;643;300;510;725;834;1313;906;1085;1195;1257;1035;889;809;697;708
Омская область;294;220;310;836;805;719;934;1259;1226;931;857;994;1267;940;739;835;648;632;816
Томская область;380;367;469;440;348;308;350;351;371;600;759;613;952;965;1029;1060;1153;975;767
Дальневосточный    федеральный округ;219;203;289;438;805;561;529;502;513;509;477;528;668;687;751;674;647;549;556
Республика Бурятия;128;136;298;182;218;186;138;425;393;618;361;444;570;711;571;594;609;464;470
Республика Саха (Якутия);40;73;54;119;163;138;110;183;242;367;370;469;564;608;549;431;424;374;421
Забайкальский край;79;118;147;263;288;292;253;264;223;189;271;287;379;430;406;409;365;355;350
