Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;  
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;;
19.12. ИННОВАЦИОННАЯ АКТИВНОСТЬ ОРГАНИЗАЦИЙ;;;;;;;;;;;;;;;;;;;;
19.12.2. Удельный вес организаций, осуществлявших технологические инновации, в общем числе обследованных организаций в 2000-2016 гг.1);;;;;;;;;;;;;;;;;;;;
(в процентах);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;;;
Краснодарский край;5,9;5,4;4,1;2,9;3,9;4,1;5,8;6,4;5,3;4,8;4,6;4,6;5,5;4,2;4,8;5,2;7,3;;;
Астраханская область;2,7;4,2;2,0;6,3;6,1;9,0;2,9;5,1;5,4;7,0;10,6;5,2;5,2;8,1;11,6;11,8;8,6;;;
Волгоградская область;15,9;15,0;12,6;17,2;15,8;14,3;9,5;10,1;8,6;7,8;6,9;6,3;6,0;7,3;5,5;5,9;4,6;;;
Ростовская область;10,4;11,5;10,9;12,5;11,8;11,2;9,2;8,7;8,4;6,6;6,6;5,8;8,1;7,2;8,8;9,2;7,8;;;
г. Севастополь;;;;;;;;;;;;;;;4,8;-;2,2;;;
Северо-Кавказский      федеральный округ;6,2;7,2;9,0;9,5;8,2;8,2;6,4;5,2;4,7;4,8;5,0;4,2;5,6;5,3;5,8;4,4;2,6;;;
Республика Дагестан;6,4;12,1;14,5;11,3;11,1;9,2;10,1;8,3;7,4;5,9;3,8;1,0;4,3;5,7;8,5;6,1;1,9;;;
Республика Ингушетия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20,0;5,6;-;;;
Кабардино-Балкарская Республика;3,5;3,4;2,6;3,4;4,0;6,8;5,2;2,4;4,1;4,6;6,6;8,1;8,5;9,3;6,7;2,5;2,4;;;
Карачаево-Черкесская Республика;10,5;13,6;11,3;14,0;9,1;10,8;7,3;8,6;5,3;4,5;3,2;3,5;2,8;1,8;2,7;2,0;0,8;;;
Республика Северная Осетия –  Алания;3,2;5,3;3,8;4,2;2,5;2,1;2,0;2,8;3,3;5,0;6,5;4,7;4,5;5,3;5,9;3,8;3,1;;;
Чеченская Республика ;...;...;...;...;...;...;-;-;-;-;-;-;-;-;0,5;1,6;0,3;;;
Ставропольский край;7,6;7,7;13,0;13,8;12,7;10,5;7,9;5,7;6,3;6,2;6,3;5,2;7,8;7,7;7,7;6,6;4,5;;;
Приволжский        федеральный округ;10,1;9,3;9,4;10,4;11,0;10,8;9,9;10,9;10,9;10,5;10,2;11,2;10,8;10,4;10,4;9,5;8,4;;;
Республика Башкортостан;6,7;6,6;6,2;11,4;6,1;8,0;7,5;10,8;11,7;11,3;10,0;12,6;12,6;10,6;8,9;7,9;6,2;;;
Республика Марий Эл;3,7;2,6;2,9;4,4;3,8;4,0;3,6;3,5;5,7;5,1;6,9;6,7;7,9;7,0;6,2;7,5;4,6;;;
Республика Мордовия;4,7;7,3;6,4;10,2;9,0;6,2;8,2;9,2;8,8;9,2;9,1;11,0;12,1;16,0;16,9;14,9;12,4;;;
Республика Татарстан;13,4;9,6;12,6;12,7;15,9;12,7;11,3;10,9;12,8;12,5;12,9;16,4;16,9;18,7;18,9;19,5;20,0;;;
Удмуртская Республика;8,1;6,4;7,8;7,9;9,0;8,3;11,5;11,4;10,8;11,3;10,4;14,3;12,2;9,5;9,9;9,3;6,6;;;
Чувашская Республика;9,6;10,1;8,6;9,8;9,6;13,6;8,3;14,2;10,1;13,0;13,7;13,8;20,1;17,5;22,6;22,7;23,1;;;
Пермский край;28,2;26,2;29,9;29,3;27,6;33,2;24,9;21,8;24,5;22,1;19,3;12,7;12,9;10,2;9,8;9,4;7,1;;;
Кировская область;3,6;3,0;2,7;3,3;3,5;3,5;4,4;6,7;7,2;6,8;5,6;7,0;7,0;7,6;8,3;8,3;8,2;;;
Нижегородская область;15,5;15,5;13,5;14,9;15,1;14,7;12,7;12,1;11,7;11,8;11,4;13,6;13,6;13,7;12,5;11,1;11,3;;;
Оренбургская область;6,6;7,3;9,6;7,2;7,7;6,9;11,4;12,1;14,3;14,1;12,5;13,3;10,0;10,3;11,0;10,1;6,1;;;
Пензенская область;5,1;6,2;4,4;5,5;5,4;8,4;7,3;7,7;7,6;6,4;7,8;9,8;10,0;14,6;16,3;12,1;17,5;;;
Самарская область;24,9;17,9;18,7;16,2;17,8;15,1;12,7;14,0;11,6;9,7;10,8;8,5;5,7;5,0;5,3;4,7;3,6;;;
Саратовская область;9,0;8,2;8,0;7,2;9,9;9,4;7,7;7,8;6,7;5,8;5,4;5,2;6,6;5,4;6,5;5,4;4,0;;;
Ульяновская область;8,2;6,0;6,1;4,8;7,3;6,3;6,2;6,9;6,3;6,3;6,1;6,4;5,1;6,4;4,4;4,3;3,2;;;
Уральский   федеральный округ;10,6;10,4;12,1;13,3;12,7;12,4;9,8;10,0;8,3;8,1;9,6;9,8;9,0;8,0;7,1;6,7;6,5;;;
Курганская область;9,2;9,1;8,5;10,6;11,1;10,4;9,2;11,7;10,5;10,5;12,0;12,0;8,9;6,5;4,4;4,0;3,8;;;
Свердловская область;11,3;8,8;14,8;18,1;17,5;18,3;12,2;11,6;10,3;10,4;12,4;10,9;11,3;10,2;8,8;7,8;7,8;;;
Тюменская область;8,4;7,7;9,5;7,4;7,1;5,8;6,1;6,1;5,0;5,2;7,8;8,5;6,7;6,4;6,3;6,0;6,6;;;
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный     округ – Югра;11,1;8,9;10,8;7,0;6,7;5,3;8,6;7,4;4,4;4,8;6,7;7,5;5,6;5,6;3,8;3,6;4,5;;;
Ямало-Ненецкий автономный округ;4,0;6,3;6,2;7,1;8,5;6,5;5,2;5,3;6,4;4,5;6,6;7,4;7,2;4,7;7,3;6,3;6,8;;;
Тюменская область    без автономных округов;8,1;7,0;9,6;8,0;6,8;6,1;4,2;5,1;5,2;6,2;10,1;10,4;7,9;8,4;9,0;9,0;9,0;;;
Челябинская область;12,7;17,6;12,1;12,8;12,8;13,9;11,9;13,2;10,0;9,5;8,4;9,5;9,8;8,0;7,6;8,1;6,2;;;
Сибирский         федеральный округ;6,2;6,4;6,6;7,3;7,2;8,0;6,8;6,9;6,9;6,4;6,8;7,6;7,7;8,2;7,9;7,2;6,0;;;
Республика Алтай   ;3,9;20,8;-;-;-;16,0;5,5;1,5;2,4;5,5;6,5;21,2;18,5;18,5;10,7;10,9;6,2;;;
Республика Тыва;-;-;-;-;-;-;1,8;-;-;10,9;11,6;5,5;4,5;3,3;1,8;4,1;1,2;;;
Республика Хакасия;-;-;-;4,2;4,6;11,7;12,2;9,6;7,5;5,3;5,4;5,6;6,8;7,1;7,1;3,0;1,6;;;
Алтайский край;12,3;11,2;10,0;11,4;9,1;10,1;8,0;7,4;6,6;6,9;7,7;10,3;10,0;11,1;11,1;11,8;11,8;;;
Красноярский край;3,7;2,8;4,3;5,3;5,7;6,7;6,2;9,9;12,2;11,0;7,9;8,7;8,3;9,8;8,4;7,8;6,1;;;
Иркутская область;3,4;5,6;7,5;9,4;8,6;10,2;7,9;8,9;8,5;6,5;7,9;5,9;6,3;7,1;5,5;6,8;4,0;;;
Кемеровская область;8,6;7,7;7,2;8,3;7,0;6,3;6,3;5,8;5,3;4,3;4,4;4,6;5,1;3,9;5,3;3,3;2,6;;;
Новосибирская область;5,4;6,5;5,9;5,9;6,1;5,9;4,1;3,9;4,4;4,3;4,8;7,5;8,0;9,4;9,2;8,7;6,6;;;
Омская область;4,6;4,0;5,6;5,7;5,2;5,3;6,0;5,4;4,9;4,4;6,1;6,3;7,2;7,2;7,4;6,0;6,9;;;
Томская область;10,3;7,9;10,5;17,2;14,5;17,1;15,6;14,9;14,3;12,7;15,5;11,8;10,1;12,9;12,6;11,6;10,8;;;
Дальневосточный    федеральный округ;6,0;6,6;7,5;6,5;5,9;6,2;5,5;4,4;5,0;5,8;6,8;7,6;7,7;8,2;7,9;7,2;6,0;;;
Республика Бурятия;4,0;8,5;9,8;3,7;3,8;6,7;7,0;4,7;5,2;3,9;6,8;8,1;8,8;6,2;8,1;3,3;5,4;;;
Республика Саха (Якутия);6,6;4,2;6,7;6,6;5,0;5,1;6,4;3,8;3,2;3,1;5,3;6,2;5,2;6,8;7,1;6,0;6,2;;;
Забайкальский край;6,0;6,6;8,7;6,6;6,7;5,9;7,7;5,5;4,6;3,4;5,7;3,7;2,3;2,2;3,7;4,1;2,6;;;
Камчатский край;4,9;4,7;5,0;9,3;5,7;7,1;5,5;5,4;6,6;7,0;9,6;20,2;23,5;14,3;11,5;11,1;10,0;;;
Приморский край;5,8;4,6;4,1;2,9;4,2;4,4;2,4;2,4;3,5;6,6;6,4;10,5;10,6;8,5;7,7;5,6;3,9;;;
Хабаровский край;21,5;21,3;16,3;19,1;15,1;17,0;10,0;8,8;8,9;10,2;10,3;12,1;12,5;10,2;10,2;9,0;7,6;;;
Амурская область;3,0;5,1;5,3;2,9;2,7;1,3;4,7;3,9;4,0;5,0;4,9;6,7;6,8;5,7;5,8;4,8;5,5;;;
Магаданская область;1,3;5,1;8,5;3,6;2,5;6,2;6,8;7,1;19,3;27,3;26,5;25,5;19,6;19,6;12,0;11,4;11,0;;;
Сахалинская область;7,2;7,9;10,9;7,1;6,7;6,2;3,9;3,9;2,8;2,6;2,8;4,0;3,7;2,8;4,1;2,6;3,0;;;
Еврейская автономная область;2,8;19,4;10,0;11,4;4,1;3,9;1,6;4,8;1,5;4,6;5,3;5,0;6,4;5,1;6,3;5,3;5,6;;;
Чукотский автономный округ;9,7;-;6,3;-;-;-;-;-;-;-;12,5;12,5;14,3;21,4;29,2;17,8;7,2;;;
_______;;;;;;;;;;;;;;;;;;;;
"1) Данные по показателю  ""Удельный вес организаций, осуществлявших технологические инновации, в общем числе обследованных организаций"" в соответствии с актуализированной Методикой расчета начиная с 2017 года будут опубликованы в электронной версии Приложения к сборнику «Регионы России. Социально-экономические показатели.2020».";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
