Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.  УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.28. УДЕЛЬНЫЙ ВЕС РАСХОДОВ ДОМАШНИХ ХОЗЯЙСТВ НА ОПЛАТУ ЖИЛИЩНО-КОММУНАЛЬНЫХ УСЛУГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.28.1. В процентах от общей суммы потребительских расходов;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(по данным Выборочного обследования бюджетов домашних хозяйств);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Северо-Кавказский     федеральный округ;…;…;5,6;6,3;6,6;6,6;7,4;7,4;6,3;7,3;7,6;8,7;8,5;7,7;7,7;7,9;8,5;9,0;8,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Дагестан;3,2;2,3;2,6;2,9;3,7;2,7;3,1;4,8;3,8;4,8;4,6;5,7;5,9;5,4;4,8;4,9;4,6;5,6;4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Ингушетия;2,2;0,5;0,5;2,5;2,2;2,2;4,0;3,2;4,0;4,7;6,9;4,5;5,9;5,5;7,8;10,2;7,0;6,3;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кабардино-Балкарская Республика;4,2;4,7;5,7;7,8;8,1;8,8;8,8;8,8;7,8;9,0;8,5;10,0;8,6;9,4;8,4;8,6;9,3;8,5;7,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Карачаево-Черкесская     Республика;5,7;5,2;5,2;5,4;6,0;7,3;7,9;8,1;6,6;6,8;8,2;10,4;8,7;9,8;9,7;10,4;10,7;11,6;11,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Северная Осетия – Алания;2,9;2,9;4,4;5,1;6,5;7,1;7,7;6,9;5,8;8,5;8,3;8,6;9,0;8,3;8,7;7,8;9,3;8,7;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Чеченская Республика;?;?;?;?;?;?;?;?;?;?;?;?;1,0;4,9;4,3;5,6;8,7;9,0;7,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ставропольский край;6,8;7,7;7,9;8,4;8,4;9,0;10,7;9,4;8,4;8,8;8,7;10,4;10,2;8,9;10,2;10,6;11,5;11,8;12,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Приволжский    федеральный округ;4,2;4,5;5,4;6,8;7,7;8,7;8,6;7,8;7,7;9,1;9,1;9,2;8,5;8,3;8,3;9,2;9,5;9,4;9,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Республика Башкортостан;3,3;4,5;5,4;6,1;7,2;7,5;6,8;5,8;5,1;6,2;6,4;7,2;5,4;6,1;6,3;8,4;7,8;7,7;7,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
