Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
 4.21. ЧИСЛО ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ВЫСШЕГО ОБРАЗОВАНИЯ И НАУЧНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ1);;;;;;;;;;;;;;;;;;;
(на начало учебного года);;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2003;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Кировская область;6;6;7;7;7;7;7;7;7;6;7;7;7;6;6;6;5;4;4
Нижегородская область ;16;17;17;18;18;18;18;18;18;16;17;16;15;13;13;13;13;11;11
Оренбургская область;7;7;8;8;8;10;10;10;9;7;9;9;8;7;6;5;5;5;5
Пензенская область;4;4;4;4;5;5;5;5;5;4;5;5;5;4;4;4;4;4;5
Самарская область;27;27;27;30;30;29;29;29;30;27;29;29;28;28;26;25;22;20;19
Саратовская область;9;10;12;12;12;14;13;12;11;9;11;8;8;8;7;7;7;7;7
Ульяновская область;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5
Уральский     федеральный округ;68;74;75;74;76;70;73;73;75;68;73;70;71;67;58;59;54;53;50
Курганская область;5;5;5;5;5;4;4;4;5;5;4;4;4;4;3;3;3;3;3
Свердловская область ;27;30;28;28;29;26;30;31;31;27;32;31;32;29;24;26;24;23;23
Тюменская область;16;18;21;21;21;20;20;19;19;16;18;17;17;17;15;15;12;12;10
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский     автономный округ – Югра;7;7;9;9;9;8;8;8;8;7;8;8;8;8;8;8;7;7;5
Ямало-Ненецкий    автономный округ;-;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-
Тюменская область     без автономных округов;9;10;11;11;11;11;11;11;11;9;10;9;9;9;7;7;5;5;5
Челябинская область;20;21;21;20;21;20;19;19;20;20;19;18;18;17;16;15;15;15;14
Сибирский      федеральный округ;102;102;108;108;108;107;110;109;109;102;105;107;106;98;93;89;84;76;73
Республика Алтай;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Республика Тыва;2;1;1;1;1;1;1;1;1;2;-;1;1;1;1;1;1;1;1
Республика Хакасия;2;2;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1
Алтайский край;9;9;10;10;10;10;10;11;11;9;10;11;12;9;10;10;10;7;7
Красноярский край;16;15;16;16;16;16;16;13;13;16;12;12;11;11;10;10;9;8;8
Иркутская область;14;14;15;14;13;13;14;15;15;14;15;16;16;14;13;12;11;10;10
Кемеровская область;10;10;11;11;11;11;11;12;12;10;12;12;12;10;8;8;8;7;6
Новосибирская область ;23;24;23;23;24;25;26;26;26;23;25;24;24;24;23;22;21;21;19
Омская область;17;18;19;20;20;20;20;19;19;17;19;19;18;18;17;15;14;13;13
Томская область;8;8;9;9;9;8;9;9;9;8;9;9;9;9;9;9;8;7;7
Дальневосточный     федеральный округ;60;59;67;58;58;56;58;58;58;60;60;56;50;46;45;45;42;42;42
Республика Бурятия;4;4;4;4;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5
Республика Саха (Якутия);5;7;15;8;8;8;8;8;8;5;9;9;6;7;7;7;7;7;7
Забайкальский край;5;4;3;3;3;3;3;3;3;5;4;4;4;2;2;2;2;2;2
Камчатский край;13;12;12;12;11;3;3;3;3;4;3;3;2;2;2;2;2;2;2
Приморский край;18;17;18;17;17;12;11;11;11;13;13;10;9;8;9;9;8;8;8
Хабаровский край ;4;4;4;4;5;17;19;19;19;18;17;16;15;14;12;12;10;10;10
Амурская область;4;4;4;4;3;5;5;5;5;4;5;5;5;4;4;4;4;4;4
Магаданская область;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Сахалинская область;5;5;5;4;4;2;2;2;2;5;2;2;2;2;2;2;2;2;2
Еврейская автономная    область;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Чукотский автономный округ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
?????;;;;;;;;;;;;;;;;;;;
1) Здесь и далее с 2013 г. - по данным Минобрнауки России. До 2016/2017 учебного года – образовательные организации высшего образования. ;;;;;;;;;;;;;;;;;;;
