Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.11. ВКЛАДЫ (ДЕПОЗИТЫ) ФИЗИЧЕСКИХ ЛИЦ НА РУБЛЕВЫХ СЧЕТАХ В СБЕРБАНКЕ РОССИИ;;;;;;;;;;;;;;;;;;;;
"(на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Республика Дагестан;444;…;524;927;882;1225;1515;2373;3843;4779;6729;9559;12441;16068;27925;27534;36452;40821;44575;48070
Республика Ингушетия;18;35;62;188;103;243;500;414;629;754;1391;1399;1894;2422;3041;2664;3506;3720;3985;4213
Кабардино-Балкарская        Республика;529;744;949;1266;1594;1912;2384;3239;4296;4933;6285;8518;10259;12744;15408;14831;17780;21146;22320;23069
Карачаево-Черкесская          Республика;…;…;322;465;663;838;1058;1563;2030;2275;2912;4471;5553;6543;8005;7348;8548;10478;11522;11980
Республика Северная Осетия –   Алания;461;898;1079;1397;2019;3587;3531;4264;5421;5858;7374;9947;12109;14805;17990;17991;21609;24408;26404;27819
Чеченская Республика;-;-;-;-;-;-;136;77;126;198;192;268;967;1209;2615;3031;3661;4086;4809;5541
Ставропольский край;3618;5931;6687;8914;12357;15327;19077;26544;35186;38033;48224;62210;75416;88963;107393;100871;114907;143036;151726;161298
Приволжский       федеральный округ;36133;52889;72519;96180;134421;160494;200772;278625;360960;397864;487727;643740;751082;857827;1023529;957111;1118363;1375541;1494386;1600478
Республика Башкортостан;3493;5092;6799;8948;13272;15229;18277;24927;32395;36186;44557;59875;71515;82430;102149;96205;108153;138640;150685;162146
Республика Марий Эл;436;652;901;1273;1857;2321;3072;4444;5815;6345;8131;11095;12670;14330;17688;16293;19154;23926;25236;28192
Республика Мордовия;674;863;1140;1533;2143;2668;3408;4811;6062;7258;8728;12094;13968;15836;18790;17618;21310;25817;28097;30125
Республика Татарстан;4225;6482;8896;11661;15039;17828;21421;28365;35205;38979;47667;61582;71192;80885;101638;95988;117827;159052;192925;202288
Удмуртская Республика;1221;1935;2758;3768;5295;6624;8291;11727;15385;17522;21018;28731;33845;37693;44118;40491;44359;57061;61376;67463
Чувашская Республика;919;1448;2178;2960;4458;5478;7367;11008;14610;15870;19374;25592;29644;32127;37534;33183;38800;50672;54334;58606
Пермский край;3817;5985;8358;11381;16681;20084;25021;34955;45240;50642;59750;80234;94166;109186;127529;118138;131205;167385;175096;181728
Кировская область;1514;2222;3025;4256;5902;7350;9004;12388;15388;15777;18986;25632;28830;32437;37574;35322;41071;48859;52593;57486
Нижегородская область ;5187;7539;10557;13939;19080;23444;30043;42733;56070;60464;73197;95473;107518;121542;142953;131112;151328;191014;207886;222649
Оренбургская область;2272;3285;4253;5332;7434;8713;10954;14337;18639;19941;24805;33309;40624;47843;57082;54182;62237;71627;76078;83305
Пензенская область;1735;2337;3137;4061;5717;6725;8588;11857;15179;16998;22545;30337;35092;42072;49898;46116;53256;61465;66045;71344
Самарская область;5607;8033;11266;15105;21192;25045;31066;44664;59958;65618;80224;102698;121402;132561;156441;147614;180658;211602;223251;243387
Саратовская область;3288;4525;5972;7722;10479;12319;16173;21621;27391;30929;39281;50930;59111;71324;84052;81248;96870;109818;116860;122675
Ульяновская область;1745;2491;3277;4239;5871;6666;8086;10787;13622;15336;19465;26157;31504;37560;46082;43599;52136;58603;63926;69083
Уральский         федеральный округ;13582;20574;29157;38701;54835;65674;80197;108990;144111;161126;199765;273202;328858;377057;461438;427066;487625;597305;654485;714610
Курганская область;629;927;1262;1781;2608;3205;4014;5558;7355;8258;10536;14505;16558;18786;22267;20425;22283;28480;30668;32375
Свердловская область ;4642;6961;9602;12615;16926;20910;25320;34802;48151;54859;68366;93822;111795;128223;161394;154007;176064;209801;228689;258019
Тюменская область;4613;7414;11268;15393;23334;27187;33237;44161;56235;61624;76061;101162;123661;141467;170386;156514;175658;217481;241635;259156
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;…;…;…;…;…;…;16701;…;…;…;…;47546;58252;66040;78416;71753;82027;100929;115896;122841
Ямало-Ненецкий       автономный округ;…;…;…;…;…;…;6419;…;…;…;…;22256;27154;29862;36437;32382;35174;42662;45467;49951
Тюменская область без       автономных округов;…;…;…;…;…;…;10117;…;…;…;…;31360;38256;45565;55534;52379;58456;73891;80272;86364
