Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.6. СРЕДНИЙ РАЗМЕР НАЗНАЧЕННЫХ ПЕНСИЙ1);;;;;;;;;;;;;;;;;;;;;;;;;;;
"(на 1 января; рублей)";;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;;2018;2019;;;;;;
Республика Дагестан;438;636;889;1146;1371;1562;2024;2243;3005;3612;4977;5836;6337;7050;7794;8520;9406;9680;14680;10298;10903;;;;;;
Республика Ингушетия;430;627;854;1147;1394;1565;2007;2226;2977;3570;5029;5694;6280;7116;8103;9141;10159;10293;15293;11123;12005;;;;;;
Кабардино-Балкарская Республика;540;712;999;1280;1520;1730;2192;2396;3125;3797;5160;6246;6726;7391;8049;8695;9550;9814;14814;10499;11086;;;;;;
Карачаево-Черкесская Республика;524;735;1028;1304;1559;1776;2242;2489;3282;4010;5488;6643;7214;7964;8693;9378;10329;10588;15588;11310;11898;;;;;;
Республика Северная Осетия – Алания;487;760;1093;1362;1628;1857;2339;2605;3383;4145;5638;6873;7461;8246;9003;9739;10772;11090;16090;11868;12515;;;;;;
Чеченская Республика;440;613;846;1126;1339;1527;1978;2211;2984;3691;5117;6046;6783;7558;8509;9402;10411;10813;15813;11631;12380;;;;;;
Ставропольский край;482;781;1097;1378;1650;1891;2366;2627;3408;4172;5654;6910;7485;8240;8995;9726;10803;11115;16115;11957;12665;;;;;;
Приволжский федеральный округ;501;799;1101;1406;1679;1925;2414;2696;3486;4298;5833;7202;7839;8672;9497;10304;11452;11810;16810;12726;13523;;;;;;
Республика Башкортостан;507;783;1052;1347;1617;1860;2354;2634;3424;4233;5780;7115;7761;8611;9438;10266;11420;11806;16806;12767;13585;;;;;;
Республика Марий Эл;477;753;1047;1322;1575;1800;2271;2529;3294;4047;5500;6729;7326;8107;8880;9645;10698;11011;16011;11873;12617;;;;;;
