Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.4. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ ;;;;;;;;;;;;;;;;;;
9.4.2. Расходы домашних хозяйств;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Ленинградская область;22343,8;30433,7;38247,3;44659,9;63347,7;86815,8;107710,9;133161,2;159024,5;182790,7;220445,3;276571,4;305568,0;333096,6;362665,8;405370,0;452524,3;479892,1
Мурманская область;24736,5;31193,0;38449,0;46051,6;54078,4;67620,2;80312,8;96237,7;120251,7;131952,4;143489,5;157746,2;174432,8;191398,7;207998,8;215365,2;218906,2;229560,6
Новгородская область;12325,5;15226,1;18866,3;21506,9;26142,2;31018,0;39384,3;49161,4;65347,4;74070,3;81607,7;98394,2;108336,9;119869,2;134093,2;146841,8;150117,0;152887,2
Псковская область;10986,4;14218,4;20683,8;25223,0;32526,8;38406,7;47405,2;51202,9;64599,9;67762,5;74283,8;86817,1;95476,6;103824,5;115351,8;125145,5;124814,3;132019,0
г. Санкт-Петербург;119013,1;156858,9;200288,9;243051,0;323932,2;428580,8;526144,2;659746,8;840130,1;871666,9;1004003,2;1116207,3;1255082,8;1353616,1;1467862,2;1628759,5;1762214,3;1890154,2
Южный         федеральный округ;226209,7;309370,8;397478,1;482260,0;612946,3;771021,8;963463,6;1266263,6;1618805,3;1700157,7;1973404,1;2294609,4;2598565,3;2859670,7;3186830,0;3830821,6;4010256,4;4195665,7
Республика Адыгея;5953,4;7011,2;7747,2;9152,4;11874,5;14950,8;17533,5;21858,3;32542,1;40046,8;45817,8;56103,5;69853,7;81781,2;89203,1;89937,3;97629,5;105977,6
Республика Калмыкия;2040,5;2820,0;3219,9;2945,1;4986,8;7082,5;10736,6;11533,2;13805,5;15314,9;17408,3;23201,2;26292,3;28312,6;30274,7;31428,3;30510,6;31444,0
Республика Крым;;;;;;;;;;;;;;;…;301743,3;307572,4;320601,8
Краснодарский край;89773,3;118923,4;152563,1;187768,2;239959,0;301336,9;383834,7;518705,6;655989,9;718858,1;849035,9;983687,4;1125893,1;1237914,0;1422716,6;1555891,2;1661784,4;1743431,6
Астраханская область;14798,1;20097,2;24763,8;29864,8;36814,3;46878,2;59648,4;76638,4;100607,2;111062,5;130862,3;151295,8;171310,6;189513,4;208086,1;220223,0;210807,7;213909,0
Волгоградская область;35970,1;58231,6;76063,2;91794,4;113098,8;140861,6;170831,4;221646,9;274127,8;298421,8;331877,4;367734,7;399097,4;430133,7;454996,8;491782,4;497979,3;520910,7
Ростовская область;77674,3;102287,4;133120,9;160735,1;206212,9;259911,8;320879,0;415881,2;541732,8;516453,6;598402,4;712586,8;806118,2;892015,8;981552,7;1080352,9;1113898,1;1160965,6
г. Севастополь;;;;;;;;;;;;;;;…;59463,2;90074,4;98425,4
Северо-Кавказский     федеральный округ;87051,6;113433,6;145298,3;188552,5;253258,0;356678,3;448693,1;579420,2;766018,8;907352,1;1059489,8;1241885,1;1433007,3;1588838,9;1736874,7;1960631,3;1969839,7;2081981,0
Республика Дагестан;16451,5;22269,7;31548,4;49178,4;74955,7;113544,1;152796,9;201124,0;289602,5;355037,6;410112,7;457678,3;517850,2;581236,1;635403,8;781869,8;794991,7;842436,2
Республика Ингушетия ;1704,9;3200,9;3218,7;3255,6;4076,6;5002,6;8232,6;10776,0;13206,2;15139,8;15770,4;22017,3;25145,1;28233,4;30136,1;31739,0;31688,5;34498,0
Кабардино-Балкарская     Республика;11191,8;14321,0;18104,9;22769,0;27681,4;37144,1;42167,2;51579,3;64934,3;74080,0;82552,4;96458,9;105565,5;115627,2;126974,0;142743,9;143594,6;152387,0
Карачаево-Черкесская     Республика;5218,0;6231,7;8195,9;10267,2;12849,4;17151,8;22791,0;25655,7;30581,3;35120,6;38866,9;42838,3;45125,5;47391,3;50061,7;51298,3;51586,5;52002,8
Республика Северная    Осетия - Алания;9514,5;12519,4;14536,5;16868,6;21692,8;27843,8;36300,3;44444,6;59165,8;67356,1;78922,3;95478,0;105517,9;113700,0;120767,6;130788,9;137604,9;142718,6
Чеченская Республика ;…;…;…;…;…;10939,1;10382,8;25313,4;37079,9;58099,5;74878,7;97341,4;117209,3;144179,0;173841,1;206212,9;213215,0;226816,2
Ставропольский край;42970,9;54890,9;69693,9;86213,7;112002,1;145052,8;176022,3;220527,2;271448,8;302518,5;358386,4;430072,9;516593,8;558471,9;599690,4;615978,5;597158,5;631122,2
Приволжский федеральный округ;532233,0;691565,4;874852,8;1049012,3;1320913,3;1677562,0;2128244,3;2693330,1;3454330,4;3627761,1;4051803,9;4700002,1;5231619,1;5823790,6;6329486,4;6451605,7;6591547,8;6885801,4
Республика Башкортостан;69506,4;94653,0;123267,6;151846,3;196785,6;256119,7;339507,2;436116,4;572882,3;604981,9;660294,9;759184,1;831156,1;932190,9;998928,4;1024972,0;1038998,3;1086526,2
Республика Марий Эл;8527,9;11208,7;12815,8;15436,1;19752,2;23907,7;31955,2;41266,3;53015,0;58687,1;65024,2;73482,9;80478,3;90827,6;100921,4;107772,1;108067,9;111273,7
Республика Мордовия;11014,5;12775,4;14773,5;17200,8;22453,5;27998,3;34548,0;42348,6;56975,0;64563,1;71487,2;76370,3;79905,6;88642,2;96050,5;103559,4;110155,5;116049,3
Республика Татарстан;60946,9;86407,5;110032,0;138813,1;176892,6;236519,7;309452,7;402771,7;522484,3;562107,8;644337,7;770879,6;894062,4;978251,7;1042870,2;1049662,6;1094971,8;1152626,3
Удмуртская Республика;22535,6;29238,3;35124,1;40310,8;48237,6;59613,7;76240,6;95794,7;130444,0;141779,7;164452,2;193015,5;216684,0;240508,9;264644,1;276072,2;281919,3;293954,0
Чувашская Республика;16022,4;20987,2;26014,6;30864,6;38393,1;48210,1;59391,5;74845,8;98459,8;106639,3;121141,4;142525,5;154508,6;171129,5;182444,5;192866,4;197022,9;202279,5
Пермский край;55875,2;73237,4;90474,7;110564,9;135918,0;173835,3;232025,1;287983,2;359271,9;380709,6;425039,5;490358,9;532152,8;596838,4;634126,3;630709,4;641462,8;664845,9
Кировская область;21313,5;27143,2;34510,1;37819,4;46208,1;56803,9;67628,7;85737,6;112455,8;116921,2;135383,1;161155,0;181221,2;202252,4;222033,7;235292,0;237832,6;247240,9
Нижегородская область ;55449,9;72943,5;95511,2;117334,0;147186,3;183267,4;232622,6;299937,1;398795,3;399905,9;455344,6;541308,4;623881,0;698807,9;785785,0;797235,4;821913,2;873659,1
Оренбургская область;27573,7;34510,0;39794,7;47011,5;60812,1;82240,7;100759,7;130080,4;176632,9;197518,1;223036,6;259443,4;292720,5;328706,1;363667,2;371709,2;375525,0;395862,2
Пензенская область;18107,7;23117,0;28817,8;33348,0;43137,6;54227,6;66408,3;97250,2;123150,5;134032,3;151607,0;175895,8;191163,4;216776,0;238650,4;256181,7;258112,5;267552,2
Самарская область;105489,4;128250,7;167760,4;193109,6;240886,6;298008,6;357171,1;426278,5;518131,1;522573,2;551790,8;613828,3;654081,8;720629,7;798540,1;774138,7;787069,7;809442,4
Саратовская область;40572,7;51868,2;64810,0;75217,0;96507,3;118582,0;143889,5;177886,2;218246,1;220625,6;245132,9;287395,2;323901,6;362233,6;388153,2;410880,1;416257,3;432646,4
Ульяновская область;19297,2;25225,3;31146,3;40136,2;47742,7;58227,3;76644,1;95033,4;113386,4;116716,3;137731,8;155159,2;175701,8;195995,7;212671,4;220554,5;222239,0;231843,3
Уральский    федеральный округ;237286,9;326190,2;419686,8;531788,8;680506,0;893336,2;1183863,0;1508087,5;1951515,5;1956771,1;2102339,0;2454518,9;2717654,3;3018904,8;3182266,0;3303687,7;3330675,4;3459735,2
Курганская область;11641,6;16191,6;21905,3;25793,7;34269,5;41527,0;55669,4;73644,7;96165,7;103504,6;97577,6;108469,8;120379,6;130445,8;134418,6;140663,3;141411,3;143283,4
Свердловская область ;84374,4;118059,4;151572,4;189948,9;246395,5;322017,4;412149,0;526763,2;676984,0;716337,2;834343,4;992268,2;1105001,2;1230970,3;1293390,5;1367659,0;1407245,7;1447428,0
Тюменская область;84846,2;117900,7;151215,2;197854,9;252742,8;327508,9;441759,4;566558,4;728076,3;680406,0;681147,0;790807,2;873119,6;989427,1;1047128,9;1097579,8;1113739,1;1189795,2
в том числе:;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;38851,3;56516,1;72273,3;99752,4;129297,9;166840,9;225900,9;290972,6;367066,0;333465,2;320742,2;363917,6;393295,3;443193,9;463996,3;479893,7;483249,5;524420,7
Ямало-Ненецкий     автономный округ;16134,7;21907,5;30130,0;38050,6;49089,9;66445,3;86534,8;109359,4;137020,4;124608,6;120723,5;144824,6;156863,1;170764,1;177803,8;184274,9;176849,7;188541,4
Тюменская область без    автономных округов;;;;;;;;;;;;282065,0;322961,2;375469,1;405328,8;433411,2;453639,9;476833,1
Челябинская область;56424,7;74038,5;94993,9;118191,3;147098,2;202282,9;274285,2;341121,2;450289,5;456523,3;489271,0;562973,7;619153,9;668061,6;707328,0;697785,6;668279,3;679228,6
Сибирский       федеральный округ;352759,5;465539,3;604610,1;737989,7;899203,6;1121571,2;1409107,7;1718829,6;2132205,0;2132147,2;2361306,6;2744240,1;3101072,2;3383034,0;3552370,0;3663116,3;3759375,6;3900305,6
Республика Алтай;1905,0;2830,7;3274,8;4550,7;5824,2;6916,3;8925,1;11002,2;15516,4;16702,7;18272,7;21095,0;22712,6;25582,4;28879,4;30451,4;30809,9;32153,0
Республика Бурятия;15037,8;19352,8;24287,4;30465,1;36837,3;47855,8;57713,1;72943,7;90342,9;99319,2;112046,6;133035,5;154671,2;172380,2;181925,2;210399,4;212621,1;216166,9
Республика Тыва;2256,4;3469,6;3704,5;4753,1;6274,1;8282,4;10062,1;12161,4;14803,7;14521,6;16791,2;19326,8;20920,5;21969,5;24942,5;28042,4;29284,7;29803,5
Республика Хакасия;8021,4;10082,6;12275,3;14554,9;16832,4;19409,1;25509,8;32112,7;37573,6;38626,0;49953,7;63427,0;75475,1;81136,7;87232,5;98093,3;101043,5;106314,2
Алтайский край;35737,0;48007,6;62196,5;77412,6;94587,4;116018,1;149729,8;182798,6;230700,2;221492,7;246944,5;295296,3;338057,3;371926,4;403488,4;426910,0;435582,8;444431,7
Забайкальский край;13049,4;17125,3;28595,5;37006,4;45389,0;53661,7;64941,1;78479,4;100684,2;109151,2;123614,3;146922,3;163463,3;174167,2;187076,9;201420,9;213765,5;220018,6
Красноярский край;70007,9;88652,4;110397,0;128396,0;151998,1;180945,2;225369,4;288711,2;366566,8;375552,0;417646,3;473804,3;554725,4;600991,8;632926,0;624983,4;661868,6;669800,9
Иркутская область;53996,5;67673,4;79156,7;93776,9;114425,8;140058,4;175531,3;206013,9;250607,5;255456,7;271013,5;304567,3;335698,6;355161,0;375544,9;380447,5;402253,2;427221,0
Кемеровская область;49469,1;68946,2;91474,6;111931,5;139292,8;176367,7;224720,4;280448,2;340569,9;302161,3;330516,0;369623,6;416658,1;447546,5;440261,2;457275,2;457491,1;474394,1
Новосибирская область ;55348,2;73205,8;99987,5;124420,7;146569,9;193490,7;245411,3;286670,1;357491,9;362846,7;407173,9;490680,4;540211,7;595012,0;620638,2;622593,6;634772,4;666134,4
Омская область;29345,2;41766,5;56603,5;70131,1;87530,4;111519,2;138886,0;173408,3;216403,3;224573,6;250484,9;300645,7;336465,7;374905,5;401404,0;399769,6;389568,3;415700,5
Томская область;18585,6;24426,4;32656,8;40590,7;53642,2;67046,6;82308,3;94079,9;110944,6;111743,5;116849,0;125815,9;142012,7;162254,8;168050,8;182729,6;190314,5;198166,8
Дальневосточный    федеральный округ;138216,2;187234,0;234927,1;290778,3;355006,2;445088,6;553966,4;655636,7;792552,2;893913,1;995126,0;1121080,5;1242290,4;1391086,5;1526729,6;1678176,6;1752638,0;1852754,3
Республика Саха (Якутия);24859,4;35279,3;43352,4;58891,2;68212,2;80152,8;98346,5;114375,6;134425,2;147999,6;162683,1;177385,4;192812,8;209805,7;236062,4;260164,9;276464,4;293948,5
Камчатский край;10854,0;12769,4;15036,0;16823,1;18779,0;22702,2;29903,0;37739,1;43836,9;49375,0;54220,4;61415,7;65281,2;70443,1;73954,8;78068,2;81766,6;86933,4
Приморский край;34243,0;47930,8;60182,6;74128,0;94071,6;121730,8;151812,3;178253,9;215759,1;238338,8;261316,1;295885,3;339551,7;383334,6;420932,5;473511,0;487106,6;519481,4
Хабаровский край ;32502,0;44296,5;56652,2;67950,0;82385,6;106094,5;129077,2;154722,2;181962,1;211474,8;238997,4;263720,8;289326,5;327362,9;363891,1;403391,8;432003,7;452655,8
Амурская область;16476,6;19455,1;23238,2;26649,0;33940,3;41846,4;51211,1;59846,6;74546,2;82722,8;95924,5;118999,7;141851,7;167859,6;182820,8;190598,8;198046,0;204709,8
Магаданская область;4444,8;5613,7;7011,3;8578,7;9761,9;11617,0;14118,5;13915,6;20413,2;23792,3;26127,5;29464,3;33459,5;37083,8;39572,5;42042,2;43919,0;46193,1
Сахалинская область;11222,9;16856,3;22126,6;28764,3;36614,5;47231,4;64099,8;79131,0;99074,8;113717,1;125858,9;141645,5;146504,5;160006,2;172272,5;188001,0;189581,3;202389,4
Еврейская автономная    область;2552,9;3521,6;4940,4;6140,6;8070,9;10213,0;11547,3;13448,1;16356,1;18942,9;21646,7;23308,3;24572,5;26184,7;28281,5;31865,3;32000,8;32311,6
Чукотский автономный округ;1060,6;1511,3;2387,4;2853,4;3170,2;3500,5;3850,7;4204,6;6178,6;7549,8;8351,4;9255,5;8930,0;9005,9;8941,5;10533,4;11749,6;14131,3
