Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.24. ЧИСЛЕННОСТЬ СТУДЕНТОВ, ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ БАКАЛАВРИАТА, СПЕЦИАЛИТЕТА, МАГИСТРАТУРЫ;;;;;;;;;;;;;;;;;;;
"(на начало учебного года; тысяч человек) ";;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Южный               федеральный округ;361,4;397,7;470,5;513,8;541,4;569,7;586,9;607,3;610,5;605,8;585,9;552,9;524,8;491,3;518,1;470,8;434,4;420,9;418,3
Республика Адыгея;17,9;18,5;18,4;18,8;20,0;15,6;20,9;20,4;20,6;20,2;19,5;18,2;15,7;14,9;14,3;12,6;11,8;12,4;13,2
Республика Калмыкия;7,9;8,1;9,2;10,0;10,0;11,5;11,4;11,5;13,0;13,4;13,1;12,7;12,1;9,7;9,2;8,5;9,7;8,2;8,3
Республика Крым;;;;;;;;;;;;;;;41,7;45,4;43,4;41,9;39,8
Краснодарский край;97,9;106,8;135,2;157,2;170,4;178,4;176,3;194,9;193,9;190,7;186,2;174,3;164,4;152,9;143,6;130,5;119,5;117,4;115,8
Астраханская область;23,0;25,8;31,1;33,8;36,8;40,2;43,3;43,9;43,2;44,3;44,7;41,6;40,6;41,1;42,9;37,8;32,1;29,4;29,8
Волгоградская область;64,3;71,9;89,4;95,6;100,0;110,3;114,9;115,8;119,1;119,5;112,4;104,8;97,5;91,1;79,2;71,6;65,3;62,7;60,9
Ростовская область;150,4;166,6;187,2;198,4;204,2;213,7;220,1;220,7;220,8;217,7;210,0;201,3;194,5;181,6;171,6;149,2;138,6;134,5;136,4
г. Севастополь;;;;;;;;;;;;;;;15,7;15,2;14,0;14,2;14,0
Северо-Кавказский      федеральный округ;223,6;241,3;293,7;329,7;345,8;361,1;377,6;380,2;382,8;376,8;366,8;340,7;329,3;313,2;294,9;256,9;229,7;217,6;214,2
Республика Дагестан;68,8;74,9;90,0;97,4;105,5;112,2;118,9;119,5;117,9;111,4;108,1;97,4;95,7;95,2;86,4;71,0;62,0;55,4;52,6
Республика Ингушетия ;6,3;7,0;7,8;9,6;9,4;10,2;11,3;10,1;9,8;11,3;11,9;11,7;12,5;10,6;10,9;8,9;8,1;7,7;7,5
Кабардино-Балкарская Республика;19,5;20,5;23,7;27,9;28,5;28,9;29,3;29,7;30,2;29,5;28,1;24,6;22,9;21,3;20,8;17,1;15,2;14,1;14,6
Карачаево-Черкесская Республика;10,5;10,5;11,1;14,6;16,2;16,2;17,3;17,2;17,4;17,6;16,9;15,4;15,2;14,8;14,1;13,1;11,2;10,7;11,1
Республика Северная    Осетия - Алания;24,3;26,3;28,6;30,5;32,2;35,0;35,6;35,5;35,3;33,0;33,9;31,6;32,0;30,2;29,7;26,1;24,8;22,9;21,2
Чеченская Республика ;18,6;18,1;19,0;21,1;23,5;25,4;28,8;31,0;31,8;33,3;33,4;33,2;33,1;31,9;35,1;33,1;33,3;34,5;35,2
Ставропольский край;75,6;84,0;113,5;128,6;130,5;133,3;136,4;137,3;140,4;140,6;134,5;126,8;117,9;109,3;97,8;87,7;75,3;72,3;72,0
Приволжский федеральный округ;893,9;1026,1;1187,2;1277,1;1341,5;1426,9;1462,3;1474,8;1487,9;1471,4;1395,9;1292,5;1212,6;1118,0;1023,9;946,0;880,5;851,7;828,8
Республика Башкортостан;101,6;118,0;143,2;147,2;150,2;156,1;161,5;169,5;174,9;175,6;169,0;159,2;153,0;140,9;126,7;114,4;105,4;103,6;100,5
Республика Марий Эл;22,5;24,7;27,8;28,4;28,5;28,9;30,0;30,7;30,9;30,5;29,9;27,8;25,4;22,8;20,4;19,6;18,8;19,0;18,4
Республика Мордовия;30,2;31,9;36,9;40,9;42,9;43,6;43,5;41,9;40,8;43,2;41,4;38,1;36,2;34,4;31,9;30,1;28,5;27,8;26,4
Республика Татарстан;127,2;150,2;170,8;191,6;207,1;222,1;228,0;227,8;223,7;220,2;209,6;200,2;190,5;181,8;170,1;163,2;153,0;149,9;146,9
Удмуртская Республика;52,0;59,4;66,8;70,9;73,3;71,8;74,6;72,3;73,7;74,5;73,3;65,2;60,7;55,1;52,5;51,3;47,9;45,7;44,1
Чувашская Республика;42,4;45,9;58,5;61,1;63,9;71,5;71,2;72,4;75,5;73,4;68,2;59,5;54,7;47,9;42,6;38,3;36,3;35,4;34,4
Пермский край;66,1;73,2;84,2;87,6;89,5;95,2;98,6;101,1;105,4;106,5;102,4;95,9;90,2;81,5;72,4;66,4;60,3;56,6;55,2
Кировская область;34,2;42,0;49,1;53,0;54,7;60,2;60,2;59,6;57,8;59,1;54,2;48,7;44,6;41,9;38,5;36,2;33,6;32,9;31,2
Нижегородская область ;99,1;112,6;132,5;149,4;161,8;180,8;192,4;191,4;189,5;180,2;166,8;152,3;138,0;125,0;111,1;98,2;90,9;88,2;84,8
Оренбургская область;55,9;62,3;69,4;75,1;75,8;82,5;85,2;86,3;85,7;85,0;81,1;76,7;74,3;68,0;62,3;53,3;48,8;46,3;45,9
Пензенская область;35,1;39,6;45,7;48,6;51,5;56,5;58,5;59,6;62,7;60,9;59,0;54,2;50,8;45,6;42,9;40,2;37,3;33,6;33,3
Самарская область;111,4;133,7;153,5;162,9;170,5;179,0;177,5;180,4;180,1;174,4;162,3;150,5;141,7;130,3;119,1;111,0;102,8;99,9;96,9
Саратовская область;83,4;95,4;106,4;113,4;120,9;124,4;125,9;126,6;129,6;130,7;121,4;110,6;103,3;96,9;90,8;84,5;80,0;76,0;74,6
