Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;
18.2. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ В ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;;;;;
18.2.2. Организации, использовавшие широкополосный доступ к сети Интернет1);;;;;;;;;;;;;;;;;
(в процентах от общего числа обследованных организаций)  ;;;;;;;;;;;;;;;;;
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Российская Федерация;25,1;31,0;39,2;47,3;56,7;63,4;76,6;79,4;81,2;79,5;81,8;83,2;86,5;;;;
Центральный  федеральный округ;27,9;34,8;41,4;49,2;58,8;64,9;77,2;80,7;83,1;83,0;85,1;87,4;89,1;;;;
Белгородская область;20,0;31,0;39,5;48,3;58,7;61,8;73,4;77,9;80,4;83,5;86,4;87,5;91,2;;;;
Брянская область;9,9;14,9;22,0;31,8;44,3;51,5;63,3;70,2;74,5;79,5;86,1;87,4;87,8;;;;
Владимирская область;19,9;32,0;45,2;56,1;65,9;72,8;85,1;86,7;87,5;89,4;88,6;87,8;92,7;;;;
Воронежская область;23,4;29,7;36,2;44,1;53,3;56,8;70,7;77,2;82,4;83,0;82,9;88,4;88,6;;;;
Ивановская область;18,2;24,0;30,1;38,0;51,9;61,8;78,1;81,6;84,4;76,5;84,6;86,7;87,1;;;;
Калужская область;18,9;26,5;33,1;40,1;49,6;57,6;74,0;76,4;82,3;82,6;83,8;87,5;87,3;;;;
Костромская область;10,2;13,7;20,2;29,5;42,4;56,5;69,9;73,9;73,7;68,7;72,5;78,0;80,9;;;;
Курская область;12,9;20,2;20,0;25,2;34,7;45,7;60,1;64,7;74,0;74,2;76,6;78,8;78,5;;;;
Липецкая область;30,8;28,9;35,3;40,8;54,6;58,7;73,2;79,9;80,9;82,3;87,6;91,9;94,6;;;;
Московская область;32,9;42,5;53,7;60,5;68,4;72,9;85,8;87,1;86,3;86,2;83,5;86,4;88,2;;;;
Орловская область;12,2;18,7;28,0;36,9;47,8;52,1;69,2;73,8;81,0;81,7;82,9;85,1;84,6;;;;
Рязанская область;15,7;26,7;37,8;49,5;62,4;68,1;75,8;78,4;81,6;83,5;85,8;85,6;87,7;;;;
Смоленская область;11,8;17,9;25,6;35,5;49,3;58,3;78,3;80,8;81,1;82,4;84,7;86,5;88,6;;;;
Тамбовская область;8,9;17,8;20,3;25,9;37,3;49,3;63,3;69,1;72,2;77,9;88,9;94,6;95,2;;;;
Тверская область;16,9;23,8;33,3;45,5;56,9;60,4;68,6;73,6;79,0;71,4;73,8;78,4;83,8;;;;
Тульская область;21,1;26,5;33,4;40,2;51,8;60,8;73,5;77,2;80,4;79,6;83,2;82,4;85,6;;;;
Ярославская область;23,7;32,9;40,8;50,9;61,8;69,3;82,9;84,9;86,4;86,4;90,0;89,1;90,1;;;;
г. Москва;72,4;79,3;86,4;89,6;91,7;92,6;96,9;97,4;96,8;95,0;95,5;94,9;95,1;;;;
Северо-Западный    федеральный округ;25,0;31,2;43,2;52,4;61,7;69,0;81,6;84,9;86,1;85,1;87,9;88,6;89,4;;;;
Республика Карелия;29,6;36,7;54,6;61,7;66,7;83,3;90,7;92,3;91,9;91,4;88,0;88,5;88,6;;;;
Республика Коми;16,4;19,1;27,3;35,5;43,8;52,9;73,2;82,6;81,8;84,2;90,9;88,1;88,3;;;;
Архангельская область;17,3;21,4;30,5;40,3;48,2;58,1;73,8;78,3;82,1;77,5;81,5;83,2;83,9;;;;
в том числе: ;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;7,5;11,9;23,4;30,4;31,7;47,2;67,3;76,9;80,2;83,1;86,9;88,7;88,1;;;;
Архангельская область без автономного округа;18,6;22,6;31,5;41,6;50,4;59,5;74,4;78,5;82,3;76,8;80,9;82,7;83,5;;;;
Вологодская область;11,9;16,8;25,1;33,1;46,8;56,6;70,4;76,4;78,7;81,9;83,8;85,6;86,1;;;;
Калининградская область;21,1;28,0;41,5;49,3;59,1;67,2;77,2;81,6;81,8;84,9;89,6;88,1;88,5;;;;
Ленинградская область;20,5;26,7;44,2;56,0;67,7;73,2;86,7;88,5;89,0;88,0;90,7;92,5;93,9;;;;
Мурманская область;28,2;34,8;45,8;56,3;64,8;74,5;82,9;89,0;89,2;88,6;86,9;86,7;87,4;;;;
Новгородская область;30,5;36,9;45,8;54,9;58,8;71,7;86,8;82,3;82,4;75,6;85,2;85,0;85,0;;;;
Псковская область;18,0;22,2;30,4;40,8;58,3;66,8;79,9;80,1;87,0;85,0;86,6;85,4;87,8;;;;
г. Санкт-Петербург;42,4;53,9;69,9;78,5;84,9;84,3;92,5;93,3;93,1;90,5;91,2;93,5;94,2;;;;
Южный          федеральный округ;26,0;30,2;38,8;44,9;54,8;63,1;74,8;77,5;78,1;75,5;78,4;80,8;86,0;;;;
Республика Адыгея;12,9;17,5;38,6;48,8;63,8;73,8;85,7;90,6;92,5;87,8;88,7;89,0;89,1;;;;
Республика Калмыкия;15,2;17,8;25,3;37,5;64,1;62,1;75,7;83,3;81,9;77,7;74,0;76,1;77,5;;;;
Республика Крым;;;;;;;;;93,5;96,0;92,1;93,6;87,8;;;;
Краснодарский край;25,1;29,1;39,9;46,9;58,8;67,3;80,0;81,3;80,7;77,0;79,8;85,1;87,8;;;;
Астраханская область;23,2;34,4;44,7;51,9;57,9;68,7;78,2;78,5;78,9;79,3;85,2;85,2;88,5;;;;
