Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;;;;;;;
РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;
"14.43.ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ ""РЫБОВОДСТВО""1) ";;;;;;;;;;;;;;;
14.43.1. Число предприятий и организаций2);;;;;;;;;;;;;;;
 (на конец года);;;;;;;;;;;;;;;
Ульяновская область;15;15;19;16;17;16;19;18;17;15;13;12;8;5;
Уральский   федеральный округ;150;160;158;160;166;165;162;157;155;152;164;160;166;157;
Курганская область;18;19;14;12;13;11;11;10;11;11;15;17;17;15;
Свердловская область;27;35;39;43;46;49;50;44;38;34;35;34;33;34;
Тюменская область;23;25;25;28;30;32;30;33;36;39;44;41;44;45;
в том числе:;;;;;;;;;;;;;;;
Ханты-Мансийский    автономный округ – Югра;6;6;6;7;7;6;7;4;5;6;10;10;9;7;
Ямало-Ненецкий     автономный округ;-;-;-;-;-;-;1;2;4;4;3;2;2;2;
Тюменская область     без автономных округов;17;19;19;21;23;26;22;27;27;29;31;29;33;36;
Челябинская область;82;81;80;77;77;73;71;70;70;68;70;68;72;63;
Сибирский     федеральный округ;132;127;127;131;148;146;144;153;171;180;203;193;192;185;
Республика Алтай;3;4;4;6;8;9;8;9;10;9;13;13;13;13;
Республика Тыва;1;-;-;-;-;1;1;1;1;1;1;1;-;-;
Республика Хакасия;8;7;7;9;12;11;10;11;12;10;12;10;9;9;
Алтайский край;21;24;24;26;32;34;34;37;41;35;40;32;33;28;
Красноярский край;6;5;6;8;11;10;10;14;14;17;18;17;14;16;
Иркутская область;8;6;6;5;6;7;6;7;9;12;12;15;17;17;
Кемеровская область;19;20;18;20;19;21;19;20;21;23;26;22;21;20;
Новосибирская область;43;39;44;44;43;35;36;38;43;51;59;58;58;54;
Омская область;19;18;14;9;11;12;12;8;12;11;10;12;14;16;
Томская область;4;4;4;4;6;6;8;8;8;11;12;13;13;12;
Дальневосточный  федеральный округ;185;164;163;180;177;191;183;190;197;204;224;262;208;213;
Республика Бурятия;10;9;6;4;4;4;5;5;12;13;15;14;9;7;
Республика Саха (Якутия);5;4;2;1;1;2;2;2;2;3;3;3;4;8;
Забайкальский край;1;1;2;2;3;3;3;3;4;4;4;4;2;2;
Камчатский край;12;10;12;12;15;15;11;12;12;12;12;12;14;14;
Приморский край;68;67;69;64;65;73;70;77;77;80;86;99;107;115;
Хабаровский край;19;17;18;17;17;19;19;18;18;20;21;39;22;23;
Амурская область;5;2;2;2;2;2;2;1;1;1;2;4;3;3;
Магаданская область;2;2;2;3;3;4;4;4;4;4;5;8;7;5;
Сахалинская область;54;45;44;71;64;66;64;65;64;65;74;76;40;36;
Еврейская автономная область;3;4;4;4;3;3;3;3;3;2;2;3;-;-;
Чукотский автономный округ;6;3;2;-;-;-;-;-;-;-;-;-;-;-;
?????;;;;;;;;;;;;;;;
1) Данные за 2005-2016 гг. приведены в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2007 (КДЕС Ред.1.1) ОКВЭД-2007, с 2017 г.- в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред.2) ОКВЭД2.;;;;;;;;;;;;;;;
2) По данным государственной регистрации.;;;;;;;;;;;;;;;
