Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
14. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;;
СЕЛЬСКОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;
ЖИВОТНОВОДСТВО;;;;;;;;;;;;;;;;;;;;
14.34. СРЕДНИЙ ГОДОВОЙ НАСТРИГ ШЕРСТИ С ОДНОЙ ОВЦЫ В СЕЛЬСКОХОЗЯЙСТВЕННЫХ ОРГАНИЗАЦИЯХ;;;;;;;;;;;;;;;;;;;;
"(в физическом весе; килограммов)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Российская Федерация;3,2;3,1;3,1;3,1;3,1;2,8;2,7;2,7;2,5;2,8;2,3;2,2;2,3;2,3;2,4;2,3;2,2;2,2;2,6;
Центральный     федеральный округ;1,7;1,7;1,5;1,5;1,5;1,3;1,0;1,0;1,0;1,1;1,1;0,9;0,9;0,8;0,8;0,7;0,7;0,9;0,7;
Белгородская область;2,0;1,8;1,8;1,4;2,2;1,3;0,7;1,5;1,5;3,2;2,6;1,4;1,1;0,5;1,1;0,9;0,7;2,1;0,4;
Брянская область;1,7;1,0;1,0;0,8;0,4;0,4;0,7;0,3;0,0;…;0,4;…;…;…;…;…;…;…;…;
Владимирская область;1,9;-;0,0;0,0;0,0;0,0;0,0;0,6;0,6;0,6;0,9;0,2;…;…;0,1;…;0,0;0,0;…;
Воронежская область;1,9;1,9;1,8;1,9;1,8;1,7;1,3;1,8;2,0;2,1;1,9;1,1;1,8;2,0;2,0;1,7;1,2;1,0;1,0;
Ивановская область;0,9;0,6;0,6;1,0;0,6;1,3;0,7;0,7;0,8;0,7;0,6;0,5;0,9;0,8;0,7;0,6;0,5;0,4;0,7;
Калужская область;2,0;1,7;0,7;0,8;1,1;1,3;1,3;1,0;0,8;1,6;0,7;0,6;0,5;0,6;1,1;1,5;0,6;0,9;0,9;
Костромская область;1,1;0,6;0,7;0,7;0,9;0,8;1,0;0,9;0,9;0,9;0,7;1,1;0,5;1,0;0,8;0,6;0,3;0,9;0,5;
Курская область;1,5;1,5;1,2;1,3;1,2;1,1;1,1;1,2;0,9;1,2;1,2;1,1;0,9;0,7;0,4;0,7;0,4;0,3;0,3;
Липецкая область;2,0;1,9;1,6;1,5;2,5;1,5;0,0;0,0;0,0;0,2;0,6;0,4;0,7;0,7;0,3;0,3;0,8;0,6;0,3;
"Московская область1);2)";0,9;0,7;0,7;1,5;0,7;0,8;0,3;0,6;0,7;0,6;0,2;0,1;0,2;…;0,1;0,0;0,3;1,4;1,7;
Орловская область;1,6;1,8;1,6;1,5;1,5;0,8;1,0;0,8;1,0;1,5;0,8;1,0;0,8;0,5;0,3;0,4;0,4;0,2;0,4;
Рязанская область;1,6;1,5;1,1;0,8;0,9;1,6;0,7;0,4;1,1;0,4;0,7;0,7;0,5;0,8;0,4;0,3;0,3;0,3;0,2;
