Социально-экономические показатели по субъектам Российской Федерации;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;
18.7. ИСПОЛЬЗОВАНИЕ СЕТИ ИНТЕРНЕТ НАСЕЛЕНИЕМ1);;;;;;
18.7.2. Население, использовавшее сеть Интернет каждый день или почти каждый день2);;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общей численности населения соответствующего субъекта Российской Федерации)";;;;;;
;2014;2015;2016;2017;2018;
Тюменская область;65,9;65,9;70,9;69,3;82,0;
в том числе:;;;;;;
Ханты-Мансийский      автономный округ – Югра;73,2;72,7;75,0;73,9;86,9;
Ямало-Ненецкий    автономный округ;70,4;74,1;83,2;81,5;90,1;
Тюменская область без автономных округов;55,7;54,9;61,4;59,5;73,2;
Челябинская область;51,9;54,5;60,5;60,1;67,4;
Сибирский    федеральный округ;52,2;53,2;54,9;59,6;65,2;
Республика Алтай;44,1;58,2;48,6;61,4;67,6;
Республика Тыва;40,3;42,9;47,6;58,8;67,4;
Республика Хакасия;39,5;43,2;42,7;50,3;50,8;
Алтайский край;54,9;54,0;57,9;60,6;61,3;
Красноярский край;50,7;54,0;56,0;61,9;68,5;
Иркутская область;50,2;53,8;54,8;55,3;62,1;
Кемеровская область;51,7;50,9;51,7;56,4;64,4;
Новосибирская область;57,6;55,8;58,1;63,3;69,9;
Омская область;50,0;52,8;53,2;61,3;67,7;
Томская область;56,0;53,8;56,6;60,0;62,9;
Дальневосточный   федеральный округ;48,6;52,8;57,6;61,6;68,4;
Республика Бурятия;46,0;46,2;51,8;58,6;64,4;
Республика Саха (Якутия);53,4;63,8;71,2;77,7;79,7;
Забайкальский край;42,7;42,2;54,9;54,0;61,0;
Камчатский край;50,2;58,2;73,3;63,7;79,2;
Приморский край;52,2;49,9;57,0;58,2;65,2;
Хабаровский край;53,6;60,5;61,7;64,2;73,9;
Амурская область;34,3;47,0;47,6;60,4;65,1;
Магаданская область;58,5;60,5;61,4;68,0;73,4;
Сахалинская область;49,0;59,5;45,8;57,6;65,5;
Еврейская автономная    область;42,1;54,2;51,2;62,4;61,8;
Чукотский автономный  округ ;60,9;64,0;72,9;61,6;84,7;
?????;;;;;;
"1) Выборочное обследование осуществляется с 2013 г.;  данные публикуются с 2014 г.";;;;;;
"2) В возрасте 15-74 лет; до 2017 г. - в возрасте 15-72 лет.";;;;;;
