Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;
13.  ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО ;;;;;;;;
13.5. ИНДЕКСЫ ПРОИЗВОДСТВА  по виду экономической деятельности «Обрабатывающие производства»;;;;;;;;
13.5.2. В соответствии с ОКВЭД21);;;;;;;;
(в процентах к предыдущему году);;;;;;;;
;2015;2016;2017;2018;;;;
Российская Федерация;98,7;102,6;102,5;102,6;;;;
"Центральный
федеральный округ";102,5;105,9;102,2;109,9;;;;
Белгородская область;107,5;107,6;110,4;106,4;;;;
Брянская область;114,7;105,4;106,8;105,3;;;;
Владимирская область;99,6;96,2;100,0;101,1;;;;
Воронежская область;104,9;107,4;106,9;104,4;;;;
Ивановская область;98,1;106,2;105,4;103,4;;;;
Калужская область;97,8;108,7;115,5;107,1;;;;
Костромская область;99,5;101,5;109,6;99,6;;;;
Курская область;106,4;111,7;105,0;103,5;;;;
Липецкая область;100,3;104,0;103,6;105,8;;;;
Московская область;104,0;112,1;112,8;110,6;;;;
Орловская область;100,4;97,5;95,8;99,4;;;;
Рязанская область;100,2;101,9;104,1;105,6;;;;
Смоленская область;102,6;104,5;102,3;104,7;;;;
Тамбовская область;106,2;104,4;111,2;116,5;;;;
Тверская область;93,2;113,9;99,2;116,5;;;;
Тульская область;112,2;115,2;107,2;105,0;;;;
Ярославская область;102,9;107,3;113,1;109,8;;;;
г. Москва;100,2;100,3;101,7;112,2;;;;
"Северо-Западный
федеральный округ";96,2;103,3;105,3;104,1;;;;
Республика Карелия;97,7;104,2;102,0;107,4;;;;
Республика Коми;90,8;95,2;105,9;99,5;;;;
Архангельская область;100,2;99,1;136,6;100,1;;;;
в том числе:;;;;;;;;
Ненецкий автономный округ;100,0;95,7;80,2;88,5;;;;
Архангельская область без автономного округа;100,2;99,1;137,1;100,2;;;;
Вологодская область;102,3;100,6;102,5;105,5;;;;
Калининградская область;91,9;101,4;103,4;103,2;;;;
Ленинградская область;98,7;105,5;101,6;104,0;;;;
Мурманская область;113,3;105,5;114,5;104,1;;;;
Новгородская область;97,6;113,1;111,2;102,1;;;;
Псковская область;103,8;105,3;104,3;102,1;;;;
г. Санкт-Петербург;92,7;103,7;105,8;105,2;;;;
Южный             федеральный округ;113,3;105,4;102,8;105,6;;;;
Республика Адыгея;104,1;109,9;106,0;106,3;;;;
Республика Калмыкия;108,8;88,2;118,8;100,5;;;;
Республика Крым;127,2;112,5;117,8;108,1;;;;
Краснодарский край;103,2;103,9;104,5;105,2;;;;
Астраханская область;94,8;100,4;88,4;95,2;;;;
Волгоградская область;104,2;103,9;106,2;101,2;;;;
