Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;
;;;ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;
"3.4. СРЕДНЕМЕСЯЧНАЯ НАЧИСЛЕННАЯ ЗАРАБОТНАЯ ПЛАТА РАБОТНИКОВ ОРГАНОВ МЕСТНОГО САМОУПРАВЛЕНИЯ1);2)";;;;;;;;;;;;;;;;;
3.4.3.  В местных администрациях (исполнительно-распорядительных органах муниципальных образований);;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;
Республика Северная Осетия - Алания;2699;2801;2930;3345;5082;6959;9511;10855;13578;13788;16060;17051;18564;19380;20734;21406;22403
Чеченская Республика;…;…;…;…;…;…;…;8483;8467;12381;14250;14638;14995;14572;16773;24719;25540
Ставропольский край;2974;3617;4460;5387;6913;8462;10455;14648;16520;16214;17661;19321;21399;24690;25121;25760;29140
Приволжский    федеральный округ;2897;3927;4691;6020;7429;9464;11895;14789;15519;16350;20412;23073;24950;25663;25460;26694;29599
Республика Башкортостан;3102;4087;4919;5691;7559;9664;12482;16054;13483;15968;23888;26551;28945;28426;29275;29746;37550
Республика Марий Эл;2428;2937;3714;4031;6602;8477;10883;13201;13591;13879;16260;17824;21519;21476;21282;21644;23057
Республика Мордовия;2621;3357;3802;4079;4594;5625;7294;9833;11132;11903;14008;17324;20425;21033;22306;23205;25307
Республика Татарстан;1747;2452;2612;3012;3573;9520;12804;15732;15744;17515;22364;27342;30372;30337;26320;28368;33209
Удмуртская Республика;2914;3796;5630;6109;6987;8231;10986;13293;14209;14647;18523;22039;23677;24879;25271;26448;27626
Чувашская Республика;2167;2761;3396;5223;6853;7657;8942;11093;11528;11580;14506;17697;19767;20251;20431;21467;23777
Пермский край;3408;4494;5083;6834;8180;9835;12992;15172;15981;16822;21860;24741;25592;26554;27833;30374;32090
Кировская область;2728;3910;3737;4085;6159;7195;7982;12102;13084;13077;15508;17782;19101;18789;18971;19463;21233
Нижегородская область;2835;3668;4421;7973;8998;11844;16102;19177;20030;20134;23377;25630;28173;30008;25524;27625;29542
Оренбургская область;3950;5499;5602;7685;10038;11987;13166;14260;14987;15590;18271;20900;21978;23857;24648;25918;27582
Пензенская область;2428;3375;4462;5048;5735;6974;9591;13023;14741;15555;17853;20052;20359;20494;21401;21887;23653
Самарская область;3349;5176;6089;7652;9916;12142;14619;18456;19522;20596;25218;27279;30126;31483;31642;32179;34741
Саратовская область;2533;3174;4631;5138;5549;7826;9003;12415;15140;15907;19109;21402;22099;22679;23460;24366;26678
Ульяновская область;2099;3231;4308;4848;5340;7418;8789;10676;11698;12725;17326;19382;22179;22761;23529;24174;27465
Уральский   федеральный округ;6587;8783;10876;12919;14880;19261;23778;29618;29547;32236;41778;46182;48280;49049;49941;51239;55848
Курганская область;2389;3423;4002;5047;6227;7000;8350;10304;11246;11399;13429;14918;16248;17765;18364;19597;21352
Свердловская область;3525;6401;6884;7819;8910;12378;16092;20157;20373;21103;29025;31877;33716;34376;35482;36883;40073
Тюменская область;12463,3;14398,1;18816;22237,7;24943;32014;39391;48179;47239;53158;70181;79277;82586;81863;83619;84999;93516
в том числе:;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный    округ - Югра;15944;18818;22553;27245;32774;36297;43757;51419;50202;56649;77156;83720;85945;86919;88608;90357;95359
Ямало-Ненецкий автономный округ;11692;16217;23293;24506;23190;37134;48426;64088;65433;74854;92325;115287;119752;111924;111016;117660;132508
Тюменская область    без автономного округа;…;…;…;…;…;…;23575;26910;24083;25840;37189;36302;38443;38327;43167;41811;48519
Челябинская область;3086;4558;5560;7864;8605;10256;12838;15603;15629;16290;19762;21063;22110;23677;24837;26263;28461
Сибирский         федеральный округ5);4107;5721;6701;7990;9421;11831;13831;17182;18374;19032;21851;24233;25675;26453;26896;28002;32096
Республика Алтай;2557;3704;5203;5715;6911;8910;10346;12483;14122;14861;18731;20211;21430;22659;21057;21602;25695
Республика Тыва;3042;4921;6160;7556;7777;8910;10007;13813;15187;16581;19024;20017;21211;21760;22223;22462;27111
Республика Хакасия;4638;6391;6458;7274;7971;9259;11017;14572;17942;18281;19808;22597;23510;24005;24739;24348;27830
Алтайский край;2764;3561;4328;4816;5927;6906;8614;11190;11668;12078;14095;14652;15747;16405;17445;18488;21600
Красноярский край;5544;7955;8662;9731;11935;16303;18024;21520;23717;23697;26537;28602;29780;31012;30926;31708;35488
Иркутская область;4514;6264;7545;9537;11004;13779;16158;22284;23036;24046;28539;32651;35406;36237;36936;38488;42477
Кемеровская область;4949;6910;7084;8228;9773;12023;13873;14824;15070;15353;18081;19594;20457;20683;20879;21422;26423
Новосибирская область;3355;5126;5757;7179;8406;9846;12734;15516;17218;17918;19960;23379;25307;25456;25588;27668;30929
Омская область;2785;4623;5039;6896;9577;12792;13975;16726;17542;18103;21443;24145;27288;28663;28868;29654;31786
Томская область;5859;7926;11401;14442;15680;16737;19164;22951;23144;23835;27126;31703;33384;35118;35345;36457;38768
Дальневосточный     федеральный округ5);5580;7549;10293;12969;15395;18400;21057;25815;29592;31709;38821;44356;48677;50544;51768;53149;48768
Республика Бурятия;2771;4349;6028;6491;7828;9222;13226;18193;19424;20985;24108;26146;27426;27214;27979;29137;33118
Республика Саха (Якутия);…;…;9339;10810;12669;15471;16521;18496;24787;27127;38698;46160;52720;55318;56200;57177;60764
Забайкальский край;4305;4918;6439;8029;8397;12043;13110;15328;16679;17394;18572;20219;20106;20920;21231;22174;26486
Камчатский край;9523;12176;13899;17744;22168;27846;30853;34687;38807;45901;51588;57883;62152;63941;65418;67860;73313
Приморский край;4424;5604;9037;12273;14807;17069;19551;24488;26740;28287;35079;37866;40803;42624;43631;45645;49596
Хабаровский край;5508;8368;11262;16420;18008;18960;20713;26303;30028;31896;37519;42024;44852;46325;47914;50163;54155
Амурская область;4888;6927;8859;9481;11514;15620;18060;21091;24112;24403;26841;30723;31959;32238;32650;32443;34293
Магаданская область;6773;8595;10658;12194;15766;21482;25263;33493;36805;38193;46638;63931;73452;69332;69965;73747;77243
Сахалинская область;6437;8284;10986;12791;15736;21655;27767;38468;40638;42038;54712;61540;73025;79281;82168;84974;90653
Еврейская автономная область;3667;4993;6563;7584;9123;11771;16226;20381;21931;21915;28767;32290;33680;34329;35746;35801;39272
Чукотский автономный округ;11381;15129;24147;24935;27559;29378;34730;52151;43997;50572;54024;58779;73806;75329;81547;87483;90585
?????;;;;;;;;;;;;;;;;;
1) Показатель разрабатывается с 2001 г. ;;;;;;;;;;;;;;;;;
2) Включая избирательные комиссии муниципальных образований.;;;;;;;;;;;;;;;;;
3) 2001- 2008 гг. – включая данные по субъектам Северо-Кавказского федерального округа.;;;;;;;;;;;;;;;;;
4) 2015 г. – без учета данных по Республике Крым и г. Севастополю.;;;;;;;;;;;;;;;;;
5) Данные за 2000-2017 гг. по Сибирскому и Дальневосточному федеральным округам приведены в составе субъектов Российской Федерации до вступления в силу Указа Президента Российской Федерации от 3 ноября 2018 г. № 632.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
