Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;
20. ФИНАНСЫ;;;;;;;;;;;;;;
20.18. ОТДЕЛЬНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ СТРАХОВЩИКОВ , ИСХОДЯ ИЗ МЕСТА ЗАКЛЮЧЕНИЯ ДОГОВОРА;;;;;;;;;;;;;;
 20.18.2.  Выплаты по договорам страхования1);;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;308484,4;356831,8;416267,4;633060,4;739465,9;772743,7;890950,9;376409,1;419667,8;473138,9;513827,1;509125,6;513001,7;522861,2
Центральный      федеральный округ;146341,3;144383,9;189149,1;238080,0;289998,0;311022,0;339762,3;204686,3;225392,2;257271,4;294356,1;279865,7;287883,8;316439,7
Белгородская область;2073,1;2672,2;3278,7;4242,4;4750,9;5501,5;5952,4;1614,0;1715,5;1889,8;2086,1;2419,0;2281,2;2208,2
Брянская область;3256,7;2323,7;2758,4;3264,0;3678,1;3646,8;4990,7;900,3;1169,5;1293,7;1409,9;1440,0;1165,1;1086,8
Владимирская область;1468,0;2421,5;3494,7;5404,8;6373,5;6402,2;7104,5;1747,5;2134,6;2564,3;2411,4;2338,1;2303,2;2534,6
Воронежская область;3476,9;3799,9;4894,1;6516,5;7866,1;7761,3;10686,8;2739,2;3283,2;4418,3;3713,1;4774,1;4220,2;3279,6
Ивановская область;774,6;1887,0;2205,0;2775,3;3150,3;3233,1;3722,4;1103,4;1447,3;1584,1;2082,5;2266,1;2047,2;1744,1
Калужская область;1617,4;1926,1;2289,3;2959,1;3403,2;3619,4;4507,8;1344,9;1622,8;1652,5;1764,3;1529,9;1409,8;1487,3
Костромская область;217,9;482,3;1580,9;1843,3;2070,2;1987,2;2227,3;535,1;585,3;599,2;727,9;734,1;763,5;684,5
Курская область;388,8;1789,4;2149,9;2894,8;3808,2;3916,5;4473,8;1012,1;1195,8;1715,9;1572,0;1557,3;1654,6;1452,4
Липецкая область;2403,9;2800,0;3543,3;4142,6;4087,5;4522,7;5199,9;1457,8;1525,4;1689,4;1874,4;2418,4;2125,3;1643,0
Московская область;21238,0;15449,8;23414,4;31502,8;33530,3;29888,2;40067,2;9709,8;11586,1;9440,4;11428,3;11959,7;12918,0;12304,5
Орловская область;1247,8;1428,7;1665,6;2063,6;2621,9;2488,1;2658,9;561,9;712,0;874,3;926,8;1145,1;871,7;894,1
Рязанская область;1655,7;1907,3;2304,3;3249,3;3745,0;4315,9;5119,4;1573,2;1988,8;2144,4;2254,3;2088,0;1878,1;1650,9
Смоленская область;287,8;856,2;2421,5;2778,2;3375,2;3687,7;4378,6;1116,1;1111,1;1331,1;1533,0;1608,3;1898,2;1981,2
Тамбовская область;1466,1;1683,5;2011,0;2577,6;2974,0;3177,3;3619,4;704,7;874,9;961,7;1152,7;1112,4;1050,4;990,8
Тверская область;1925,5;2379,3;2150,3;3661,0;4601,0;4936,9;5708,5;1501,0;1851,3;1778,0;1931,6;1902,9;1924,7;2033,6
Тульская область;1785,4;2212,6;3359,5;4789,2;5391,0;6675,6;8388,8;1974,0;2204,6;2359,8;2120,8;2077,1;2061,9;2042,5
Ярославская область;2239,8;3432,5;4124,3;5092,6;5496,2;5589,0;6849,6;1829,6;2172,1;2727,3;2920,1;2382,4;2068,7;2276,0
г. Москва;98818,1;94931,8;121503,7;148322,9;189075,3;209672,6;214106,4;173261,6;188211,8;218247,2;252446,9;236112,7;245242,0;276145,6
Северо-Западный    федеральный округ;31506,4;40964,1;52313,0;69360,6;81019,4;83510,7;101060,3;46846,1;48219,0;54615,1;53538,4;50060,9;47417,8;46677,9
Республика Карелия;274,8;1701,6;2579,9;3086,6;3795,1;3649,1;4311,9;965,7;1061,5;1216,8;1153,1;1077,2;1056,8;961,7
Республика Коми;2004,2;2832,5;3570,6;4434,5;5324,0;6416,6;7849,0;1135,1;1250,7;1448,4;1525,3;1499,9;1522,3;1335,7
Архангельская область;2341,2;3429,1;4030,7;5688,3;6794,8;6588,6;7670,5;1879,4;1980,2;2221,1;2336,9;2046,0;2051,2;1507,7
Ненецкий автономный округ;3,0;182,6;228,8;353,9;57,9;22,9;0,0;-;5,6;7,4;31,9;35,2;54,6;10,5
 в том числе Архангельская   область без автономного округа;2338,3;0,0;3801,8;5334,4;6736,9;6565,7;7670,4;1879,4;1974,5;2213,6;2305,0;2010,8;1996,6;1497,2
Вологодская область;3198,2;4034,8;5023,9;6437,3;6671,5;6341,4;6857,4;8298,0;2656,9;2886,2;3046,9;2853,3;2330,8;2189,6
