Социально-экономические показатели по субъектам Российской Федерации;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;
18.6. ИСПОЛЬЗОВАНИЕ ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ И СЕТИ ИНТЕРНЕТ В ДОМАШНИХ ХОЗЯЙСТВАХ1) ;;;;;;;
18.6.2. Удельный вес домашних хозяйств, имевших доступ к сети Интернет2);;;;;;;
"(по данным выборочного обследования населения по вопросам использования ИКТ; в процентах от общего числа домашних хозяйств соответствующего субъекта Российской Федерации)";;;;;;;
;2014;2015;2016;2017;2018;;
Российская Федерация;69,9;72,1;74,8;76,3;76,6;;
Центральный   федеральный округ;71,3;73,4;75,9;77,5;78,3;;
Белгородская область;68,9;66,4;69,4;74,8;71,5;;
Брянская область;56,1;61,7;68,3;67,8;69,4;;
Владимирская область;68,0;69,2;73,0;72,4;72,1;;
Воронежская область;62,4;70,9;78,0;77,8;79,0;;
Ивановская область;62,0;67,3;74,4;66,9;70,3;;
Калужская область;63,8;68,0;69,6;74,7;73,3;;
Костромская область;68,2;63,1;70,5;70,0;68,3;;
Курская область;61,0;61,5;71,9;73,2;77,0;;
Липецкая область;62,1;70,4;72,0;69,3;73,2;;
Московская область;74,3;78,1;79,1;84,5;82,3;;
Орловская область;67,0;68,0;67,4;69,4;71,4;;
Рязанская область;69,4;63,3;65,0;68,9;72,5;;
Смоленская область;65,4;71,6;70,6;71,0;73,6;;
Тамбовская область;61,4;68,0;71,4;75,9;74,5;;
Тверская область;65,3;66,6;73,4;72,0;69,9;;
Тульская область;76,0;74,4;79,5;81,5;83,8;;
Ярославская область;64,2;69,2;74,6;65,8;65,9;;
г. Москва;80,7;80,4;80,1;82,1;84,8;;
Северо-Западный     федеральный округ;76,4;79,5;80,7;79,3;79,3;;
Республика Карелия;70,8;74,6;79,5;77,7;76,4;;
Республика Коми;70,3;83,2;80,3;77,3;79,1;;
Архангельская область;72,9;76,6;74,0;71,8;73,9;;
в том числе: ;;;;;;;
Ненецкий автономный   округ;62,3;69,9;69,7;74,7;62,1;;
Архангельская область    без автономного округа;73,2;76,8;74,1;71,7;74,3;;
Вологодская область;62,6;62,9;66,1;70,4;70,4;;
Калининградская область;81,6;79,4;85,2;77,9;80,8;;
Ленинградская область;75,6;76,4;77,1;75,3;78,4;;
Мурманская область;80,4;87,3;81,8;81,9;83,5;;
Новгородская область;63,1;71,4;72,5;72,1;68,1;;
Псковская область;63,6;65,6;75,8;68,6;67,2;;
г. Санкт-Петербург;84,9;87,4;88,6;87,6;86,0;;
Южный          федеральный округ;67,6;72,4;77,0;79,1;76,9;;
Республика Адыгея;62,5;64,3;75,1;75,9;76,6;;
Республика Калмыкия;52,2;70,4;72,9;77,9;73,8;;
Республика Крым;…;70,8;74,0;81,3;81,6;;
Краснодарский край;65,3;70,1;75,3;79,2;71,8;;
Астраханская область;65,4;77,2;75,2;77,9;82,2;;
Волгоградская область;73,7;72,1;76,1;76,1;77,6;;
Ростовская область;68,4;74,9;81,1;80,1;79,0;;
г. Севастополь;…;82,4;83,4;82,5;79,2;;
Северо-Кавказский        федеральный округ;63,1;69,5;72,1;78,3;74,7;;
Республика Дагестан;53,0;61,0;70,5;76,3;63,6;;
Республика Ингушетия;71,3;80,2;85,8;86,3;85,2;;
Кабардино-Балкарская   Республика;64,7;72,2;72,4;81,6;78,3;;
Карачаево-Черкесская     Республика;66,4;63,0;77,0;81,7;78,0;;
Республика Северная    Осетия – Алания;73,1;71,2;76,2;88,1;84,7;;
Чеченская Республика;66,9;83,3;66,9;74,9;85,9;;
Ставропольский край;65,9;71,4;72,0;76,6;75,5;;
Приволжский      федеральный округ;67,5;69,2;71,6;74,0;74,9;;
Республика Башкортостан;67,4;71,2;75,2;77,3;79,7;;
Республика Марий Эл;63,8;71,2;69,6;72,1;66,1;;
Республика Мордовия;73,8;69,6;67,5;66,3;67,1;;
Республика Татарстан;76,6;83,1;82,9;84,2;81,8;;
Удмуртская Республика;73,5;69,4;73,9;72,7;70,3;;
Чувашская Республика;70,3;73,2;67,3;65,7;62,6;;
