Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;
3.12. ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА ПЕНСИОНЕРА В ЦЕЛЯХ УСТАНОВЛЕНИЯ СОЦИАЛЬНОЙ ДОПЛАТЫ К ПЕНСИИ1);;;;;;;;;;;;;
(рублей в месяц);;;;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Российская Федерация;4780;4938;5564;6131;6354;7161;8803;8540;8726;;;;
Центральный   федеральный округ;;;;;;;;;;;;;
Белгородская область;3900;4336;4928;5475;5760;6054;8016;8016;8016;;;;
Брянская область;4123;4211;4784;5335;5648;6213;6648;8095;8441;;;;
Владимирская область;4505;4761;5390;5866;6044;6953;8377;8377;8452;;;;
Воронежская область;4590;4805;5325;5947;6039;6865;8680;8390;8620;;;;
Ивановская область;4304;4426;5083;6078;6078;6570;7434;7977;8460;;;;
Калужская область;4350;4560;5350;5850;6130;6870;8472;8472;8547;;;;
Костромская область;4548;4868;5546;6048;6210;6960;8736;8450;8549;;;;
Курская область;4068;4406;4925;5418;5710;5973;6391;7460;8600;;;;
Липецкая область;4160;4620;5360;5800;6100;6530;8600;8540;8620;;;;
Московская область;4774;4932;5674;6812;6812;7549;8950;9161;9527;;;;
Орловская область;3990;4250;4760;5180;6000;6500;7800;8434;8550;;;;
Рязанская область;4594;4594;5172;5769;6140;6341;7256;8456;8493;;;;
Смоленская область;4330;4783;5530;6052;6335;7119;8634;8510;8674;;;;
Тамбовская область;3450;3654;3873;4102;4802;6238;7468;7468;7489;;;;
Тверская область;4633;4858;5346;5849;6225;7042;8540;8540;8726;;;;
Тульская область;4550;4640;5180;5380;6310;6860;8487;8487;8622;;;;
Ярославская область;4600;4840;5295;5835;6252;6591;8102;8163;8163;;;;
г. Москва;5790;6273;7137;7137;8502;9046;11428;11561;11816;;;;
Северо-Западный    федеральный округ;;;;;;;;;;;;;
Республика Карелия;4780;4938;5564;6131;6354;7161;8803;8540;8726;;;;
Республика Коми;5435;5909;6616;6986;7798;9078;9577;9821;10192;;;;
Архангельская область2);;;;;;;;;;;;;
в том числе: ;;;;;;;;;;;;;
Ненецкий автономный округ;9400;10000;10600;11000;13430;14210;16510;17092;17956;;;;
Архангельская область    без автономного округа;5385;5554;6425;6871;7064;8812;11173;10816;10258;;;;
Вологодская  область;4694;4728;5534;5884;6316;7081;8801;8540;8726;;;;
Калининградская область;4780;4938;5564;6131;6354;7161;8803;8803;8726;;;;
Ленинградская область;4400;4550;4950;5250;5900;6150;7868;8503;8726;;;;
Мурманская  область;6405;6883;7627;7970;8504;8972;11338;12090;12523;;;;
Новгородская  область;4455;4771;5339;5862;6120;6822;8437;8483;8726;;;;
Псковская  область;4188;4656;5038;5678;6344;7130;8715;8540;8726;;;;
г. Санкт-Петербург;4481;4633;5158;5593;6258;7087;8668;8540;8726;;;;
Южный             федеральный округ;;;;;;;;;;;;;
Республика Адыгея;4150;4194;4854;5133;5679;6281;8138;8138;8138;;;;
Республика Калмыкия;4191;4465;5262;5451;6053;6327;7526;7667;7755;;;;
Республика Крым;;;;;…;6735;8048;8410;8530;;;;
Краснодарский край;4680;4815;5272;5852;6312;6735;8418;8478;8537;;;;
Астраханская область ;4262;4402;4857;5366;5382;6149;7947;7665;7961;;;;
Волгоградская область;4284;4788;5340;6108;6350;6769;8510;8535;8535;;;;
Ростовская область;4531;4768;5561;6052;6350;6775;8488;8488;8488;;;;
г. Севастополь;;;;;…;6735;8147;8532;8722;;;;
Северо-Кавказский федеральный округ;;;;;;;;;;;;;
Республика Дагестан;4014;4063;4527;5274;5912;6640;7900;8374;8680;;;;
Республика Ингушетия;4554;4930;5225;5549;5843;6444;7352;8400;8726;;;;
Кабардино-Балкарская Республика ;3876;4250;4760;5330;5865;6568;8095;8500;8726;;;;
Карачаево-Черкесская Республика ;4190;4600;4908;5129;5827;6351;6796;8410;8618;;;;
Республика Северная Осетия-Алания;4105;4373;5130;5515;5958;6351;6920;8410;8064;;;;
Чеченская Республика;4258;4509;4919;5224;5517;5798;8156;8535;8719;;;;
Ставропольский край;4515;4909;5338;5558;5817;6474;7524;7975;8135;;;;
Приволжский     федеральный округ;;;;;;;;;;;;;
Республика Башкортостан;3939;4571;5220;5690;6070;6513;7842;8015;8320;;;;
Республика Марий Эл;3880;4240;4700;5048;5557;6274;7967;7967;8036;;;;
Республика Мордовия;3939;4375;5047;5405;5702;6084;7468;7879;8194;;;;
Республика Татарстан;3696;3992;4302;4870;5912;6310;7526;8232;8232;;;;
Удмуртская Республика;4042;4398;5296;5457;5730;6563;8502;8502;8502;;;;
Чувашская Республика;3910;4259;4818;5121;5413;5771;7391;7720;7953;;;;
Пермский край;4766;4931;5452;5866;6136;6877;8175;8473;8503;;;;
Кировская область;4430;4790;5310;5574;5968;6414;8236;8474;8474;;;;
Нижегородская область;4587;4750;5465;5731;5943;6470;7992;8082;8100;;;;
Оренбургская область;4228;4702;5088;5760;6071;6350;7042;7786;8059;;;;
Пензенская область;4205;4676;5027;5440;5740;6033;7622;7835;7861;;;;
Самарская область;4947;4960;5487;5841;5941;6420;7554;8173;8413;;;;
Саратовская область;4265;4416;5045;5367;5420;6200;7232;7700;7990;;;;
Ульяновская область;3966;4259;5040;5745;6010;6210;7900;8271;8474;;;;
Уральский   федеральный округ;;;;;;;;;;;;;
Курганская область;3942;4313;5077;5747;6300;7000;8370;8500;8630;;;;
Свердловская область;4478;4813;5549;6131;6354;7161;8803;8540;8726;;;;
Тюменская область2);;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;
Ханты-Мансийский автономный    округ - Югра;7149;7494;8198;8198;8985;9566;10732;11258;11708;;;;
Ямало-Ненецкий    автономный округ;7321;7650;8452;8737;9634;11224;13425;13425;13425;;;;
Тюменская область    без автономных округов;4780;4817;5202;5542;5882;6908;8530;8540;8726;;;;
Челябинская область;4100;4200;5000;5434;6215;6734;8499;8523;8586;;;;
Сибирский       федеральный округ;;;;;;;;;;;;;
Республика Алтай;4770;4930;5511;5983;6328;7107;8619;8453;8594;;;;
Республика Тыва;4565;4822;5406;5592;6354;6970;8388;8540;8726;;;;
Республика Хакасия;4458;4775;5527;6059;6330;6922;8482;8519;8543;;;;
Алтайский край;4619;4770;5147;5672;5877;6647;8363;8363;8543;;;;
Красноярский край;4616;4937;5510;5795;6235;6980;8411;8540;8726;;;;
Иркутская область;4720;4905;5542;6038;6266;7109;8801;8536;8723;;;;
Кемеровская область;3837;4013;4563;4949;6017;6386;8059;8208;8347;;;;
Новосибирская  область;4900;4900;5560;6010;6750;7295;8803;8538;8725;;;;
Омская область;4665;4710;5066;5370;5932;6386;8217;8217;8480;;;;
Томская область;4746;4925;5539;6003;6298;7144;8416;8497;8561;;;;
Дальневосточный     федеральный округ;;;;;;;;;;;;;
Республика Бурятия;4780;4938;5564;6131;6354;7161;8803;8540;8726;;;;
Республика Саха (Якутия);7779;8072;8673;9471;9915;11506;13651;13807;13951;;;;
Забайкальский край;4725;4937;5552;6110;6354;6929;8803;8540;8726;;;;
Камчатский край;10166;10723;11361;11590;12228;12894;15560;16400;16543;;;;
Приморский край;5685;5685;6198;6905;7818;8444;8744;8967;9151;;;;
Хабаровский край;6442;6946;7326;7555;8012;8974;10895;10895;10895;;;;
Амурская область;5710;6050;6750;7200;7590;7590;8796;8540;8726;;;;
Магаданская область;7808;7808;8624;11180;11810;12410;14770;15460;15460;;;;
Сахалинская область;7380;7750;8980;9519;10043;11200;11999;12151;12333;;;;
Еврейская автономная область;5069;5473;6053;6475;7414;7414;8800;8906;9013;;;;
Чукотский автономный округ;10315;10315;11300;11300;15000;17885;19000;19000;19000;;;;
??????;;;;;;;;;;;;;
1) Разработка показателя ведется с 2010 г.;;;;;;;;;;;;;
1) Величина прожиточного минимума пенсионера органами законодательной власти не устанавливается.;;;;;;;;;;;;;
;;;;;;;;;;;;;
