Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;
18.4. ЧИСЛО ПЕРСОНАЛЬНЫХ КОМПЬЮТЕРОВ на 100 РАБОТНИКОВ;;;;;;;;;;;;;;;;
18.4.1. Всего1);;;;;;;;;;;;;;;;
(штук);;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Ямало-Ненецкий      автономный округ;19;22;22;25;27;28;30;34;30;37;34;37;41;42;40;40
Тюменская область      без автономных округов;21;25;28;30;37;40;45;46;48;50;48;52;55;50;53;54
Челябинская область;15;17;20;24;24;27;30;32;34;36;39;41;43;44;46;47
Сибирский        федеральный округ;18;20;22;25;28;30;33;36;37;41;42;44;46;47;47;49
Республика Алтай;24;28;27;32;38;39;44;45;47;51;48;53;57;55;56;55
Республика Тыва;15;16;18;23;26;27;32;38;39;41;42;43;48;47;48;50
Республика Хакасия;15;30;21;23;26;30;33;37;39;41;34;48;48;48;48;47
Алтайский край;16;18;20;22;27;28;32;32;35;37;39;41;44;43;43;45
Красноярский край;19;21;25;26;29;32;34;37;40;44;45;45;47;47;48;49
Иркутская область;18;23;24;24;27;29;28;35;35;41;42;43;47;46;45;48
Кемеровская область;11;13;16;20;22;23;26;27;28;32;31;33;34;36;36;38
Новосибирская область;21;25;26;29;32;35;42;42;43;48;50;52;54;55;57;59
Омская область;20;22;22;24;27;30;33;35;37;40;42;42;46;47;50;50
Томская область;24;27;31;35;37;39;45;46;49;52;54;56;57;61;57;64
Дальневосточный       федеральный округ;17;20;22;26;29;32;34;36;39;42;43;45;48;47;48;48
Республика Бурятия;17;18;19;22;27;29;32;36;38;41;43;44;48;48;47;48
Республика Саха (Якутия);20;22;24;26;30;32;34;35;38;41;43;43;45;48;47;43
Забайкальский край;15;18;22;26;31;31;33;36;39;39;40;40;46;44;43;45
Камчатский край;23;22;28;30;29;36;38;40;33;50;50;52;60;54;54;54
Приморский край;17;21;22;25;25;29;32;33;36;39;39;43;44;45;46;50
Хабаровский край;20;22;23;26;29;33;36;39;42;47;45;48;49;49;52;53
Амурская область;11;15;19;25;24;28;30;34;35;36;34;42;46;42;42;40
Магаданская область;17;24;21;34;41;41;42;43;47;59;55;55;57;56;56;54
Сахалинская область;21;23;26;31;34;35;37;40;41;46;48;52;50;51;53;54
Еврейская автономная      область;19;25;28;30;33;36;38;43;43;47;47;49;52;51;49;45
Чукотский автономный округ;30;34;35;43;45;44;41;42;47;52;49;46;47;47;48;51
_____________;;;;;;;;;;;;;;;;
1) Федеральное статистическое наблюдение осуществляется с 2003 г.;;;;;;;;;;;;;;;;
