Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ ;;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;;
12.6. УДЕЛЬНЫЙ ВЕС УБЫТОЧНЫХ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;;
(в процентах от общего числа организаций);;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Южный              федеральный округ;32,6;30,3;35,3;37,6;33,6;30,8;31,0;25,4;26,7;30,5;29,0;27,7;27,4;31,0;32,5;33,5;30,7;32,6;33,6;
Республика Адыгея;30,6;30,9;35,0;40,3;37,9;31,7;29,4;23,1;22,7;22,7;19,0;22,5;25,1;21,8;18,8;21,0;17,5;18,4;16,1;
Республика Калмыкия;47,4;42,8;46,8;54,9;45,7;50,0;41,4;38,7;34,0;32,1;33,3;25,7;32,4;39,0;43,8;51,4;50,0;35,3;39,0;
Республика Крым;;;;;;;;;;;;;;;51,4;43,9;40,0;42,2;44,2;
Краснодарский край;28,7;26,5;31,7;35,9;32,7;27,9;22,6;17,3;21,9;28,4;27,5;26,2;26,4;30,2;29,0;28,9;27,4;29,9;32,3;
Астраханская область;32,4;32,6;37,3;41,2;37,5;35,7;36,8;31,3;33,4;35,8;39,8;41,6;36,5;38,0;38,2;45,4;41,5;47,5;50,0;
Волгоградская область;41,3;38,5;46,5;43,2;38,5;36,3;32,5;29,2;30,3;34,9;32,4;31,4;31,7;36,7;37,4;37,4;34,3;35,2;36,7;
Ростовская область;30,6;26,8;30,2;32,7;28,5;27,7;24,7;21,3;22,8;28,2;28,0;25,5;23,7;27,9;29,2;28,7;26,6;30,0;29,7;
г. Севастополь;;;;;;;;;;;;;;;52,3;52,1;34,1;50,6;47,6;
Северо-Кавказский федеральный округ;38,8;37,6;41,6;45,9;41,2;40,0;38,9;31,2;30,8;32,7;33,8;32,3;33,7;31,8;32,2;30,1;28,1;26,1;26,7;
Республика Дагестан;45,9;42,6;45,4;45,9;39,4;39,5;35,8;31,7;30,2;33,0;31,8;30,4;40,8;30,7;35,8;30,5;26,9;23,0;20,9;
