Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.12. ВКЛАДЫ (ДЕПОЗИТЫ) ФИЗИЧЕСКИХ ЛИЦ НА ВАЛЮТНЫХ СЧЕТАХ В СБЕРБАНКЕ РОССИИ;;;;;;;;;;;;;;;;;;;;
" (на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Республика Мордовия;59;106;147;230;225;230;253;225;308;1516;1416;897;856;805;857;2070;3173;2679;2486;2301
Республика Татарстан;801;1276;1810;2860;2758;2804;3151;2952;3397;6458;6983;7131;8644;9791;11020;21056;34390;33389;29638;41223
Удмуртская Республика;164;273;398;647;664;690;737;682;763;2021;2196;1834;2093;2303;2402;4518;6969;6090;5685;5913
Чувашская Республика;129;226;329;566;576;568;631;578;669;1446;1523;1356;1577;1646;1693;3477;5069;4867;4640;4507
Пермский край;820;1285;1809;2582;2570;2698;3027;2787;3266;8010;8721;7600;8851;10484;11396;24031;36140;30369;25769;24912
Кировская область;125;235;319;456;429;454;483;431;514;1201;1269;1152;1310;1400;1411;3714;5312;4970;5043;4174
Нижегородская область ;1279;2227;3322;4704;4343;4412;5281;4520;4686;9131;10214;9102;10371;10919;11152;19423;27478;22628;22068;23258
Оренбургская область;362;580;815;1226;1156;1326;1457;1290;1597;2850;2829;2526;3868;3415;3898;6876;10195;8649;7643;6534
Пензенская область;214;306;406;635;626;670;756;748;929;1900;2152;2000;2298;2382;2427;4164;5271;4248;4018;4213
Самарская область;975;1598;2822;4761;4864;5272;5916;5228;5393;11688;13240;15335;17675;20995;25313;44810;66297;59550;45456;55977
Саратовская область;381;599;804;1168;1127;1235;1361;1297;1716;4265;4541;4243;4523;4759;5305;9557;16481;15642;13886;12869
Ульяновская область;179;266;417;680;689;767;772;709;844;1738;1979;1826;2077;2094;2172;4103;5171;5009;4339;4575
Уральский        федеральный округ;2790;4908;7137;9595;8669;8806;9490;8772;10394;25139;36814;44233;61044;69262;81299;149960;226727;193581;188940;220056
Курганская область;42;96;157;233;221;237;265;280;333;666;800;788;865;900;885;1724;2410;2328;2344;2589
Свердловская область ;775;1507;2071;2619;2231;2159;2180;2043;2555;7558;8317;7654;9334;10910;13795;25347;43458;34574;28943;29752
Тюменская область;1325;2383;3606;5001;4597;4593;4971;4359;4665;10160;20177;28990;42104;48316;57674;107294;152618;134903;138608;167727
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный  округ – Югра;…;…;…;…;…;…;2742;…;…;…;…;24932;36327;41414;50760;94965;134943;121368;125731;154370
Ямало-Ненецкий автономный округ;…;…;…;…;…;…;888;…;…;…;…;1160;1589;1767;1835;2798;3531;3029;2613;3018
Тюменская область    без автономных округов;…;…;…;…;…;…;1342;…;…;…;…;2899;4188;5134;5079;9532;14145;10506;10264;10339
Челябинская область;647;921;1306;1743;1620;1818;2074;2090;2842;6754;7519;6801;8741;9137;8944;15595;28240;21776;19046;19989
Сибирский      федеральный округ;2625;4323;6409;8750;8593;9723;9653;9902;12264;25302;28017;24632;29379;31458;34674;67590;103434;88694;83874;81848
Республика Алтай;…;…;34;55;52;45;44;45;55;124;139;119;159;156;147;222;274;184;204;156
Республика Тыва;6;8;13;24;16;16;22;18;34;51;59;98;91;90;87;146;162;117;137;187
Республика Хакасия;50;73;103;149;148;183;233;249;290;668;667;313;352;439;596;804;1622;2168;2510;2532
Алтайский край;356;553;808;1256;1260;1427;1496;1411;1689;3260;3532;3121;3637;3885;4566;10815;12722;10394;8620;7375
Красноярский край;480;736;977;1280;1254;1341;2008;1451;1940;3779;4143;3533;4227;4323;4594;7856;15077;12544;12008;12651
Иркутская область;411;698;1028;1420;1425;1731;1756;1743;2281;4749;5050;4577;5118;5771;6121;11558;18048;15487;14638;14870
Кемеровская область;416;701;1126;1396;1329;1660;1553;1563;1846;4010;5107;4138;5083;5122;5231;11379;15253;12265;12609;13016
Новосибирская область ;310;572;898;1267;1328;1405;1469;1418;1740;3748;4069;3884;4952;5385;6444;12709;20969;17077;16466;15161
Омская область;338;558;927;1280;1187;1307;664;1348;1640;3324;3283;2852;3187;3599;3851;6871;11862;11682;10295;10048
Томская область;258;424;495;623;594;608;408;656;749;1589;1968;1997;2573;2688;3037;5230;7445;6776;6387;5853
Дальневосточный    федеральный округ;1886;3232;5003;7961;8551;9055;11893;8720;7599;14090;16166;15381;17583;18727;20496;37312;60139;50861;48214;52392
Республика Бурятия;58;89;122;203;217;240;300;268;334;645;771;709;825;895;826;1839;2785;2417;2204;2403
Республика Саха (Якутия);295;535;764;1176;1225;1226;1301;765;662;1392;1455;1189;1323;1243;1103;2141;2863;2220;2228;2436
Забайкальский край;123;174;234;351;331;370;1594;322;432;788;804;846;1083;1247;1108;2079;2652;2009;2094;2394
Камчатский край;…;…;389;601;663;657;3794;622;479;761;888;856;962;1007;1921;3178;4997;4126;4563;4016
Приморский край;698;1232;1207;2091;2572;2997;1771;3463;2955;4888;5251;5510;6351;6550;7070;11661;20864;17914;16945;17837
Хабаровский край ;376;650;1052;1595;1579;1555;451;1374;1053;2047;2469;2265;2642;2777;3009;6171;11578;9316;8502;9020
Амурская область;133;226;302;415;410;399;722;360;358;729;787;733;987;1246;977;2128;3246;3196;2771;3134
Магаданская область ;203;326;461;715;656;646;706;492;416;893;1706;1326;1216;1203;1255;1949;2446;1890;1795;1976
Сахалинская область;…;…;392;681;758;824;1083;917;737;1670;1788;1695;1872;2168;2943;5618;7957;7058;6568;8745
Еврейская автономная область;…;…;60;96;95;88;107;80;120;184;148;149;175;245;236;377;547;567;405;265
Чукотский автономный округ;…;…;20;37;45;53;64;57;53;93;99;103;147;146;48;171;204;148;139;166
