Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.16.  ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;;;;;;
20.16.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Кабардино-Балкарская       Республика;0,0;0,0;0,0;5;15;25;54;131;259;385;363;349;381;257;177;266;268;165;118;121
Карачаево-Черкесская       Республика;0,0;0,0;0,0;2;5;5;10;60;95;112;117;103;89;69;55;69;60;19;13;13
Республика Северная         Осетия – Алания;14;10;16;21;16;50;97;179;248;393;337;310;277;225;199;296;270;81;28;28
Чеченская Республика;0,0;0,0;0,0;1;12;13;19;35;19;77;80;97;269;379;166;147;213;167;145;96
Ставропольский край;7;8;17;42;161;354;600;1100;1601;2184;1975;1727;1599;984;1125;1006;1019;474;355;304
Приволжский    федеральный округ;301;393;628;1273;2830;4041;5972;12270;19396;24695;20265;16686;14545;10051;8954;11132;10751;6000;3133;2509
Республика Башкортостан;11;27;30;40;141;378;533;980;1818;2220;1694;1380;1146;745;688;872;663;419;441;309
Республика Марий Эл;0,0;6;10;1;5;13;60;193;370;495;360;284;196;170;133;207;120;65;46;32
Республика Мордовия;1;1;1;0,0;5;15;56;250;465;608;517;449;387;247;238;275;292;148;83;68
Республика Татарстан;49;34;44;246;375;402;714;1409;1741;2005;1732;1514;1542;1188;1059;1489;1772;1224;182;373
Удмуртская Республика;12;11;24;29;110;89;153;368;742;1501;899;774;631;421;360;450;406;141;73;48
Чувашская Республика;2;2;11;10;12;30;84;370;834;1028;925;881;692;452;389;472;421;179;110;88
Пермский край;23;35;24;76;132;209;521;1405;2409;2934;2389;1915;1664;1067;994;1170;1204;528;423;355
Кировская область;2;1;4;19;8;77;84;222;615;557;483;405;492;331;203;269;198;77;35;27
Нижегородская область;96;154;237;371;822;1199;1170;2453;3786;4614;3618;2760;2158;1321;1182;1425;1342;751;495;323
Оренбургская область;40;24;13;4;35;49;109;360;653;1029;807;686;640;418;376;466;338;140;103;79
Пензенская область;2;2;3;5;22;32;114;270;498;676;669;587;492;390;289;349;383;215;135;99
Самарская область;42;80;210;418;1021;1363;1950;2761;3581;4447;4047;3284;2901;2199;2144;2485;2627;1690;726;439
Саратовская область;17;14;16;48;116;137;308;766;1143;1605;1295;1135;1089;732;570;803;641;286;196;165
Ульяновская область;4;1;1;6;25;48;116;463;740;976;830;632;515;370;329;400;343;137;84;104
Уральский                                федеральный округ;296;291;459;838;1708;2383;4442;6585;8922;9978;7360;8595;7886;3306;3009;4096;4113;1842;1370;885
Курганская область;0,0;0,0;0,0;4;3;13;21;83;287;248;194;154;123;88;56;89;69;20;5;5
Свердловская область;87;124;291;630;1192;1363;2973;3838;4189;4743;3193;5418;5175;1265;1166;1599;1555;787;554;357
Тюменская область;174;140;82;98;333;718;961;1475;2106;2165;1689;1256;1158;869;670;946;1053;459;366;210
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;-;-;29;27;206;391;303;425;544;464;345;299;438;328;233;294;287;204;109;48
Ямало-Ненецкий автономный округ;-;-;2;2;10;38;127;169;379;220;185;166;162;107;83;128;164;73;50;97
Тюменская область без   автономных округов;174;140;51;69;117;289;531;881;1183;1481;1159;791;558;434;354;524;602;181;207;65
Челябинская область;35;28;86;106;180;289;487;1190;2340;2821;2284;1767;1430;1084;1117;1462;1435;577;444;313
Сибирский    федеральный округ;319;209;392;824;1488;2453;2987;6980;11787;13670;12605;10719;9924;6228;5043;6309;4845;2421;2330;3690
Республика Алтай;0,0;0,0;0,0;0,0;2;1;7;14;50;55;27;10;67;62;66;81;7;6;5;7
Республика Тыва;0,0;1;2;0,0;3;3;3;3;8;9;10;10;9;7;3;3;3;0,0;0,0;0,0
Республика Хакасия;0,0;2;1;1;5;165;49;85;113;138;714;81;90;63;53;76;50;39;35;9
Алтайский край;2;16;33;113;154;241;144;462;887;1039;847;662;656;393;336;451;445;208;161;62
Красноярский край;177;35;39;130;208;224;336;790;1492;1929;1942;1878;1704;868;681;754;711;362;213;147
Иркутская область;15;18;51;74;170;280;471;878;1390;1558;1524;1376;986;599;449;572;518;245;169;156
Кемеровская область;10;29;43;60;182;163;365;1029;2302;2319;2107;2218;2740;1749;1324;1456;522;290;231;2298
Новосибирская область;10;33;116;180;264;393;677;1715;2699;3376;2816;2368;1918;1362;1197;1635;1454;685;1093;658
Омская область;68;37;85;192;345;763;647;1487;2134;2406;1961;1552;1281;818;679;893;809;414;330;265
Томская область;37;38;22;74;155;220;288;517;712;841;657;564;473;307;255;388;326;172;93;89
Дальневосточный     федеральный округ;76;160;231;398;574;699;1148;2698;4995;6294;6181;5469;4257;2729;2581;3072;2847;1573;1405;1236
Республика Бурятия;0,0;5;8;3;21;33;28;120;189;265;314;307;187;128;309;195;76;27;10;9
Республика Саха (Якутия);3;2;8;20;34;33;51;120;143;259;248;225;181;130;86;115;105;44;28;24
Забайкальский край;1;1;1;2;6;11;62;96;83;155;307;237;169;78;56;57;53;24;20;16
Камчатский край;7;14;31;22;105;76;53;30;49;109;146;201;123;78;294;159;54;41;25;19
Приморский край;17;38;56;78;178;246;491;1188;2519;3105;2695;2423;1767;1161;1210;1748;1785;1009;787;765
Хабаровский край;17;21;98;203;97;136;271;659;1464;1640;1634;1365;932;545;388;547;521;274;420;298
Амурская область;1;2;2;30;39;45;58;153;95;216;319;234;155;107;85;93;112;76;64;55
Магаданская область;22;63;13;16;26;26;41;73;90;140;98;66;434;326;12;17;19;7;7;8
Сахалинская область;3;9;10;21;54;60;85;227;284;299;346;335;246;139;127;120;99;61;41;42
Еврейская автономная область;0,0;0,0;0,0;0,0;0,0;0,0;2;12;33;53;47;45;40;30;11;16;18;6;0,0;0,0
Чукотский автономный округ;5;5;4;3;14;33;6;20;46;53;27;31;23;7;3;5;5;4;3;0,0
??????;;;;;;;;;;;;;;;;;;;;
1) С 2011 г. – без учета индивидуальных предпринимателей. ;;;;;;;;;;;;;;;;;;;;
