Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;
6.7. ТУРИСТСКИЕ ФИРМЫ;;;;;;;;;;;;;;;;;
6.7.1. Число туристских фирм1);;;;;;;;;;;;;;;;;
Оренбургская область;38;37;49;57;66;75;78;101;124;133;136;141;158;115;147;157;
Пензенская область;16;28;46;45;46;58;59;85;93;89;91;91;85;80;87;100;
Самарская область;70;86;130;170;185;145;172;242;181;227;249;261;241;357;307;309;
Саратовская область;41;61;66;80;93;102;128;123;142;137;123;129;110;74;148;149;
Ульяновская область;12;19;26;31;45;54;47;85;88;101;111;122;139;100;107;117;
Уральский федеральный округ;256;344;492;530;630;650;565;825;939;982;1011;1159;1230;1424;1546;1464;
Курганская область;5;7;11;12;19;12;18;53;53;46;54;51;56;51;64;74;
Свердловская область;114;166;228;247;258;282;193;245;304;317;298;363;411;704;719;612;
Тюменская область;84;94;123;140;185;180;139;217;264;298;347;406;362;290;387;398;
в том числе:;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;40;37;43;48;62;67;51;88;96;114;148;161;118;121;149;158;
Ямало-Ненецкий автономный округ;3;7;6;7;10;16;7;8;8;18;25;27;26;20;22;15;
Тюменская область   без автономных округов;41;50;74;85;113;97;81;121;160;166;174;218;218;149;216;225;
Челябинская область;53;77;130;131;168;176;215;310;318;321;312;339;401;379;376;380;
Сибирский федеральный округ;349;474;568;654;724;757;871;1159;1413;1562;1709;1762;1656;1554;1780;1797;
Республика Алтай;4;23;12;10;7;14;18;61;57;57;60;61;79;73;29;22;
Республика Тыва;3;6;8;7;5;6;12;15;11;7;9;9;9;12;14;11;
Республика Хакасия;7;8;13;9;17;22;16;26;27;25;31;43;43;37;49;51;
Алтайский край;44;56;76;77;87;100;95;110;121;144;147;161;167;133;155;160;
Красноярский край;37;51;59;75;77;97;111;145;170;283;314;335;330;343;351;363;
Иркутская область;50;65;90;112;130;95;126;145;207;158;202;182;135;197;248;251;
Кемеровская область;51;56;66;84;99;115;125;183;253;289;315;310;303;235;254;244;
Новосибирская область;50;72;84;108;117;117;165;236;273;277;283;286;268;222;327;342;
Омская область;58;83;98;106;115;115;120;143;166;191;209;226;206;186;220;207;
Томская область;45;54;62;66;70;76;83;95;128;131;139;149;116;116;133;146;
Дальневосточный федеральный округ;321;374;415;473;496;503;436;581;610;622;646;625;573;663;702;750;
Республика Бурятия;8;21;23;23;28;41;41;58;48;57;42;42;51;54;43;53;
Республика Саха (Якутия);21;28;33;43;43;43;43;66;64;74;83;76;90;82;60;64;
Забайкальский край;15;20;31;35;38;37;41;50;62;59;65;61;26;57;45;41;
Камчатский край;36;43;44;55;56;49;23;69;68;66;68;82;79;90;84;85;
Приморский край;118;113;115;128;136;132;84;107;142;126;147;128;87;123;159;163;
Хабаровский край;67;91;104;116;117;119;116;129;123;126;123;117;121;146;184;213;
Амурская область;16;20;24;28;25;30;28;31;31;39;44;47;50;46;60;64;
Магаданская область;7;8;9;9;9;8;10;12;14;12;13;16;16;12;11;11;
Сахалинская область;25;25;25;30;33;28;32;40;41;42;45;44;44;43;43;45;
Еврейская автономная область;6;5;7;6;11;15;17;18;15;18;13;9;6;7;11;8;
Чукотский автономный округ;2;-;-;-;-;1;1;1;2;3;3;3;3;3;2;3;
"1) Статистическое наблюдение ведется с 2002 г. с периодичностью 1 раз в 2 года; с 2004 г. - ежегодно.";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
