Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.4. ФАКТИЧЕСКОЕ КОНЕЧНОЕ ПОТРЕБЛЕНИЕ ДОМАШНИХ ХОЗЯЙСТВ НА ТЕРРИТОРИИ СУБЪЕКТОВ РОССИЙСКОЙ ФЕДЕРАЦИИ ;;;;;;;;;;;;;;;;;;
9.4.3. Социальные трансферты в натуральной форме;;;;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; миллионов рублей)";;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Фактическое конечное потребление домашних хозяйств на территории субъектов Российской Федерации - всего;466630,3;629369,0;896892,3;1038814,6;1291342,6;1697190,5;2119569,4;2756866,8;3390704,6;3734538,7;3885213,2;4646657,3;5214418,0;5826175,3;6223528,6;6496316,0;6676650,9;7046167,7
Центральный    федеральный округ;124139,7;169276,4;235168,4;282072,7;354960,1;496172,0;631722,7;882876,0;1122601,7;1268111,6;1317273,4;1569976,2;1727546,6;1909824,1;2048475,5;2102421,6;2167533,9;2293371,3
Белгородская область;3900,7;5286,7;7675,3;8560,8;10427,9;12177,9;16409,4;19815,6;26216,4;29472,6;30043,7;37028,3;42322,7;45908,4;48901,1;49728,5;52038,8;53732,9
Брянская область;2401,3;3918,2;5622,0;6431,7;8049,5;10197,6;13110,3;16168,3;19129,5;19904,8;20425,5;24226,6;28443,6;31177,8;31881,7;32362,2;33045,6;35118,5
Владимирская область;3057,3;4552,3;6620,5;7822,6;9751,8;11888,6;15252,8;18708,8;23236,7;26346,3;27770,7;31624,1;35894,6;38087,2;40975,4;43522,7;45843,1;49168,5
Воронежская область;4519,3;6462,3;10341,5;11811,7;14193,0;18343,1;22474,6;28681,0;33918,3;39187,8;42236,9;50387,3;57540,1;64750,4;72693,7;75459,4;75774,2;79283,9
Ивановская область;2513,2;3736,2;5294,2;6192,0;7941,8;9978,4;12668,5;16857,9;18275,1;21119,4;21563,0;24199,1;26241,0;28264,5;30115,8;30706,5;31251,2;32744,9
Калужская область;2424,0;3436,9;5148,7;6265,3;8255,4;10194,5;12715,8;15969,3;19237,2;20767,9;22554,0;26830,7;32284,8;33865,1;36264,4;36631,5;36386,2;38628,2
Костромская область;1798,9;2405,8;3680,6;4173,1;5123,6;6423,3;7523,2;9617,5;10972,0;12437,6;13579,0;15889,3;17077,9;20080,3;21596,3;21722,0;22085,7;22405,5
Курская область;2331,3;3169,2;5019,4;5403,1;7412,3;9848,3;11364,0;14225,2;18574,7;19623,9;20819,7;26151,9;29437,3;32353,6;34019,3;35294,3;36197,0;38731,5
Липецкая область;3731,9;4954,4;6025,3;7621,1;9635,4;13184,1;16150,8;18422,2;21128,3;21461,4;21930,1;26142,2;28786,1;31448,9;34642,5;35639,1;36795,3;38658,6
Московская область;16717,6;26937,3;37704,6;47047,3;61707,4;88776,4;113826,1;152320,2;192724,8;200457,4;211761,5;245875,6;272353,2;294036,1;330735,6;342977,8;358940,3;397002,4
Орловская область;1997,5;3048,5;4094,5;4934,5;5977,5;8139,5;9501,9;11888,6;15161,3;16473,4;16223,8;18429,9;22294,3;25520,5;26668,3;26531,6;27775,8;29712,1
Рязанская область;2470,2;3461,2;5253,2;6241,5;7517,4;10844,5;12384,7;15725,0;19038,1;21357,4;22075,8;26045,6;30916,4;35336,7;36912,2;37700,6;38390,6;41852,5
Смоленская область;2691,2;3711,6;5126,7;5707,6;7196,3;8479,6;10606,5;12819,5;17331,6;19120,5;19827,1;23901,8;27430,7;29686,3;30849,0;31221,2;32076,5;34142,4
Тамбовская область;2327,4;3261,5;5015,2;5667,0;7161,8;9164,6;11150,6;13988,7;16369,4;17743,8;17781,7;22027,6;23821,7;25954,8;29591,6;31113,7;32159,4;33552,1
Тверская область;3253,2;4751,5;6661,5;7714,2;10450,6;12862,8;15946,8;19932,2;23987,4;27882,7;28610,0;35099,8;38760,4;42187,0;41992,2;44439,3;45080,9;47658,3
Тульская область;3553,1;5328,7;7757,8;8850,0;10865,4;15495,5;17974,6;22674,8;27104,6;30494,3;31608,8;34007,4;39186,4;42344,1;47306,2;49756,9;50963,6;54765,9
Ярославская область;3790,9;5389,8;8094,3;8998,6;11214,2;15313,4;17556,5;22142,8;25146,8;28451,7;30126,3;35831,8;41153,9;45248,0;51167,5;51156,4;51934,3;55961,5
г. Москва;60660,7;75464,3;100033,1;122630,6;152078,8;224859,9;295105,6;452918,4;595049,5;695808,7;718335,8;866277,2;933601,5;1043574,4;1102162,7;1126457,9;1160795,4;1210251,6
Северо-Западный    федеральный округ;52154,0;70966,9;99412,5;117375,2;151073,9;210498,1;261385,8;331820,9;411281,3;443883,3;472426,4;559399,6;628265,7;705470,2;750297,7;789806,0;837088,6;898678,8
Республика Карелия;2994,7;3791,3;5755,0;6386,3;8180,9;9834,4;12769,9;14001,8;18667,3;20420,4;21742,8;25698,8;28853,1;31855,0;32261,4;33746,7;34679,4;35417,1
Республика Коми;5131,6;7115,7;10344,0;11412,0;14434,8;15707,1;19569,3;22590,9;26419,0;31156,2;30373,7;39717,6;44994,9;51668,4;53609,1;55341,3;54454,6;55229,8
Архангельская область;5207,1;7286,7;10465,3;12498,7;15400,4;20254,1;23331,1;28885,6;35533,2;38072,9;40446,2;48926,9;55031,4;60945,8;64597,4;66943,3;67309,0;70718,1
в том числе: ;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;514,3;789,0;1036,2;1213,0;1538,4;1827,5;2473,4;3251,0;3434,0;3695,2;4220,7;4788,5;5755,8;6439,8;7155,2;7875,3;7419,3;7460,5
Архангельская область без     автономного округа;;;;;;;;;;;;44138,4;49275,6;54506,0;57442,2;59068,0;59889,7;63257,6
Вологодская область;5369,7;6547,8;8417,8;9893,2;13097,5;17506,7;20764,6;25485,7;30942,3;29468,1;30052,3;32736,3;36276,6;38119,1;39601,3;40698,6;38595,3;42153,9
Калининградская область;2340,2;3321,0;4551,0;5285,1;6594,1;9886,4;12717,3;17099,6;20016,3;20635,1;21082,1;24739,1;27855,8;29438,4;31901,1;33705,6;34255,2;35760,3
Ленинградская область;4308,2;6173,3;7988,9;10002,4;13839,2;18503,8;22939,1;27440,6;34662,5;37530,9;38489,5;45821,5;50745,0;52833,5;58433,6;65250,1;69292,9;75976,7
Мурманская область;4737,0;6137,5;9578,8;11238,9;13852,7;16772,0;20107,7;24629,6;30710,9;33665,8;34228,4;40191,3;45417,1;51342,9;53314,0;53508,0;55963,4;58587,8
Новгородская область;2008,6;2426,2;3420,8;4132,0;5147,9;7095,3;8582,6;10262,1;13083,0;13203,8;14836,2;18944,4;20909,9;23396,7;23094,9;22962,8;23869,2;24253,5
Псковская область;1852,8;2444,5;3720,5;4213,1;5228,8;6323,2;7941,1;9783,7;12860,2;14167,4;14604,7;17741,4;19241,5;20988,5;21347,0;19642,5;19069,9;19684,6
г. Санкт-Петербург;18204,1;25722,9;35170,4;42313,5;55297,6;88615,1;112663,1;151641,3;188386,6;205562,7;226570,5;264882,3;298940,4;344881,9;372137,9;398007,1;439599,7;480897,0
Южный         федеральный округ;28703,6;40222,3;57841,3;67232,0;84504,3;111583,3;140248,2;182431,5;224852,8;259645,3;269697,3;310811,6;365388,3;403591,5;434091,3;513246,9;519181,5;548847,8
Республика Адыгея;939,8;1303,6;2217,9;2246,6;2856,4;3616,7;4487,9;5570,2;6632,9;7658,0;8104,5;9421,6;10438,8;11988,7;12943,8;13444,7;13267,7;14356,3
Республика Калмыкия;822,7;1111,5;1753,6;1989,7;2580,4;2564,0;3053,3;4127,5;4877,8;5213,6;5341,7;6134,2;7032,9;7693,2;8424,9;8623,2;8744,4;9764,6
Республика Крым;;;;;;;;;;;;;;;…;51668,0;55704,3;58905,2
Краснодарский край;10899,4;15392,8;21370,7;24520,4;32088,5;42543,2;52049,5;69107,8;88390,9;100709,8;107779,2;122233,4;157279,4;175280,4;180660,8;194981,1;200246,4;212489,9
Астраханская область;2429,5;3070,3;5192,2;5736,7;6584,9;8645,6;10913,5;12702,1;16253,8;19562,2;20708,1;22652,4;26275,7;29161,2;31708,3;31934,0;30746,3;31235,1
Волгоградская область;5658,2;7624,7;10087,4;12015,1;14440,8;19886,7;25323,8;32936,3;39352,6;45228,3;46950,9;55759,3;60272,3;64017,8;73704,6;73264,0;74028,3;74592,0
Ростовская область;7954,0;11719,4;17219,5;20723,5;25953,3;34327,1;44420,2;57987,6;69344,8;81273,4;80812,9;94610,7;104089,2;115450,2;126648,9;129891,4;126752,3;136642,8
г. Севастополь;;;;;;;;;;;;;;;…;9440,5;9691,8;10861,9
Северо-Кавказский     федеральный округ;13687,4;18686,9;28438,1;31878,9;40978,0;56931,5;70501,6;92030,2;118762,6;143431,5;147456,9;173243,4;197701,4;240384,8;262056,2;270827,6;277456,5;291258,3
Республика Дагестан;3896,5;5381,5;8157,8;9043,8;11759,9;14146,8;17909,5;22085,8;29757,6;36775,9;37749,1;41932,0;47044,9;60506,7;66536,0;67103,5;67087,8;69561,5
Республика Ингушетия ;668,3;779,1;1421,8;1956,1;2049,7;2093,4;2630,5;4927,2;5175,3;5735,9;6322,6;7940,8;9337,3;10699,0;12899,5;13078,2;14041,4;14871,3
Кабардино-Балкарская     Республика;1895,2;2395,7;3475,6;3585,6;4527,6;6104,2;7215,9;9378,3;11121,5;12875,8;13719,6;15634,9;17321,0;21066,1;24654,9;25551,0;25949,0;26754,7
Карачаево-Черкесская     Республика;782,3;1166,4;1793,0;1965,1;2557,9;2945,2;3871,5;4716,0;6066,1;6790,7;7131,3;8694,5;9769,1;11108,5;11888,5;12640,2;12876,0;13528,1
Республика Северная    Осетия - Алания;1482,4;2091,6;3347,0;3733,5;4812,7;6433,2;6546,9;8398,7;10201,6;11708,3;11672,9;14007,1;15996,5;19710,7;20760,1;22398,1;22976,7;24396,1
Чеченская Республика ;…;…;…;…;…;4584,4;7002,2;10815,9;15980,9;18252,1;20290,2;24328,3;30091,4;38287,4;45658,1;48416,8;49819,7;53658,3
Ставропольский край;4962,7;6872,6;10242,9;11594,8;15270,2;20624,3;25325,1;31708,3;40459,6;51292,8;50571,2;60705,8;68141,2;79006,4;79659,1;81639,8;84705,9;88488,3
Приволжский федеральный округ;89698,5;118581,7;168842,9;186986,5;225362,6;280456,9;347645,5;430365,7;513560,0;568818,7;585724,0;719250,7;804374,1;902639,4;974998,0;997937,3;1018953,9;1066619,8
Республика Башкортостан;12834,1;15207,9;21692,8;23920,5;28082,5;33813,9;43769,5;52506,6;62251,5;69473,7;71729,8;87854,2;103226,8;113879,0;118088,4;125996,8;128763,6;132947,3
Республика Марий Эл;1411,8;2131,7;3370,1;3830,0;5062,5;5464,4;6831,7;8237,2;9901,0;10963,7;11546,9;13908,7;15114,2;17719,7;19222,1;19664,4;19423,5;20864,3
Республика Мордовия;1805,8;2596,9;4202,5;4805,3;6008,6;6959,4;8250,0;10743,0;11754,5;13242,2;13898,1;17905,3;22414,0;22712,4;24244,9;26604,2;28345,5;29569,2
Республика Татарстан;14648,8;18559,2;27500,3;31218,1;35276,6;36956,4;44463,2;55532,1;60219,7;61017,8;63794,8;87436,3;101511,2;122683,2;136127,0;140414,0;145078,4;155051,5
Удмуртская Республика;4914,5;6572,2;9752,4;10581,4;12476,1;15526,0;18367,9;23109,9;26102,9;28627,3;31192,3;37606,7;42222,5;47881,7;51943,3;54802,4;55558,1;59861,7
Чувашская Республика;2278,6;3398,7;5633,3;6608,9;7986,9;9509,8;12065,7;15521,6;18187,0;22130,8;20647,3;24010,1;26941,2;30609,7;32831,1;33133,6;33318,7;35016,4
Пермский край;10438,0;15088,8;19433,5;20950,0;25893,0;33083,5;42152,7;49438,1;59729,0;61695,9;60284,8;76677,2;80315,0;93759,6;109879,9;101257,3;102015,1;106540,1
Кировская область;3745,3;5425,5;7776,8;8806,9;11195,4;13178,4;16593,9;20156,2;24162,6;26771,5;27370,3;32217,9;36702,7;38956,0;39420,7;40914,9;41575,8;44559,9
Нижегородская область ;9274,7;12658,9;16581,8;18888,3;23423,4;30817,9;37638,7;47044,4;59721,7;68814,6;71961,0;85991,8;96476,1;105825,5;115339,0;120130,2;122255,6;130357,7
Оренбургская область;6558,2;7869,9;11098,7;12280,8;15609,3;21897,8;26679,1;32037,1;38148,5;43018,1;46075,6;54442,1;59286,2;64981,4;71876,2;71252,2;71847,3;74789,1
Пензенская область;2683,4;3968,0;5984,4;6926,7;8446,9;10447,8;12906,4;17112,4;21072,3;23665,7;25069,4;32800,9;34919,6;37530,9;37467,3;38622,9;40532,1;43658,5
Самарская область;10779,6;13461,0;18947,7;18707,4;22457,7;30810,7;38216,9;48640,3;57570,8;64950,6;65979,9;80784,3;87459,4;100875,2;106495,7;110948,1;113691,5;109988,6
Саратовская область;5406,2;7364,5;10989,2;12740,5;15299,8;21307,1;25458,2;32833,1;43779,8;50169,4;51731,5;59017,1;65712,2;69952,0;73351,7;74483,4;74584,2;77650,7
Ульяновская область;2919,5;4278,5;5879,4;6721,7;8143,9;10683,8;14251,6;17453,7;20958,7;24277,4;24442,3;28598,1;32073,0;35273,1;38710,7;39712,9;41964,5;45764,8
Уральский    федеральный округ;60618,3;77625,8;105401,2;117234,4;144886,8;181216,8;228056,5;290832,0;338565,3;338539,3;354787,5;444780,8;510416,4;567342,4;596329,3;622541,9;638835,3;672348,9
Курганская область;2307,2;3277,9;5519,7;6220,9;7644,5;9037,0;11249,3;13577,5;17215,2;19693,6;19770,4;23319,2;24773,9;26760,4;28509,9;29949,5;31386,5;33709,4
Свердловская область ;15267,4;18757,0;25962,4;30282,1;37630,0;47657,2;63558,0;87197,6;104007,7;98218,9;101911,0;125211,4;138851,6;160077,0;168059,9;173827,7;174838,3;179064,1
Тюменская область;32277,9;42288,4;55129,6;59462,8;72722,2;92134,9;112365,0;139666,2;154707,3;155236,3;161157,8;209507,0;252504,9;274855,3;287027,5;297723,2;304920,2;321991,5
в том числе:;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;20387,5;27182,4;32240,0;33869,8;40532,5;51924,6;64471,9;80580,5;91190,9;87634,2;91177,1;111247,9;133352,4;146354,1;153862,7;159737,8;165316,2;171243,0
Ямало-Ненецкий     автономный округ;4511,5;7711,4;12010,3;13411,1;17019,1;20670,7;25867,7;31022,3;34571,1;37543,6;42387,8;52648,2;60423,8;64349,1;64917,2;68911,5;69222,0;75831,2
Тюменская область без    автономных округов;;;;;;;;;;;;45610,9;58728,7;64152,1;68247,6;69073,9;70382,0;74917,3
Челябинская область;10765,8;13302,5;18789,5;21268,6;26890,1;32387,7;40884,2;50390,7;62635,1;65390,5;71948,3;86743,2;94286,0;105649,7;112732,0;121041,5;127690,3;137583,9
Сибирский       федеральный округ;64635,2;88201,9;133843,9;156606,0;192988,7;242595,6;296230,1;374062,9;449450,3;475439,0;486618,9;580991,5;659952,8;730683,7;763099,2;793278,4;803046,1;841132,5
Республика Алтай;602,6;911,1;1605,9;1892,4;2338,3;2983,9;3781,9;4571,9;5541,8;6270,6;6490,5;7606,5;8029,7;10648,9;10544,0;11259,4;11473,3;12005,5
Республика Бурятия;2990,0;4258,2;6917,5;8363,5;11027,5;13249,9;15147,4;18494,8;21183,0;22878,8;23198,2;28494,6;31438,2;36245,4;38876,2;40585,7;41569,1;42700,3
Республика Тыва;1080,4;1741,1;3049,3;3374,8;4060,5;4512,5;5850,3;7025,1;8727,3;10355,5;10343,2;11200,5;12368,3;13654,9;15132,7;15747,6;16503,3;17667,6
Республика Хакасия;1525,5;1949,6;3221,2;3558,4;4431,6;5689,5;6787,3;8328,0;10216,7;11650,0;11953,2;14317,0;16430,9;19416,6;21288,2;22005,2;22349,2;22803,5
Алтайский край;5946,7;8665,5;13168,4;15141,9;18551,0;22099,0;25572,6;30910,2;37291,7;42509,9;42858,5;51162,5;58467,1;60681,3;65488,5;66841,0;68134,2;71880,8
Забайкальский край;3627,0;5300,5;8739,7;10098,1;11561,6;14493,9;17240,9;21695,5;28152,4;31220,8;31947,5;36469,8;39916,3;43061,6;45193,3;46269,3;45399,4;48854,9
Красноярский край;15552,5;18856,6;26155,2;31933,5;38678,2;44940,1;57069,3;72525,0;86513,0;89666,6;92209,5;108295,0;123074,6;138998,5;139205,6;152999,9;154548,4;162688,9
Иркутская область;9051,7;12141,6;18079,1;20613,5;24247,7;30732,3;38657,0;50139,9;61339,2;59596,3;60966,1;71390,3;84980,6;99359,4;105686,0;106923,0;109438,7;117710,4
Кемеровская область;8206,2;10944,0;17305,3;19372,7;25846,9;32757,5;40350,4;51514,2;62580,9;62767,6;66715,2;84369,8;92704,6;95229,5;101000,3;100874,8;99716,4;103094,8
Новосибирская область ;7413,2;10792,5;16174,2;19464,0;23553,8;32130,7;37227,4;49790,3;61676,0;66979,0;68684,4;82033,5;96644,8;105060,5;107012,1;111833,4;115102,6;118677,4
Омская область;4562,1;7448,7;10909,3;12720,5;16990,7;23227,2;29911,5;36480,2;38536,1;41733,6;40210,8;49303,3;55507,0;62899,9;66228,7;66866,9;67087,2;68743,3
Томская область;4077,3;5192,5;8518,8;10072,7;11700,9;15779,1;18634,1;22587,8;27692,2;29810,3;31041,8;36348,7;40390,7;45427,2;47443,6;51072,2;51724,3;54305,1
Дальневосточный    федеральный округ;32993,6;45807,1;67944,0;79428,9;96588,2;117736,3;143779,0;172447,6;211630,6;236670,0;251228,8;288203,5;320772,7;366239,2;394181,4;406256,3;414555,1;433910,3
Республика Саха (Якутия);9542,3;12561,1;17379,7;19511,4;24068,4;28049,4;34686,0;39951,9;48900,9;54291,8;57469,8;65882,1;74166,2;90302,8;97208,4;103689,6;104979,2;112476,2
Камчатский край;2377,6;3175,1;4774,3;5184,8;6350,8;9038,4;11901,3;14184,6;15931,9;18463,9;21809,4;24723,4;26731,1;28940,9;32084,0;34444,3;36360,9;37606,6
Приморский край;6449,2;9459,3;14482,4;16344,5;18962,9;24927,2;29332,2;35017,9;44340,5;47853,3;48909,6;54168,5;59754,2;68735,5;73811,9;75400,8;73991,0;76610,5
Хабаровский край ;5973,3;8283,4;12339,6;15076,6;19318,0;21893,4;26367,4;32172,9;40120,7;44661,4;47864,1;55987,9;63468,2;69774,9;71851,5;71818,0;74234,4;75233,7
Амурская область;3006,5;4377,1;6719,8;8464,0;10530,5;12958,5;15027,9;18522,1;21762,8;24382,4;26070,8;31056,3;33642,1;36823,2;37606,4;36547,7;36598,9;37738,9
Магаданская область;1560,6;2081,1;3005,0;3371,0;3778,3;4550,6;5810,2;6905,3;7765,7;9763,6;10120,7;12321,3;15092,4;17776,1;18697,5;18829,9;19027,7;20437,1
Сахалинская область;2726,2;3477,3;5332,0;6945,9;8325,8;9984,3;12901,9;16719,4;22247,4;25840,2;26490,4;30404,1;32768,0;37904,9;43981,0;48868,1;52042,0;55124,6
Еврейская автономная    область;588,9;964,6;1471,0;1692,8;2030,8;2461,7;3280,9;3851,2;4554,7;4967,6;5409,0;5785,4;6611,1;7180,9;7328,6;7534,6;7604,5;7768,6
Чукотский автономный округ;769,0;1428,1;2440,2;2837,9;3222,7;3872,8;4471,2;5122,3;6006,0;6445,8;7085,0;7874,5;8539,4;8800,0;11612,1;9123,3;9716,5;10914,1
