Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;
6. КУЛЬТУРА, ОТДЫХ И ТУРИЗМ;;;;;;;;;;;;;;;;;;;;;;
6.5. ДЕТСКИЙ ОТДЫХ;;;;;;;;;;;;;;;;;;;;;;
"6.5.1. Число организаций отдыха и оздоровления детей 1);2)";;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;
Удмуртская Республика;757;668;697;709;716;739;746;667;678;636;640;673;674;688;695;684;699;677;625;;;
Чувашская Республика;460;513;514;579;670;847;926;943;1016;1036;905;538;498;531;508;451;434;400;375;;;
Пермский край;2152;2288;2238;2253;2371;2225;2053;2026;1985;1836;1684;1342;1237;1174;1205;1214;1214;1177;1162;;;
Кировская область;1276;1359;1301;1198;1242;1142;1002;951;879;801;749;716;712;718;688;597;557;553;549;;;
Нижегородская область ;1525;1572;1617;1648;1614;1727;1903;1874;1974;1963;1718;1674;1591;1580;1517;1580;1519;1469;1375;;;
Оренбургская область;1632;1675;1747;1631;1589;1582;1554;1441;1330;1283;1198;1106;1147;1148;1145;1118;1076;1035;1012;;;
Пензенская область;620;685;785;692;499;595;650;630;669;617;596;548;533;532;497;484;481;435;403;;;
Самарская область;987;971;974;835;728;682;635;655;646;677;654;794;823;833;829;827;815;765;726;;;
Саратовская область;781;772;877;960;1140;1524;1300;1160;1117;1045;1044;997;1018;1027;1035;933;888;849;859;;;
Ульяновская область;567;672;552;577;589;560;569;569;618;691;653;611;590;506;514;494;468;446;474;;;
Уральский    федеральный округ;3638;3735;3780;3794;3704;3614;3567;3469;3319;3517;3241;3793;3741;3695;3670;3648;3696;3648;3621;;;
Курганская область;620;656;685;654;606;616;569;548;507;474;473;476;458;461;429;422;412;418;408;;;
Свердловская область ;1226;1209;1145;1199;1163;1105;1087;1107;1057;1286;1006;1272;1252;1235;1197;1203;1211;1177;1181;;;
Тюменская область;879;927;997;1002;994;992;1037;1021;1006;1015;1006;1209;1206;1200;1238;1247;1287;1259;1262;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;183;228;273;308;303;313;375;350;360;383;387;472;474;475;513;531;567;559;565;;;
Ямало-Ненецкий автономный округ;37;33;32;47;49;46;48;66;69;63;58;104;98;90;95;98;95;95;98;;;
Тюменская область    без автономных округов;659;666;692;647;642;633;614;605;577;569;561;633;634;635;630;618;625;605;599;;;
Челябинская область;913;943;953;939;941;901;874;793;749;742;756;836;825;799;806;776;786;794;770;;;
Сибирский   федеральный округ;5543;5879;6056;6059;6516;6635;6706;6783;7353;7265;7379;6963;6953;6790;6784;6692;6376;5990;5954;;;
