Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;
"9.6. ВАЛОВОЕ НАКОПЛЕНИЕ ОСНОВНОГО КАПИТАЛА в 2000-2015 гг. 1);2)";;;;;;;;;;;;;;;;
"(в текущих рыночных ценах; миллионов рублей)";;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Валовое накопление основного капитала субъектов Российской Федерации;1183321,1;1659692,8;1909847,4;2383824,0;3092510,0;3778699,3;4895475,3;6875320,4;8981092,8;8278799,5;9687899,2;11534910,8;13192317,0;13978050,2;14373790,8;14589825,1
Центральный   федеральный округ;305212,4;390602,7;479531,3;631874,5;847777,9;1017417,3;1285154,0;1834971,3;2334214,7;2041861,2;2376477,4;2665394,8;3214099,2;3547407,4;3842008,7;3971424,9
Белгородская область;9592,6;14881,0;11449,0;16562,9;24506,8;36605,7;53309,6;83473,9;108687,4;75886,6;102176,8;131141,2;142098,8;135141,7;127676,4;156280,0
Брянская область;2848,9;3821,2;5094,8;7128,5;7362,7;8739,0;13081,6;21748,9;26199,8;27525,0;43055,5;47261,8;48193,9;63473,9;60190,3;61235,1
Владимирская область;4787,2;6682,9;9154,0;10722,0;12927,5;17271,9;22392,8;37943,3;45290,0;50902,7;50635,2;60828,2;62429,6;66225,0;74480,5;70197,0
Воронежская область;7924,6;10890,7;16440,7;20935,5;22790,6;29019,0;39436,2;65735,7;96192,7;98082,2;130562,5;159865,9;180075,3;213237,1;244319,5;266028,3
Ивановская область;1788,8;2617,9;3396,4;5446,8;9392,3;12311,0;14921,7;17229,9;25745,2;32266,7;30829,4;33487,1;30472,2;35355,4;33791,9;26007,3
Калужская область;5258,9;6936,8;7873,2;9806,7;10915,2;13786,2;18033,5;29641,4;58831,0;54822,6;68010,6;70300,2;89256,7;92710,4;96992,5;87992,5
Костромская область;4402,8;5074,7;6294,2;6136,1;13032,2;14681,2;12248,7;13437,4;16652,0;12064,1;17274,8;19468,7;23953,2;25164,7;31004,4;33174,1
Курская область;5127,5;6931,2;10608,0;10358,1;15521,2;17774,9;22344,6;29467,3;44262,0;41701,3;43735,2;58083,0;66499,7;67405,0;75203,5;73645,9
Липецкая область;6253,9;8626,5;11359,7;17893,2;28002,5;30870,1;44160,3;60801,3;86125,5;83414,4;101867,4;112590,4;93735,8;101977,5;106875,2;117381,9
Московская область;50161,1;58558,4;79219,6;115759,4;163615,5;184126,9;238912,6;392595,5;448406,7;377860,2;413040,5;467116,8;516634,5;598583,0;649059,1;686938,0
Орловская область;4958,5;5628,5;5350,8;6366,0;8121,0;9559,4;12602,5;23762,0;26755,5;20200,0;21489,5;33689,5;39641,5;43181,7;46781,0;48889,5
Рязанская область;3635,8;10461,6;7501,7;10142,3;18891,3;23915,6;26185,6;31436,7;47816,7;35347,7;39758,3;52362,7;67340,7;76871,3;60051,3;53653,9
Смоленская область;6656,6;9440,1;9903,7;11923,7;11772,9;14739,3;16380,6;25341,4;37887,9;35042,1;49517,7;57551,9;57223,3;57521,5;58049,6;56929,9
Тамбовская область;2486,1;3732,6;5302,2;8217,9;11204,9;14302,1;19451,9;30459,4;42319,0;48457,2;53431,2;67943,6;82807,6;101926,8;113091,4;118100,3
Тверская область;9288,7;11259,9;14745,3;23218,3;31431,3;24585,6;24818,8;36940,2;49556,1;69859,7;81504,6;94703,5;81116,8;82591,0;87460,4;78029,2
Тульская область;9954,7;8394,0;10042,5;14078,4;14541,0;20884,3;24932,1;36530,7;55984,5;62592,7;73263,9;79199,0;86900,2;95126,8;96983,1;107808,0
Ярославская область;7786,6;14571,6;14592,7;18945,7;28277,4;44065,4;37026,2;44007,5;55453,9;57396,9;73359,2;81296,3;81606,8;85260,7;87690,9;76674,1
г. Москва;162299,1;202093,1;251202,8;318233,0;415471,6;500179,7;644914,7;854418,8;1062048,8;858439,1;982965,1;1038505,0;1464112,6;1605653,9;1792307,7;1852459,9
