Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;;;;;;;;;;;
РЫБОЛОВСТВО И РЫБОВОДСТВО;;;;;;;;;;;;;;;;;;;
"14.42. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ ""РЫБОЛОВСТВО"" 1)";;;;;;;;;;;;;;;;;;;
14.42.2. Среднегодовая численность работников организаций ;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;
Челябинская область;200;81;52;59;75;102;96;177;198;185;144;206;223;167;;;;;
Сибирский     федеральный округ;1122;759;685;756;902;931;899;711;605;752;792;798;663;541;;;;;
Республика Алтай;-;-;-;-;1;4;4;2;1;1;-;- ;-;-;;;;;
Республика Тыва;15;5;12;19;35;14;25;24;29;23;17;3;4;1;;;;;
Республика Хакасия;84;100;88;86;96;92;73;-;-;-;-;3;-;-;;;;;
Алтайский край;73;93;74;52;45;13;57;62;57;111;132;86;140;143;;;;;
Красноярский край;594;238;207;368;477;472;412;300;288;387;398;343;278;170;;;;;
Иркутская область;121;108;61;50;35;34;35;53;62;47;40;45;36;23;;;;;
Кемеровская область;-;3;3;1;6;6;3;3;5;4;4;11;5;8;;;;;
Новосибирская область;179;168;163;102;142;234;220;210;102;90;94;93;90;80;;;;;
Омская область;53;42;47;58;42;53;58;57;46;81;99;190;96;107;;;;;
Томская область;3;2;30;20;23;9;12;-;15;8;8;24;14;9;;;;;
Дальневосточный   федеральный округ;49139;46971;42111;40254;39651;30313;27071;23453;23504;20949;21396;22559;29477;31681;;;;;
Республика Бурятия;636;585;444;559;570;456;348;81;43;42;19;20;112;100;;;;;
Республика Саха (Якутия);739;738;745;758;707;734;770;730;667;672;619;473;387;452;;;;;
Забайкальский край;27;35;31;2;5;5;1;-;1;-;-;1;-;-;;;;;
Камчатский край;13288;13427;13311;13220;12497;4354;3171;1303;1533;1535;1620;1534;8837;8513;;;;;
Приморский край;20443;19835;16349;15819;13890;13473;12857;11641;11676;10074;10226;9972;9017;9734;;;;;
Хабаровский край;3178;2808;2528;2671;5043;4635;2803;3022;3263;2985;2961;3109;4967;5080;;;;;
Амурская область;26;-;-;-;-;-;-;-;4;9;9;14;-;16;;;;;
Магаданская область;580;541;416;362;333;555;750;485;547;548;443;603;961;745;;;;;
Сахалинская область;9710;8529;7787;6541;6294;5820;6080;5916;5548;5015;5449;6784;5090;6864;;;;;
Еврейская автономная область;51;14;17;19;10;5;2;2;2;3;3;3;-;-;;;;;
Чукотский автономный округ;461;459;483;303;302;276;289;273;220;66;47;46;106;178;;;;;
________;;;;;;;;;;;;;;;;;;;
"1) Данные за 2005-2016 гг. приведены в соответствии с Общероссийским классификатором видов экономической деятельности   ОК 029-2007 (КДЕС Ред. 1.1) ОКВЭД-2007; данные с 2017 г. - в соответствии с Общероссийским классификатором видов экономической деятельности ОК 029-2014 (КДЕС Ред. 2) ОКВЭД2.";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
