Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"15. СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, РЫБОЛОВСТВО И РЫБОВОДСТВО
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ЛЕСНОЕ ХОЗЯЙСТВО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.40. ОСНОВНЫЕ ПОКАЗАТЕЛИ ПО ВИДУ ДЕЯТЕЛЬНОСТИ «ЛЕСОЗАГОТОВКИ»1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"14.40.4. Удельный вес убыточных  организаций в общем числе организаций по виду экономической деятельности ""Лесозаготовки""2)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(процентов);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
г. Санкт-Петербург;-;-;50,0;50,0;-;50,0;-;50,0;50,0;33,3;-;-;75,0;-;;;;;;;;;;;;;;;;
Южный          федеральный округ;100;100;50,0;80,0;75,0;80,0;33,3;-;25,0;50,0;50,0;-;50,0;-;;;;;;;;;;;;;;;;
Республика Адыгея;100;100;-;100;100;100;-;-;-;-;33,3;-;50,0;-;;;;;;;;;;;;;;;;
Республика Калмыкия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Республика Крым;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Краснодарский край;100;100;66,7;75,0;50,0;66,7;-;-;50,0;100;100;-;-;-;;;;;;;;;;;;;;;;
Астраханская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Волгоградская область;-;-;-;-;100;100;100;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Ростовская область;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
г. Севастополь;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Северо-Кавказский    федеральный округ;-;-;-;100;-;-;-;100;25,0;-;100;100;-;-;;;;;;;;;;;;;;;;
Республика Дагестан;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Республика Ингушетия;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Кабардино-Балкарская Республика;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Карачаево-Черкесская Республика;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Республика Северная     Осетия –  Алания;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Чеченская Республика;…;-;-;100;-;-;-;100;100;-;100;100;-;-;;;;;;;;;;;;;;;;
Ставропольский край;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Приволжский    федеральный округ;61,7;71,0;38,7;58,7;68,1;60,5;59,5;68,4;56,5;40,6;34,6;50,0;39,1;54,5;;;;;;;;;;;;;;;;
Республика Башкортостан;83,3;80,0;50,0;66,7;66,7; - ;;-;50,0;50,0;-;100;-;100;;;;;;;;;;;;;;;;
Республика Марий Эл;-;-;-;-;-;-;-;-; - ;-;-;-;-;-;;;;;;;;;;;;;;;;
Республика Мордовия;100;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;
Республика Татарстан;-;-;-;-;-;-;-;-; - ;-;-;-;-;-;;;;;;;;;;;;;;;;
Удмуртская Республика;71,4;100;80,0;40,0;66,7;60,0;33,3;33,3;33,3;-;50,0;100;-;50;;;;;;;;;;;;;;;;
Чувашская Республика;-;-;-;-;-;100;100;100;100;-;-;-;-;-;;;;;;;;;;;;;;;;
Пермский край;66,7;70,6;41,2;44,4;77,8;88,9;88,9;81,8;66,7;66,7;50,0;100;83,3;80;;;;;;;;;;;;;;;;
Кировская область;54,2;71,9;28,0;70,8;79,2;60,0;56,2;70,6;62,5;40,0;44,4;30,8;25,0;36,4;;;;;;;;;;;;;;;;
Нижегородская область;0,0;25,0;50,0;33,3;;50,0;100;50,0;28,6;20,0;25,0;66,7;-;-;;;;;;;;;;;;;;;;
Оренбургская область;-;-;-;-;-; - ; - ;-; - ;-;-;-;-;-;;;;;;;;;;;;;;;;
Пензенская область;100;-;-;-;-; - ;50,0;50,0; - ;-;-;-;-;100;;;;;;;;;;;;;;;;
Самарская область;-;-;-;-;-; - ; - ;-; - ;-;-;-;-;-;;;;;;;;;;;;;;;;
Саратовская область;-;-;-;-;-; - ; - ;-; - ;-;-;-;-;-;;;;;;;;;;;;;;;;
Ульяновская область;50,0;-;-;100;-;25,0;25,0;100;100;50,0;33,3;50,0;50,0;50;;;;;;;;;;;;;;;;
Уральский    федеральный округ;71,4;47,4;41,2;30,8;53,8;46,7;53,8;55,6;33,3;46,7;55,6;14,3;16,7;50;;;;;;;;;;;;;;;;
Курганская область;100;-;-;-;-;-;-;-; - ;60,0;60,0;-;-;-;;;;;;;;;;;;;;;;
Свердловская область;68,8;50,0;55,6;50,0;66,7;50,0;40,0;40,0;50,0;50,0;50,0;-;-;50;;;;;;;;;;;;;;;;
Тюменская область;70,0;33,3;33,3;20,0;50,0;50,0;71,4;75,0;25,0;20,0;50,0;50,0;100;100;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;71,4;25,0;50,0;-;-;50,0;50,0;-;25,0;20,0;50,0;-;-;-;;;;;;;;;;;;;;;;
