Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;
"4.9. ЧИСЛО ПРОФЕССИОНАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ПОДГОТОВКУ КВАЛИФИЦИРОВАННЫХ РАБОЧИХ, СЛУЖАЩИХ в 2000-2015 гг. 1);2)";;;;;;;;;;;;;;;;
(на конец года);;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Ханты-Мансийский      автономный округ – Югра;22;22;23;23;24;24;19;15;14;8;7;6;5;4;2;2
Ямало-Ненецкий автономный     округ;8;8;8;7;7;7;7;6;6;5;6;6;6;4;1;1
Тюменская область    без автономных округов;44;43;42;42;37;37;27;24;22;22;21;20;18;3;3;3
Челябинская область;113;113;111;107;107;107;107;121;94;90;90;62;38;11;6;6
Сибирский    федеральный округ;544;545;544;537;526;529;504;536;480;469;430;375;321;250;206;118
Республика Алтай ;7;7;7;7;7;7;6;7;7;7;7;4;4;4;4;4
Республика Тыва;13;13;13;13;13;13;13;13;16;13;13;13;9;6;3;3
Республика Хакасия ;19;20;21;20;20;20;19;19;19;19;19;17;15;10;10;6
Алтайский край ;74;74;73;73;73;73;70;70;70;68;59;51;46;41;35;23
Красноярский край ;89;91;92;93;93;92;89;110;81;79;75;75;75;74;64;4
Иркутская область;66;68;67;65;57;63;63;74;59;58;50;38;33;26;23;16
Кемеровская область;88;87;86;85;83;83;72;67;66;65;61;58;42;11;11;11
Новосибирская область ;84;86;86;85;84;82;77;76;73;72;69;48;31;29;24;24
Омская область;66;61;61;59;59;59;59;58;55;55;46;42;41;35;23;23
Томская область;38;38;38;37;37;37;36;42;34;33;31;29;25;14;9;4
Дальневосточный        федеральный округ;301;300;300;300;301;280;269;272;237;222;199;175;160;150;111;83
Республика Бурятия;43;43;43;43;43;42;42;39;33;29;17;11;9;7;7;7
Республика Саха (Якутия);31;32;32;32;34;36;35;32;29;29;29;28;28;28;25;13
