Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.1. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ ;;;;;;;;;;;;;;;;;;
 (миллионов рублей);;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Валовой региональный продукт по субъектам Российской Федерации (валовая добавленная стоимость в текущих основных ценах) – всего ;5753671,6;7170968,2;8741219,2;10742423,3;13964305,4;18034385,2;22492119,6;27963955,6;33908756,7;32007228,1;37687768,2;45392276,7;49926068,7;54103000,3;59188270,3;65750633,6;69237704,4;74926791,6
Центральный федеральный округ;1841498,9;2243525,0;2878664,5;3577142,5;4617086,1;6278359,2;7965169,5;10208917,7;12674395,4;11405184,0;13444440,1;16062123,8;17432294,6;19160905,7;20866362,0;22663758,1;24139990,1;26164236,7
Белгородская область;42074,5;49941,8;62404,4;76054,5;114409,3;144987,8;178846,1;237013,3;317656,3;304345,3;398361,4;507839,8;545517,2;569006,4;619677,7;693379,4;729083,8;785646,7
Брянская область;24650,5;30110,3;37374,1;43700,3;51003,4;66692,3;82100,4;102706,2;125834,4;126477,4;147024,0;174211,8;207397,5;219502,8;242722,4;271782,5;281131,0;307708,4
Владимирская область;33017,7;42075,4;50359,9;61818,6;74207,0;86926,8;112841,7;146663,0;175395,7;185824,6;224759,2;261222,6;286018,6;306641,4;328064,2;368489,2;393775,1;415569,1
Воронежская область;49523,9;60014,6;83001,1;100143,3;117197,6;133586,6;166176,5;222811,9;287072,1;301729,1;346568,2;474973,9;563965,4;611720,4;717667,2;805969,6;817283,0;865222,7
Ивановская область;16900,0;22175,9;26981,3;33214,6;40159,4;44415,4;55090,0;74752,0;86980,3;87061,9;109884,5;128905,4;136115,0;158228,7;151876,8;180517,5;178895,9;185846,8
Калужская область;23903,3;31860,0;37283,1;48792,7;57993,8;70953,9;86150,5;111869,0;150394,4;154946,1;188601,3;234749,0;285256,6;292841,0;326459,5;339760,8;372345,1;417065,0
Костромская область;16662,2;22221,5;25952,9;29692,1;37787,4;44684,7;54351,1;65700,4;81040,7;78920,7;98130,7;116629,8;130840,4;139015,9;146731,5;160579,8;158127,5;165857,6
Курская область;30167,7;36399,8;45309,4;56383,1;76506,1;86624,9;104035,7;128799,0;167865,8;161570,9;193648,6;228851,4;248213,1;271542,5;298287,3;336999,4;362393,8;387577,2
Липецкая область;48067,7;50574,1;70590,5;96241,9;141778,3;145194,4;179057,3;209821,5;259532,2;226662,0;248544,9;287816,8;293301,3;315685,4;398464,5;448994,3;483653,3;497981,0
Московская область;176693,6;235159,6;312950,0;412089,3;535204,4;708062,1;934328,9;1295649,9;1645753,0;1519446,3;1832867,3;2176795,3;2357081,9;2545951,5;2742886,1;3180924,6;3662299,8;3802953,2
Орловская область;22160,8;27624,8;35657,4;42073,3;46042,3;53181,9;64801,6;77101,2;96669,9;90623,6;106196,7;131198,2;146103,2;164797,0;178822,5;208237,9;215356,5;214310,0
Рязанская область;27956,5;37054,3;45797,5;59607,2;69996,0;84382,7;105491,9;121305,2;150151,2;153634,1;179127,9;214142,6;253881,6;279286,5;295611,7;323131,8;334299,1;360573,1
Смоленская область;28140,6;36016,3;42166,1;49085,7;56113,9;65525,6;79043,4;95703,4;121601,3;125348,9;154681,1;180811,5;201817,0;225887,1;234710,1;256706,8;263301,6;281852,6
Тамбовская область;23387,3;31086,6;38897,8;46877,7;56775,0;63614,8;79766,2;106039,6;120836,0;136323,9;143902,4;173283,1;203331,5;236335,9;285656,5;317213,7;297740,2;300553,7
Тверская область;35341,1;46986,4;55732,6;68805,3;88081,5;96897,4;127363,8;156034,6;192283,0;197687,0;219004,9;255073,0;268063,9;298669,2;316613,2;329616,0;361522,2;384036,5
Тульская область;42061,3;52891,2;65416,3;72258,0;88119,6;116221,2;142240,1;174110,9;231730,8;214925,4;237629,2;279879,3;311240,3;348034,8;411122,3;477537,8;518687,2;555941,9
Ярославская область;41756,2;61149,6;75313,4;92073,4;112438,7;131252,1;153251,5;186577,5;214946,3;212684,4;239644,0;286967,5;327279,6;362861,8;391462,8;443054,1;472344,0;510631,5
г. Москва;1159034,0;1370182,8;1767476,7;2188231,5;2853272,4;4135154,6;5260232,8;6696259,1;8248652,0;7126972,4;8375863,8;9948772,8;10666870,5;11814897,4;12779525,7;13520862,9;14237751,0;15724909,7
Северо-Западный федеральный округ;578504,7;709025,1;886843,2;1091026,5;1474882,0;1799780,2;2198608,0;2770190,2;3388222,1;3415870,7;3943053,7;4785458,7;5247508,5;5553389,2;5945311,3;7204794,8;7726085,0;8195347,2
Республика Карелия;28214,6;33721,2;41362,4;46588,9;53964,1;77124,8;84228,3;104603,3;115208,2;105924,1;120511,3;154953,7;160841,5;178636,2;191192,1;212049,5;231437,5;252717,4
Республика Коми;59473,1;78276,5;86019,4;107149,0;131588,0;171307,2;218490,7;241150,5;291812,1;302629,2;353853,0;435959,3;479051,3;482329,9;484166,5;528403,4;547665,4;574376,7
Архангельская область;61806,9;67274,7;83158,8;103951,3;142564,7;166433,4;215932,7;268672,1;289755,9;323606,8;372804,8;439116,8;472470,9;500095,1;542695,3;627698,1;680482,3;743562,8
в том числе:;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;11924,0;11883,5;16480,8;25040,6;39586,7;44718,3;67248,4;97838,3;91476,4;130177,7;145928,3;165431,3;157067,1;173170,2;187009,8;227193,5;254851,6;276485,1
Архангельская область без автономного округа;;;;;;;;;;;;273685,5;315403,8;326924,9;355685,5;400504,6;425630,7;467077,7
Вологодская область;69195,5;65425,3;80731,9;107544,6;161378,6;193966,1;201939,2;243336,3;294926,2;213396,9;262432,7;323067,9;355291,3;346227,6;387211,7;478893,0;477220,4;508256,1
Калининградская область;23290,3;32327,2;40120,3;46757,7;66552,1;81837,6;103138,7;143927,7;179266,7;169519,6;195749,1;241004,8;265361,2;275885,8;314088,3;349818,6;385499,1;417445,6
Ленинградская область;56001,9;75858,6;94747,0;121222,3;166445,0;205416,9;265260,4;309028,6;383255,4;430395,5;490303,7;581712,0;672066,9;678718,3;703325,6;849616,6;916452,6;965826,5
Мурманская область;55135,0;57569,3;68445,4;80604,1;124972,0;132870,2;158127,0;191584,6;213733,5;202235,5;233438,9;263811,7;283846,2;306578,7;328291,8;401582,7;432362,8;445795,1
Новгородская область;20965,5;27501,0;31466,8;38081,7;49242,3;63848,3;74923,8;86664,9;115141,3;117710,0;127407,8;153419,7;170605,7;178818,1;209304,4;234075,7;243392,9;269357,3
Псковская область;16178,9;19416,9;24098,9;29488,4;35816,0;40582,9;51464,9;61561,9;73283,2;74647,8;87066,0;100498,5;107547,5;114676,2;123825,6;135239,5;145554,1;151607,4
г. Санкт-Петербург;188243,0;251654,4;336692,3;409638,5;542359,2;666392,8;825102,3;1119660,3;1431839,6;1475805,3;1699486,4;2091914,3;2280426,0;2491423,3;2661210,0;3387417,7;3666017,9;3866402,3
Южный               федеральный округ;329695,3;426507,8;519019,2;616085,3;766851,3;936055,9;1195194,5;1577082,9;2001111,5;1994912,5;2337936,9;2777791,9;3185419,8;3574075,7;4146212,1;4636315,5;4999316,6;5361878,8
Республика Адыгея;5519,6;6641,8;7909,9;9849,3;12493,2;17029,1;21132,4;29085,1;36134,4;41511,5;47194,5;56803,3;65300,4;70862,3;75622,5;84306,0;90384,1;99405,9
Республика Калмыкия;6212,6;6732,0;7272,3;6539,5;8518,5;9685,7;12844,1;17225,8;20789,7;23948,1;24404,1;29318,7;35897,8;41165,9;46680,6;51958,5;61403,4;66511,6
Республика Крым;;;;;;;;;;;;;;;189439,2;265970,6;327739,3;359110,4
Краснодарский край;137125,3;179177,5;217727,6;248565,5;313623,6;372929,8;483950,7;648211,3;803834,1;861603,3;1028308,4;1244652,8;1459490,8;1662969,1;1784833,5;1933512,1;2076603,8;2225917,7
Астраханская область;28115,7;32274,3;40994,9;50659,8;56710,9;70127,6;85112,1;100359,2;147549,1;134418,2;144888,8;172616,6;209654,4;273917,1;296319,3;322303,0;346779,4;420961,1
Волгоградская область;63767,1;82919,7;104341,2;128622,2;154337,7;203232,2;252142,7;331766,8;416678,5;377514,3;433473,7;508433,3;571516,1;607472,2;715409,6;740458,0;746794,8;771441,2
Ростовская область;88955,0;118762,5;140773,3;171849,0;221167,4;263051,5;340012,5;450434,7;576125,7;555917,1;659667,4;765967,2;843560,3;917689,1;1007758,8;1189144,0;1283748,1;1347142,8
г. Севастополь;;;;;;;;;;;;;;;30148,6;48663,3;65863,7;71388,1
Северо-Кавказский       федеральный округ;105178,0;142442,1;174564,1;220169,6;275606,3;352070,0;457117,5;573220,1;728230,9;786670,9;891834,3;1066319,6;1209038,8;1397672,6;1577951,5;1709050,7;1779373,6;1864722,9
Республика Дагестан;20921,1;31544,0;41441,0;57626,7;80712,4;90442,6;124153,5;156928,8;216277,2;257832,7;274354,2;330322,8;374710,3;452882,2;528131,3;569297,3;582901,0;623392,6
Республика Ингушетия;2618,5;3604,3;3582,1;4756,6;6210,4;7419,3;9033,5;16812,4;19172,9;18953,3;19929,1;26858,9;37413,9;45766,7;51908,2;50091,0;52201,6;55614,3
Кабардино-Балкарская Республика;14081,3;19443,3;22774,5;25997,4;29052,9;36833,4;43309,7;48908,7;58093,4;65660,1;77086,4;90594,5;106711,2;110971,5;116886,0;120528,8;135416,7;138489,2
Карачаево-Черкесская Республика;5461,5;7324,8;10234,5;11481,1;13127,2;16724,3;23260,1;27469,7;35714,2;38584,1;43651,5;49252,1;58712,1;66106,6;65326,6;67482,7;71382,1;74670,6
