Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;;;;;;;;;;;
4.10. ЧИСЛО ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ, ОСУЩЕСТВЛЯЮЩИХ ОБРАЗОВАТЕЛЬНУЮ ДЕЯТЕЛЬНОСТЬ ПО ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ СРЕДНЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ 1);;;;;;;;;;;;;;;;;;;
(на начало учебного года);;;;;;;;;;;;;;;;;;;
;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019
Российская Федерация;2703;2684;2816;2809;2805;2905;2847;2799;2784;2866;2850;2925;2981;2709;2909;2891;3552;3590;3311
Центральный федеральный округ;716;708;743;744;730;758;760;773;783;798;796;798;802;723;749;697;748;756;720
Белгородская область;25;25;26;25;25;23;23;23;23;23;27;27;35;38;36;35;38;37;34
Брянская область;28;28;29;28;29;30;28;29;27;26;26;25;29;33;30;35;36;27;25
Владимирская область;31;32;34;33;33;33;30;30;29;34;35;35;34;32;35;36;42;42;37
Воронежская область;42;44;50;49;48;50;50;48;48;46;41;44;45;45;44;41;52;43;52
Ивановская область;29;30;31;31;29;29;27;23;23;24;24;24;22;21;35;36;38;38;36
Калужская область;27;27;29;28;27;28;28;26;24;26;33;33;35;29;32;34;31;29;29
Костромская область;20;19;20;20;19;19;19;19;22;23;26;27;26;28;28;25;32;29;27
Курская область;30;31;31;31;31;32;33;34;34;33;34;33;31;26;28;26;30;30;28
Липецкая область;23;22;22;21;21;21;21;22;22;22;20;20;19;19;20;21;33;34;30
Московская область;106;100;106;109;109;113;118;117;120;124;119;122;127;93;100;81;62;77;82
Орловская область;17;17;15;15;15;15;14;14;14;14;18;18;22;19;20;19;23;22;19
Рязанская область;28;28;28;28;29;30;30;30;29;41;36;35;33;30;31;31;36;36;32
Смоленская область;25;27;36;35;31;33;28;30;33;33;40;40;39;40;38;32;30;32;29
Тамбовская область;29;26;26;29;27;26;26;31;31;30;32;32;28;28;26;23;28;29;25
Тверская область;42;42;44;43;42;42;43;42;43;41;43;43;40;36;45;42;51;52;47
Тульская область;42;41;41;42;42;43;43;42;44;40;43;43;42;40;37;34;37;38;37
Ярославская область;31;30;33;32;28;31;35;32;32;30;31;29;34;36;37;35;54;51;45
г. Москва;141;139;142;145;145;160;164;181;185;188;168;168;161;130;127;111;95;100;106
Северо-Западный       федеральный округ;242;230;242;234;242;262;240;242;237;245;237;252;261;248;276;263;346;347;314
Республика Карелия;16;16;16;15;15;14;15;14;14;15;14;15;16;16;17;19;21;21;19
Республика Коми;20;19;21;20;22;22;23;20;20;20;22;26;25;24;25;25;33;34;30
Архангельская область;32;27;27;27;28;37;30;31;33;30;31;30;35;32;37;32;55;54;45
в том числе: ;;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3;3;3
Архангельская область  без автономного округа;30;25;25;25;26;35;28;29;31;28;29;28;33;31;35;30;52;51;42
Вологодская область;28;27;28;28;28;28;28;27;27;30;34;38;40;37;38;34;42;42;35
Калининградская область;13;13;20;16;14;18;15;16;14;18;16;20;17;16;15;15;18;19;18
Ленинградская область;15;14;14;14;15;19;20;27;28;28;25;29;31;26;29;29;31;31;29
Мурманская область;13;12;13;12;11;12;12;15;16;16;16;16;24;21;20;19;22;22;21
Новгородская область;10;10;10;10;10;11;11;11;10;11;11;12;13;16;18;17;19;21;19
Псковская область;16;16;16;16;16;15;15;14;14;14;13;13;12;11;17;9;18;17;15
г. Санкт-Петербург;79;76;77;76;83;86;71;67;61;63;55;53;48;49;60;64;87;86;83
Южный            федеральный округ;213;214;227;224;222;240;221;212;209;234;206;204;212;210;255;269;398;397;370
Республика Адыгея;4;4;4;4;4;5;4;4;4;4;4;4;4;4;7;4;7;8;8
Республика Калмыкия;7;6;7;7;7;10;8;6;7;6;6;6;5;4;7;7;8;9;8
Республика Крым;;;;;;;;;;;;;;;22;25;39;36;37
Краснодарский край;66;69;74;72;74;84;74;77;77;89;77;74;74;75;80;88;116;121;113
Астраханская область;20;21;25;23;21;21;20;16;15;17;16;16;17;15;15;16;20;20;17
Волгоградская область;47;47;47;48;46;49;49;43;42;50;39;41;47;43;51;49;73;66;58
Ростовская область;69;71;70;70;70;71;66;66;64;68;64;63;65;69;69;73;124;127;120
г. Севастополь;;;;;;;;;;;;;;;4;7;11;10;9
Северо-Кавказский     федеральный округ;100;99;107;106;109;105;110;104;108;104;122;133;151;126;138;159;189;211;215
Республика Дагестан;29;29;30;28;28;28;29;27;34;27;33;32;33;21;21;30;40;47;52
Республика Ингушетия ;4;4;6;4;4;4;4;4;4;4;4;4;7;8;8;9;9;10;12
Кабардино-Балкарская     Республика;10;4;3;1;-;-;-;-;-;-;-;4;8;5;9;6;11;12;12
Карачаево-Черкесская    Республика;9;7;7;8;7;7;7;6;6;7;7;7;7;2;5;12;13;14;15
Республика Северная  Осетия – Алания;14;14;13;14;14;13;14;14;14;13;12;12;15;11;12;12;22;22;22
Чеченская Республика;…;…;4;4;8;7;8;8;9;10;11;8;15;22;21;20;23;27;29
Ставропольский край;34;41;44;47;48;46;48;45;41;43;55;66;66;57;62;70;71;79;73
Приволжский     федеральный округ;649;649;695;700;708;752;744;709;711;723;741;750;735;673;685;677;841;835;747
Республика Башкортостан;83;84;92;90;87;87;85;98;90;100;88;85;80;71;71;70;114;112;97
Республика Марий Эл;14;14;15;15;14;14;17;16;20;24;24;25;24;23;22;24;27;27;24
Республика Мордовия;21;21;21;21;21;21;19;19;19;26;28;31;29;30;30;29;30;29;28
Республика Татарстан;68;67;70;71;68;77;76;72;84;76;100;100;100;92;99;105;102;101;91
Удмуртская Республика;42;36;39;39;40;39;37;35;32;33;42;42;41;40;40;45;58;59;49
Чувашская Республика;27;28;30;27;29;28;28;25;22;25;24;24;27;24;27;23;30;30;26
Пермский край;73;73;76;78;80;81;84;74;72;72;77;74;70;70;68;70;79;82;73
Кировская область;42;34;48;49;49;47;44;51;49;58;48;53;54;44;50;48;59;56;50
Нижегородская область;63;78;80;83;92;97;99;94;93;88;83;84;83;79;78;72;83;81;77
Оренбургская область;45;45;45;46;46;51;51;38;38;39;36;37;41;35;47;44;52;52;45
Пензенская область;32;32;33;33;32;32;33;31;40;35;37;39;28;23;19;16;28;28;25
Самарская область;66;63;70;71;71;79;73;69;71;70;73;79;82;67;67;68;73;71;70
Саратовская область;44;42;42;43;44;58;57;45;44;41;46;42;42;39;34;30;60;61;53
Ульяновская область;29;32;34;34;35;41;41;42;37;36;35;35;34;36;33;33;46;46;39
Уральский     федеральный округ;238;234;248;247;240;248;248;247;233;252;235;256;267;237;257;251;279;280;252
Курганская область;25;25;27;25;24;24;24;23;20;21;21;21;18;18;21;21;22;21;20
Свердловская область;98;95;101;100;93;99;100;98;95;110;107;108;116;113;117;119;129;133;121
Тюменская область;48;48;51;53;54;55;54;53;45;45;45;49;49;47;51;51;55;53;50
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;16;17;19;21;21;23;22;22;18;20;20;23;23;22;24;23;25;24;17
Ямало-Ненецкий автономный округ;10;9;9;10;10;9;9;10;8;6;6;6;6;5;6;7;9;9;25
Тюменская область   без автономных округов;22;22;23;22;23;23;23;21;19;19;19;20;20;20;21;21;21;20;8
Челябинская область;67;66;69;69;69;70;70;73;73;76;62;78;84;59;68;60;73;73;61
Сибирский      федеральный округ;366;363;370;375;377;369;354;347;340;339;345;360;376;352;367;373;494;502;462
Республика Алтай;4;4;4;6;6;7;6;6;6;6;6;7;7;6;8;8;7;8;7
Республика Тыва;7;6;7;7;7;6;6;7;6;7;6;8;11;12;15;15;18;16;15
Республика Хакасия;10;7;8;9;10;9;8;9;9;10;12;12;12;11;10;10;16;17;16
Алтайский край;46;45;46;45;44;47;47;45;43;45;43;46;43;37;38;42;58;58;54
Красноярский край;67;68;69;66;68;64;63;62;62;62;60;59;59;48;60;48;71;80;77
Иркутская область;59;55;60;59;58;58;54;54;53;52;56;61;62;59;62;68;87;87;83
Кемеровская область;55;55;55;54;55;53;53;49;50;50;51;54;68;68;64;66;78;76;67
Новосибирская область;59;60;58;58;60;60;53;53;49;47;47;48;49;48;48;55;74;76;68
Омская область;39;43;42;50;49;45;45;42;42;40;41;42;40;39;34;35;53;52;47
Томская область;20;20;21;21;20;20;19;20;20;20;23;23;25;24;28;26;32;32;28
