Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
 1. НАСЕЛЕНИЕ;;;;;;;;;;;;;;;;;;;
1.25. ЧИСЛЕННОСТЬ ЛИЦ, ПОЛУЧИВШИХ ВРЕМЕННОЕ УБЕЖИЩЕ ;;;;;;;;;;;;;;;;;;;
"(на конец года; человек)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Ленинградская область1); -; -;11;11;16;352;284;223; -;166;127;104;85;119;13730;17914;16628;15750;11002
Мурманская область; -; -; -; -; -; -; -; -; -; -; -; -; -; -;3381;4197;3039;1136;706
Новгородская область; -; -;1;1;-;3;3;2; -; -; -; -; -; -;1398;2241;1248;642;335
Псковская область; -; -; -; -; -; -; -; -; -;9;4;1; -; -;893;793;424;142;74
г. Санкт Петербург; -; -;431;414;386;…;…;…;…;…;…;…;…;…;…;…;…;…;…
Южный          федеральный округ; -; -;431;388;328;235;216;279; -;376;369;271;242;234;29481;47048;28749;17534;11121
Республика Адыгея; -; -; -; -; -; -;4; -; -; -; -; -; -; -;597;1119;867;537;254
Республика Калмыкия; -; -; -; -; -; -; -; -; -;4;4;4;2;2;110;58;36;44;33
Республика Крым;;;;;;;;;;;;;;;2302;219;309;356;295
Краснодарский край; -; -;200;121;115;116;106;97; -;115;119;102;83;85;13811;28759;18211;11163;7590
Астраханская область; -; -; -; -; -; -; -; -; -; -;3;4;3;7;1661;2037;1211;347;51
Волгоградская область; -; -;65;52;50;32;45;73; -;115;103;66;65;55;5552;4902;263;130;84
Ростовская область; -; -;166;215;163;87;61;109; -;142;140;95;89;85;5180;9113;7256;4468;2490
г. Севастополь;;;;;;;;;;;;;;;268;841;596;489;324
Северо-Кавказский      федеральный округ; -; -;78;78;80;87;56;74; -;1669;1975;1678;1128;619;9205;9586;6235;5943;4998
Республика Дагестан; -; -;7;3;2;2; -; -; -; -; -;1; -;8;464;241;220;234;142
Республика Ингушетия; -; -; -; -; -; -; -; -; -; -; -; -; -; -;99;90;76;37;21
Кабардино-Балкарская     Республика; -; -; -; -; -; -; -; -; -;2;3;4; -;40;87;199;192;111;60
Карачаево-Черкесская     Республика; -; -; -; -; -; -; -; -; -; -; -; -; -; -;695;448;165;102;88
Республика Северная Осетия - Алания; -; -; -; -; -; -; -; -; -;1486;1639;1218;1086;556;965;905;707;560;366
Чеченская Республика; -; -; -; -; -; -; -; -; -;69;59;64;39;3;29;28;19;23;11
Ставропольский край; -; -;71;75;78;85;56;74; -;112;274;391;3;12;6866;7675;4856;4876;4310
Приволжский федеральный округ; -; -;71;89;78;63;58;63; -;45;62;97;90;168;39176;47507;35576;19223;13636
Республика Башкортостан; -; -; -; -; -; -; -; -; -; -;1;3;2;5;3558;2544;1899;1420;626
Республика Марий Эл; -; -; -; -; -; -; -; -; -;5;7;6;6; -;455;482;232;141;73
Республика Мордовия; -; -; -; -; -; -; -;1; -;1; -; -; -; -;1348;1163;337;132;86
Республика Татарстан; -; -;65;82;69;55;48;48; -;18;32;42;46;75;4423;5054;3842;2464;1736
Удмуртская Республика; -; -; -; -; -; -; -; -; -; -; -; -; -; -;916;1178;655;294;123
Чувашская Республика; -; -; -; -; -; -; -; -; -; -; -; -; -; -;1277;1346;893;209;110
Пермский край; -; -;3;7;9;8;10;11; -;15;15;30;29;32;2907;4018;1835;372;227
Кировская область; -; -; -; -; -;-; -; -; -;1; -; -; -; -;976;823;347;156;118
Нижегородская область ; -; -; -; -; -;-; -; -; -;1;4;10;1;7;7111;11352;9741;4196;3197
Оренбургская область; -; -; -; -; -;-; -;1; -;3;2;1; -; -;1225;1497;698;403;410
Пензенская область; -; -;3; -; -;-; -;1; -; -;1; -;1;5;2336;2668;1994;442;46
Самарская область; -; -; -; -; -;-; -; -; -; -; -;5;3;12;5976;8164;7730;6865;5621
Саратовская область; -; -; -; -; -;-; -; -; -; -; -; -;2;32;5063;5726;4594;1757;1122
