Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
РОЗНИЧНАЯ ТОРГОВЛЯ;;;;;;;;;;;;;;;;;;;
16.5. ОБОРОТ РОЗНИЧНОЙ ТОРГОВЛИ ПО ТОРГОВЫМ СЕТЯМ1);;;;;;;;;;;;;;;;;;;
" (в фактически действовавших ценах; в процентах от общего объема оборота розничной торговли субъекта Российской Федерации)";;;;;;;;;;;;;;;;;;;
;20092);20102);2011;2012;2013;2014;2015;2016;2017;2018;;;;;;;;;
Ставропольский край;8,8;11,2;12,5;12,3;12,3;11,4;13,2;14,9;16,8;17,1;;;;;;;;;
Приволжский федеральный округ;12,3;14,8;16,8;18,8;20,5;22,3;23,5;26,3;29,0;31,3;;;;;;;;;
Республика Башкортостан;4,4;9,2;10,6;10,6;12,6;13,2;13,5;15,3;20,3;22,6;;;;;;;;;
Республика Маpий Эл;16,1;16,8;23,3;32,0;33,1;33,4;35,6;37,2;41,3;41,1;;;;;;;;;
Республика Моpдовия;7,2;13,8;11,1;13,6;18,4;20,3;22,7;26,9;33,5;37,3;;;;;;;;;
Республика Татарстан;15,5;16,3;18,6;19,1;20,1;21,5;23,4;26,3;26,5;28,4;;;;;;;;;
Удмуртская Республика;15,8;16,0;18,5;20,2;22,3;24,7;21,6;22,2;26,5;29,4;;;;;;;;;
Чувашская Республика;9,5;13,2;15,5;19,3;23,3;25,2;29,1;30,2;34,8;36,5;;;;;;;;;
Пермский край;9,9;12,1;14,8;16,6;20,1;21,7;22,7;25,8;26,3;28,3;;;;;;;;;
Киpовская область;14,6;14,2;19,3;21,0;23,6;25,6;28,2;31,2;33,7;36,9;;;;;;;;;
Нижегородская область;17,6;19,0;19,3;21,9;23,2;24,7;24,9;28,7;32,6;35,1;;;;;;;;;
Оренбургская область;11,9;13,9;15,4;16,4;18,1;19,7;23,1;26,5;29,9;29,9;;;;;;;;;
Пензенская область;12,0;13,9;15,0;16,6;19,7;21,1;21,9;27,0;27,2;30,4;;;;;;;;;
Самарская область;13,3;17,3;19,2;23,0;23,3;26,5;27,9;32,1;32,6;36,1;;;;;;;;;
Саратовская область;16,3;18,2;20,3;25,1;26,4;29,5;31,5;33,7;35,3;36,5;;;;;;;;;
Ульяновская область;15,1;15,6;21,2;22,1;24,6;26,2;26,2;26,6;37,3;42,7;;;;;;;;;
Уральский            федеральный округ;9,4;12,1;13,6;17,7;19,2;21,3;24,8;28,5;31,3;33,6;;;;;;;;;
Курганская область;5,8;8,4;7,9;16,0;24,2;26,4;28,5;32,7;34,3;35,8;;;;;;;;;
Свердловская область;11,6;13,6;15,1;19,8;20,9;23,4;25,1;28,2;30,5;32,6;;;;;;;;;
Тюменская область;6,2;11,0;11,5;13,2;14,6;16,4;21,3;24,1;28,5;31,0;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;2,8;8,3;7,9;12,0;14,3;15,9;21,7;24,6;29,3;31,3;;;;;;;;;
Ямало-Ненецкий автономный округ;0,1;4,5;6,0;6,1;5,0;7,0;10,4;12,0;19,8;23,1;;;;;;;;;
