Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
"20.15. ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ
ОРГАНИЗАЦИЯМИ ЮРИДИЧЕСКИМ ЛИЦАМ1) 
";;;;;;;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Республика Дагестан;7;62;939;535;1050;719;331;422;999;1216;1058;904;2101;3262;4083;6819;7858;7849;7849;7849
Республика Ингушетия ;418;357;1507;146;412;119;0,0;9;1227;1469;1512;1230;1610;1519;1322;41;0,0;0,0;0,0;0,0
Кабардино-Балкарская        Республика;278;289;311;29;24;28;108;153;658;830;830;1802;2829;3889;2964;4404;5071;3788;3906;4451
Карачаево-Черкесская     Республика;0,0;0,0;0,0;15;18;136;150;264;272;236;213;794;750;318;1571;2536;3182;1851;1667;30
Республика Северная Осетия – Алания;36;67;100;114;124;194;74;1574;1725;1513;1065;1899;1882;2106;2249;2632;2602;21;22;40
Чеченская Республика;-;-;-;-;-;-;-;0,0;0,0;0,0;446;12;110;79;103;203;212;617;2447;3588
Ставропольский край;226;385;347;1493;2588;3594;4138;4796;3517;4848;4228;4102;4887;4661;6979;9956;8040;5256;6492;6970
Приволжский      федеральный округ;9224;15564;22445;29135;53223;64636;92002;128001;153870;231654;272697;254776;223299;230166;408829;796104;968134;764892;732848;840090
Республика Башкортостан;1234;1480;2357;3245;8115;6773;15865;31482;31019;43348;45290;46114;46826;46796;82457;114822;110121;65982;56968;51379
Республика Марий Эл;73;27;48;82;190;198;869;1349;2636;2770;2886;2274;2249;1071;2557;4226;5303;186;3936;1315
Республика Мордовия;15;18;5;10;14;333;321;322;98;172;83;173;1736;1658;74;59;41;1441;0,0;307
Республика Татарстан;1997;3912;6565;6351;8274;7498;15965;21980;33832;50960;56201;59265;61653;55337;73402;122183;217033;184542;187145;233480
Удмуртская Республика;563;193;447;607;653;656;2142;4583;4460;4950;3432;3402;1697;994;77071;151577;184356;166453;198144;244188
Чувашская Республика;130;160;604;883;1200;1754;1254;1055;701;9000;7668;6202;2236;2278;2124;4578;6522;3121;3256;3649
Пермский край;827;1906;2736;3814;6675;4169;4394;20105;23218;26219;66973;63147;37913;42854;55775;214933;266641;224439;151729;131956
Кировская область;265;228;423;509;941;1009;2016;3485;6930;11040;9458;8486;4394;2063;3639;1870;2185;2005;6130;7052
Нижегородская область;1651;1501;3477;3619;8374;11724;14415;17963;24610;36224;22214;15815;15770;17204;31463;42532;45926;13351;29654;43205
Оренбургская область;1218;1821;912;484;3207;15969;18903;7127;7101;13036;20195;13732;15412;15162;22459;43201;58981;55677;60408;71649
Пензенская область;37;106;55;261;260;487;333;247;769;2014;2149;1661;763;2185;1084;16202;21229;2810;1553;1357
Самарская область;838;3082;3162;6669;12654;11278;10984;10569;12372;20152;21775;19023;9270;15341;16429;18846;11158;7831;7684;8149
Саратовская область;116;367;411;915;1261;979;1422;2291;3841;8042;5467;4671;5495;4921;6456;6050;10368;6324;10044;20468
Ульяновская область;260;763;1241;1686;1405;1808;3119;5443;2283;3727;8906;10811;17885;22302;33839;55025;28270;30730;16198;21938
Уральский           федеральный округ;12710;22578;36277;30573;45308;65747;81627;102597;144545;265847;232348;219316;260489;287225;436389;731609;1041913;846126;906272;830590
Курганская область;0,0;0,0;2;0,0;146;251;405;182;877;2176;1278;915;110;2203;2778;3675;7022;0,0;0,0;0,0
Свердловская область;2706;4035;8677;11892;17982;26288;41529;50803;71777;145497;147119;129393;133357;163174;229066;340825;453605;294225;375067;298668
Тюменская область;8592;17512;24344;13203;19540;30208;24623;34885;47113;81881;59020;60521;78532;74064;138009;270098;459033;481634;458163;362517
в том числе:;;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский      автономный округ – Югра;-;-;289;1092;1226;198;2435;4991;24958;35444;8104;7096;14753;13504;17750;31664;55086;56775;27291;29168
Ямало-Ненецкий      автономный округ;-;-;1872;240;5142;5608;5464;12626;3682;530;18533;22337;25589;5254;30311;47900;132683;178700;205963;196336
Тюменская область     без автономных округов;8592;17512;22183;11871;13172;24402;16724;17268;18473;45907;32383;31088;38190;55306;89948;190534;271264;246159;224910;137013
Челябинская область;1412;1030;3254;5478;7639;9000;15070;16727;24778;36293;24932;28487;48490;47784;66536;117011;122253;70268;73042;169405
Сибирский        федеральный округ;11814;22233;28865;39140;71082;69808;69825;79122;97746;151773;151582;180924;223564;271834;351749;560376;703839;613855;484594;441535
Республика Алтай;287;1043;2423;2401;5053;6377;4412;3501;8845;5022;5309;4449;5364;3991;1927;1789;1199;886;730;51
Республика Тыва;7;137;20;67;18;6;55;58;33;10;489;21;0,0;434;2804;8333;2516;0,0;2041;2475
Республика Хакасия;262;2063;2059;2299;16271;12315;14231;15787;7694;7299;6288;5006;3045;2914;5471;14879;16926;16667;13045;4203
Алтайский край;148;459;697;1019;946;948;1811;3394;4016;4744;4044;4174;4475;4513;7835;10450;6443;1507;2152;5770
Красноярский край;1738;2983;6767;6085;12836;11000;8461;11561;13495;28987;36862;29072;66373;105689;118937;211174;304809;400218;267792;252341
Иркутская область;3582;7841;9318;13043;16240;20863;19767;18587;27190;43666;24794;23537;28930;31658;32804;35472;63916;29078;32769;8984
Кемеровская область;121;496;1520;4699;11125;7723;8153;14011;19822;37234;51569;91298;92144;102533;156003;239306;275659;142501;136458;127386
Новосибирская область;580;1114;1249;1800;2237;2996;4804;4994;8245;15247;10826;10620;8487;7133;10313;22257;20544;14724;28918;33696
Омская область;1842;5316;2539;3198;2188;2426;3363;3043;4152;5591;9300;10195;8854;9229;14589;15146;10718;519;157;6123
Томская область;3247;781;2273;4529;4168;5154;4768;4186;4254;3973;2101;2552;5892;3740;1066;1570;1109;7755;532;507
Дальневосточный      федеральный округ;6171;16615;25163;50311;49356;31403;40017;44261;57275;64680;92878;95196;116959;150243;199914;385798;461019;281810;287285;285725
Республика Бурятия;289;974;848;2903;3349;2718;2783;3113;2835;2175;1806;1422;1603;3425;4820;1864;1197;715;35;1051
Республика Саха (Якутия);2177;5176;9321;11388;5705;3022;4465;5404;17914;12933;55542;49247;44701;62399;83541;191269;254023;122162;68547;83893
Забайкальский край;223;1059;4088;1303;2911;2950;2816;3186;2357;2310;763;1438;2258;3306;5600;8728;15899;24694;47004;14635
Камчатский край;242;388;626;614;799;1366;2844;2246;1953;4773;3921;3482;6714;8754;10294;16353;17750;6280;5572;27125
Приморский край;1389;1109;2002;3138;4846;4895;4282;4019;5456;9684;7140;9249;11783;15911;12461;32486;33308;23138;61937;32916
Хабаровский край;605;5820;4360;11562;13288;11610;17430;21612;21329;26707;16703;24640;37017;42937;65900;113058;119445;94055;87289;55528
Амурская область;86;358;274;2340;1057;505;965;2075;2794;3971;4093;3915;10110;9280;10020;10571;9510;55;0,0;0,0
Магаданская область;764;828;2047;3310;4113;2119;985;776;2109;1432;2818;1194;374;351;1959;2870;2311;2990;1664;52321
Сахалинская область;383;838;349;1105;676;746;1375;1672;494;695;92;118;935;2488;4032;7698;6081;5028;10677;9079
Еврейская автономная область;1;0,0;0,0;1;2;3;1;1;0,0;0,0;0,0;22;13;284;1231;489;533;375;356;0,0
Чукотский автономный округ;12;65;1248;12647;12610;1469;2071;157;34;0,0;0,0;469;1451;1108;56;412;962;2318;4204;9179
?????;;;;;;;;;;;;;;;;;;;;
1) С 2011 г. – включая задолженность по кредитам, предоставленным индивидуальным предпринимателям.;;;;;;;;;;;;;;;;;;;;
