Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;;;;;;
20.10. ВКЛАДЫ (ДЕПОЗИТЫ) ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРИВЛЕЧЕННЫЕ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ;;;;;;;;;;;;;;;;;;;;
20.10.1. Всего;;;;;;;;;;;;;;;;;;;;
"(исходя из места привлечения средств; на начало года; миллионов рублей)";;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Республика Дагестан;45;59;78;136;136;252;314;337;361;1024;1651;1428;1030;757;967;2239;2807;2518;1942;1862
Республика Ингушетия;2;8;19;0,0;3;37;49;41;43;184;186;128;148;167;206;319;367;268;230;250
Кабардино-Балкарская    Республика;54;79;6;13;25;372;336;321;541;938;1024;1060;1156;1267;1356;2565;3652;2514;2135;2339
Карачаево-Черкесская Республика;26;12;10;20;4;104;106;96;109;300;237;418;2500;2655;398;944;975;622;616;636
Республика Северная Осетия – Алания;61;89;73;125;130;457;556;507;486;832;1038;868;885;990;1016;1860;2363;1871;2017;2271
Чеченская Республика;0,0;0,0;0,0;0,0;0,0;0,0;1;3;5;32;38;58;84;124;160;1762;2058;417;781;782
Ставропольский край;1003;1986;3147;5132;5516;4816;5444;4267;4304;8958;8837;7945;10124;9973;12277;24906;37781;26514;24972;27369
Приволжский    федеральный округ;9576;16460;25706;39843;39984;42036;48326;44381;71754;138139;208924;151132;147637;170363;203643;512856;730272;559876;484977;551008
Республика Башкортостан;1028;1607;3656;5562;3572;4168;5263;4071;5683;22368;75705;25342;16344;18738;18660;46861;53335;43791;38094;53210
Республика Марий Эл;42;79;126;226;241;293;332;347;470;1172;1392;1085;1175;1493;1417;3615;6462;4285;4133;3286
Республика Мордовия;84;142;206;319;314;332;364;354;547;2040;1950;1312;1373;1189;1244;4217;4811;4414;4286;4418
Республика Татарстан;1223;2284;3105;5488;5616;5955;6833;6055;27101;18446;26200;21380;22355;27566;31574;85357;142866;120862;114476;118433
Удмуртская Республика;251;399;770;1214;1324;1234;1402;1144;1169;4128;5140;3260;3367;3998;5033;12111;15919;13838;12815;14393
Чувашская Республика;144;259;387;712;745;743;867;696;894;2574;2802;2562;3068;4158;4314;11095;13561;12913;11677;13265
Пермский край;1201;2939;3303;3738;4697;3776;4642;4338;4291;16481;16634;20585;16463;19615;22019;95761;94980;72183;41936;78142
Кировская область;147;266;371;567;559;582;629;532;729;2064;2598;3612;2836;2870;3660;9922;11085;9546;8527;8645
