Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
16. ТОРГОВЛЯ И УСЛУГИ НАСЕЛЕНИЮ;;;;;;;;;;;;;;;;;;;
ОПТОВАЯ ТОРГОВЛЯ;;;;;;;;;;;;;;;;;;;
 16.8. ОБОРОТ ОПТОВОЙ ТОРГОВЛИ;;;;;;;;;;;;;;;;;;;
16.8.2.  Оборот оптовой торговли организаций оптовой торговли;;;;;;;;;;;;;;;;;;;
(миллионов рублей);;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Дагестан;627;615;841;940;5953;8421;4996;21511;15060;15906;12633;26908;26913;30893;26028;28767;74020;85740;90758
Республика Ингушетия;12;32;21;35;18;63,5;63;106;60;278;252;720;460;1470;2629;4214;3335;5993;7014
Кабардино-Балкарская Республика;1315;1100;1307;1018;1289;1957;2407;4299;5948;8239;12856;15870;15476;12613;15491;19469;17961;21264;21966
Карачаево-Черкесская Республика;832;1237;1789;2369;1822;1719;2000;4568;5471;7134;11089;13154;17422;21108;19129;20338;27766;24571;27978
Республика Северная Осетия – Алания;260;1022;1346;2104;2518;8344;5324;4025;5726;13601;10896;17774;15992;21151;19656;31481;23826;24324;33405
Чеченская Республика;…;…;…;…;…;154;617;1055;1758;5938;3776;358;3420;15988;13395;19886;16554;12120;15347
Ставропольский край;16253;22006;44656;55511;53829;65048;93882;145521;179136;187884;191455;228081;285200;291929;314536;456697;474811;500378;558703
Приволжский федеральный округ;406311;562323;733347;981659;1153867;1508461;1748315;2312817;2879775;2437422;2692194;3118432;3731457;3885117;4473684;5141079;5454680;6066962;6613060
Республика Башкортостан;67047;71981;74869;89797;87314;118834;146562;204292;270948;248549;298998;364508;465724;467091;481098;438087;529156;634949;711559
Республика Марий Эл;4828;5730;6163;6759;7554;8329;13423;22045;27214;27251;32299;38915;45060;66211;77030;89365;94552;103963;91331
Республика Мордовия;3030;3380;3869;5174;5181;7871;10055;16278;14083;19425;24995;26053;42063;47600;70529;84545;102911;96378;98784
Республика Татарстан;27986;35895;58558;74807;97794;161809;154947;199762;294765;337405;346729;410500;605363;643558;835637;1030854;1118163;1281841;1431966
Удмуртская Республика;25208;35913;39150;50770;62948;75844;88401;98983;123486;84747;126799;201229;261001;239219;275842;262764;257084;242194;247483
Чувашская Республика;10351;12159;13764;15375;21120;26956;30454;50972;68514;62062;80734;90879;107261;117551;122321;121876;120516;130173;140555
Пермский край;50921;57492;62129;109193;143235;172829;240766;343966;559951;442272;463695;549758;583977;564422;557134;678034;594623;570783;635505
Кировская область;16808;21447;29330;40574;53886;54296;63019;77241;87702;83945;107041;127452;144473;159957;172377;196847;204119;215409;218600
Нижегородская область;68337;137300;157719;214548;225105;350977;367341;513806;518502;356631;349015;415477;468976;514181;720640;805957;921919;906258;999575
Оренбургская область;23909;17387;20806;25296;18681;23780;34312;51812;79465;57156;77117;84556;115324;120805;122010;150566;153382;197314;218575
Пензенская область;8212;10017;13427;18475;24671;29823;37341;59835;76268;83098;103608;132061;135038;145076;159815;242743;259793;248975;296051
Самарская область;67737;97494;180020;249756;281201;348567;423439;504546;556402;451058;468264;419568;447078;462683;502106;595742;578390;858485;899773
Саратовская область;22552;43310;51896;62476;92926;106392;114770;143095;161206;140236;160752;190661;213735;231668;262291;326753;367189;397663;432858
Ульяновская область;9386;12818;21647;18660;32252;22155;23485;26186;41269;43586;52148;66818;96384;105095;114856;116946;152882;182578;190446
Уральский          федеральный округ;238836;311933;368696;517426;1015756;970224;1657910;1888837;2178765;1869273;2131748;2342846;2482016;2745406;2892322;3332846;3384188;3958752;4274484
Курганская область;4723;6102;9773;12701;13912;15693;19087;25842;28705;30748;44495;49372;49402;55387;54691;61703;61429;54366;68696
Свердловская область;124173;171377;196047;274765;408659;565058;785862;1072129;1222054;1047701;1142739;1153909;1156276;1173270;1226360;1413885;1525666;1731701;1984995
Тюменская область;39394;49531;61177;98063;426853;176716;619578;461610;551797;422370;542156;702528;851112;1010121;937413;971987;876259;1027336;1085302
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ –Югра;27944;34044;37669;52704;62145;73621;82339;96413;99223;88936;111920;147929;197375;227226;193644;181486;159524;152319;153457
Ямало-Ненецкий автономный округ;1627;1887;6049;21149;32910;57298;54315;63762;74067;125202;192517;255296;290573;386019;452854;437148;354821;450034;475468
Тюменская область без автономных   округов;;;;;;;;;;;;;;396876;290915;353353;361913;424983;456377
Челябинская область;70545;84922;101700;131898;166333;212757;233383;329255;376209;368455;402358;437037;425226;506628;673859;885271;920833;1145349;1135491
Сибирский     федеральный округ2);346107;403499;504328;609420;785600;859656;1023426;1431139;1679505;1568597;1825730;2258334;2523886;2642811;3006476;3559828;3792132;4387178;4862610
Республика Алтай;407;537;759;1137;1560;1898;1588;2424;2575;1638;1849;1315;882;790;10719;14176;29219;40807;44091
Республика Тыва;288;396;463;516;550;692;834;810;848;1046;2246;2264;1708;1657;3619;5408;4118;3651;4011
Республика Хакасия;3667;4120;4137;4780;5461;7889;14004;15382;21145;24683;27437;35894;36135;33910;40936;56240;49823;62501;73997
Алтайский край;26219;33917;37295;46209;65117;82442;98734;140403;181730;136486;164255;195047;223776;233561;266006;353378;367611;416046;474289
Красноярский край;30035;36310;48734;69531;95219;111648;142945;178893;263731;258187;243848;296863;335652;382294;396443;488784;582748;681313;772894
Иркутская область;34644;35027;23895;37278;51638;64916;80993;165808;193873;211923;241606;318915;409148;433425;425443;501216;517365;573989;589873
Кемеровская область;63748;99849;136886;164204;226137;190139;193960;283256;308703;249400;339850;485564;470256;402480;448280;454717;481102;677086;805925
