Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;
13. ПРОМЫШЛЕННОЕ ПРОИЗВОДСТВО;;;;;;;;;;;;;
13.2. ОБЪЕМ ОТГРУЖЕННЫХ ТОВАРОВ СОБСТВЕННОГО ПРОИЗВОДСТВА, ВЫПОЛНЕННЫХ РАБОТ И УСЛУГ СОБСТВЕННЫМИ СИЛАМИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ;;;;;;;;;;;;;
13.2.1. «Добыча полезных ископаемых» в соответствии с ОКВЭД1);;;;;;;;;;;;;
"(в фактически действовавших ценах; миллионов рублей)";;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Российская Федерация;3062460;3720887;4488915;5271733;5090973;6217952;8020217;8950066;9213745;9690978;11259542;11730498;
"Центральный
федеральный округ";76390;184869;541418;590703;548343;623877;833562;892151;985154;901805;1052128;1144558;
Белгородская область;40390;41102;56923;62221;35375;73704;110158;94390;96017;84223;81211;88930;
Брянская область;136;142;160;158;172;248;370;409;388;433;425;281;
Владимирская область;552;750;1149;1672;1303;1517;1632;2143;3643;4648;3406;3180;
Воронежская область;988;1477;2024;2816;2865;2737;3100;5618;7982;5246;5250;5601;
Ивановская область;247;364;458;676;429;596;664;740;687;747;933;892;
Калужская область;928;1170;1414;2236;1652;2001;1530;1616;3524;3823;4582;2811;
Костромская область;91,0;91,4;160;230;146;185;254;233;297;287;725;332;
Курская область;21015;21934;26158;33709;16707;38473;53257;48979;50093;43030;44940;49180;
Липецкая область;1203;1972;3408;4124;3084;3046;3655;5140;5618;5434;5002;5072;
Московская область;3784;5215;7497;11931;9612;7184;7456;8514;9101;10078;15495;12273;
Орловская область;71,0;66,6;121;130;93,2;89,9;182;288;136;125;147;107;
Рязанская область;616;688;1056;1239;940;1527;1806;2237;2466;2033;2402;1465;
Смоленская область;620;685;851;1306;950;1104;1270;1777;1990;1398;1026;1404;
Тамбовская область;55,6;34,5;101;82,4;195;97,8;96,9;115;163;158;173;127;
Тверская область;225;469;521;822;384;922;1343;1961;1772;968;1266;1070;
Тульская область;955;1265;1820;2678;1895;1810;2310;3569;4336;5146;5650;4339;
Ярославская область;372;368;440;637;494;581;1433;1086;1135;1176;1224;982;
г. Москва;4141;107079;437158;464034;472047;488055;643044;713336;795805;732853;878269;966513;
"Северо-Западный
федеральный округ";187829;214479;250796;333354;356524;444036;544018;580608;621472;620388;733111;774494;
Республика Карелия;20228;17315;22627;27768;17030;35188;51772;48762;51004;49048;46286;52405;
Республика Коми;78788;95499;91248;125954;127254;166406;204529;237306;248968;249068;295708;295262;
Архангельская область;43465;51683;78514;90815;141694;155734;174092;178971;184482;194882;235592;257676;
в том числе:;;;;;;;;;;;;;
Ненецкий автономный округ;41898;50636;77581;88966;139683;153567;171225;176814;181673;187517;217123;233012;
Архангельская область без автономного округа;1567;1047;933;1849;2011;2167;2866;2157;2810;7365;18468;24664;
Вологодская область;163;207;259;312;288;349;359;437;495;396;589;554;
Калининградская область;12487;12829;13800;15106;13290;13034;16594;17128;15302;13084;14829;14843;
Ленинградская область;4130;5912;7461;11000;8447;8314;9384;15531;15864;14401;13220;11461;
Мурманская область;27036;29477;35362;60270;46719;62384;82722;78944;93187;82163;106426;124267;
Новгородская область;181;245;186;338;547;626;959;1106;1244;1638;2414;3735;
Псковская область;92,3;137;271;409;453;278;441;656;905;983;1250;1056;
г. Санкт-Петербург;1261;1176;1070;1381;801;1722;3165;1769;10019;14726;16798;13234;
Южный            федеральный округ;45331;56939;60989;71021;68996;85290;109798;154963;182819;196154;235937;260939;
Республика Адыгея;568;603;803;1945;816;705;907;1742;2164;1964;2078;2390;
Республика Калмыкия;1062;819;753;676;923;1527;1705;1715;2728;1898;1289;…2);
Республика Крым;;;;;;;;;;2949;8186;12328;
Краснодарский край;10226;13610;10080;13300;13581;17080;18334;18988;20948;22116;26723;39583;
