Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
 3. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;
ДЕНЕЖНЫЕ ДОХОДЫ НАСЕЛЕНИЯ;;;;;;;;;;;;;;;;;;
3.11. ВЕЛИЧИНА ПРОЖИТОЧНОГО МИНИМУМА, УСТАНОВЛЕННАЯ В ЦЕЛОМ ПО РОССИЙСКОЙ ФЕДЕРАЦИИ1) И В СУБЪЕКТАХ РОССИЙСКОЙ ФЕДЕРАЦИИ2)  ;;;;;;;;;;;;;;;;;;
"( за  IV квартал; в среднем на душу населения; рублей в месяц)";;;;;;;;;;;;;;;;;;
;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Московская область;1653;2115;2380;2817;3227;3775;4467;5170;5850;6585;6801;7223;8072;9150;10460;11021;11365;11764
Орловская область;...;...;1728;1980;2333;2629;3176;3743;4145;4813;4966;5236;6443;7334;8419;8739;8932;9513
Рязанская область;1382;1629;1918;2192;2495;2966;3686;4383;4868;5669;5901;6340;6677;7172;8450;8658;8898;9474
Смоленская область;1380;1694;1925;2165;2510;3187;3723;4474;4977;5817;6574;7199;7663;8695;9918;10074;9664;10148
Тамбовская область;1302;1509;1683;2016;2303;2736;3076;3493;3805;4199;4593;4870;5230;6850;7834;8268;8214;8722
Тверская область;1443;1808;2061;2361;2720;2990;3877;4470;4968;5633;5837;6301;7121;8282;9427;9590;9665;10171
Тульская область;1273;1496;1784;2108;2478;2795;3633;4354;4752;5374;5493;6137;6740;7579;8626;9035;9065;9815
Ярославская область;...;1783;1958;2255;2633;2995;3997;4701;5113;5386;5518;6080;6500;7300;8315;8903;8994;9451
г. Москва;2385;2918;3208;3703;4171;5121;5855;6648;7406;8656;9128;9747;10965;12542;14413;15092;15397;16087
Северо-Западный    федеральный округ;;;;;;;;;;;;;;;;;;
Республика Карелия;...;2054;2425;2784;3216;3699;4625;5381;5990;6754;7228;7774;8531;9682;11569;12007;12203;12829
Республика Коми;1989;2404;2823;3229;3750;4525;5167;6198;6798;7556;8226;8293;9496;10817;12069;12128;12539;12948
Архангельская область3);;;;;;;;;;;;;;;;;;
в том числе:;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;2729;3612;4061;4661;5214;5764;6526;8659;10271;11350;12019;12562;15517;16593;18711;19120;20622;20297
Архангельская область    без автономного округа;1806;2217;2505;2866;3574;4060;4907;5661;6210;7308;7722;8159;10243;11323;12880;10944;11380;11816
Вологодская область;...;1859;2026;2354;3011;3450;4073;4851;5270;6066;6346;6847;7474;8578;9678;9980;10234;10698
Калининградская область;1774;1930;2346;2703;3221;3696;4097;4995;5209;5729;5955;6273;7026;8021;9630;9948;10343;10939
Ленинградская область;...;1899;2185;2524;2829;3321;3835;4400;4843;5380;5775;6155;6524;6984;8722;9211;9628;10239
Мурманская область;2359;2996;3377;3798;4820;5333;5930;6960;7579;8432;8737;9315;10113;11627;13582;13562;13787;14649
Новгородская область;...;1791;2053;2401;2825;3225;3964;4617;4924;5569;5801;6183;7166;7915;9221;9751;9886;10407
Псковская область;1345;1571;1820;2060;2471;2951;3559;4247;4603;5254;6113;6406;7337;8518;10008;10417;10184;10623
г. Санкт-Петербург;...;2291;2601;2919;3259;3544;4158;4901;5232;5773;6221;6613;7072;8479;10043;10526;10792;11055
Южный          федеральный округ;;;;;;;;;;;;;;;;;;
Республика Адыгея;1292;1449;1665;2074;2540;2962;3531;4102;4393;4914;5100;5525;6282;7164;8211;8521;8579;9012
Республика Калмыкия;1399;1637;1756;2079;2340;2664;3317;3700;4311;4956;5331;5722;6823;7750;7934;8372;8551;9120
Республика Крым;;;;;;;;;;;;;;6573;9361;9502;9126;9814
Краснодарский край;1400;1676;1910;2278;2739;3278;3832;4458;5253;5737;5976;6332;7155;8027;9261;9603;9925;10228
Астраханская область;1585;1746;1949;2147;2528;2883;3466;4221;4598;5209;5378;5822;6271;7120;8236;8730;9040;9581
Волгоградская область;...;1693;1821;1978;2460;2762;3701;4301;4647;5583;5742;6474;6676;7901;8669;8794;8720;9174
Ростовская область;1384;1715;1961;2180;2648;3086;3728;4339;4744;5442;5824;6233;6988;7967;9109;9414;9262;9657
г. Севастополь;;;;;;;;;;;;;;6356;9237;9713;9713;10422
Северо-Кавказский    федеральный округ;;;;;;;;;;;;;;;;;;
Республика Дагестан;1333;1505;1694;1897;2227;2484;3153;3648;4066;4629;4871;5279;6791;7453;8658;9076;9239;9315
Республика Ингушетия;1753;1897;2026;2193;2568;2839;3172;3986;4439;4800;4959;5081;6803;7396;8567;8881;9111;9992
Кабардино-Балкарская Республика;...;1517;1624;1823;2231;2558;3034;3538;3847;4726;4918;5138;6573;7357;9366;10183;10140;10497
Карачаево-Черкесская Республика;1212;1508;1740;1973;2347;2709;3144;3640;4119;4894;5081;5435;6625;7339;8530;8815;8719;9251
Республика Северная  Осетия-Алания;1237;1445;1535;1841;2091;2638;3029;3570;3895;4776;4984;5468;6496;7284;8578;8896;8742;9014
Чеченская Республика;...;...;2183;2411;2793;3132;3556;4229;4898;5916;6600;6837;6301;6771;8508;8724;9995;10508
Ставропольский край;1389;1680;1962;2244;2594;3050;3523;4331;4820;5539;5802;6259;6543;7154;8027;8148;8248;8622
Приволжский    федеральный округ;;;;;;;;;;;;;;;;;;
Республика Башкортостан;1353;1574;1780;2001;2390;2973;3371;3974;4274;5255;5407;5755;6446;7234;8328;8323;8318;8784
Республика Марий Эл;1324;1562;1748;2001;2305;2789;3277;3933;4292;5098;5114;5427;6198;7201;8428;8682;8742;8849
Республика Мордовия;1343;1680;1821;2190;2454;2816;3260;3867;4228;5007;5352;5610;6260;6997;7863;7776;7824;8503
