Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
8. ЗЕМЕЛЬНЫЕ РЕСУРСЫ И ОХРАНА ОКРУЖАЮЩЕЙ ПРИРОДНОЙ СРЕДЫ;;;;;;;;;;;;;;;
"8.1. ЗЕМЕЛЬНАЯ ПЛОЩАДЬ ПО ВИДАМ УГОДИЙ1) 
";;;;;;;;;;;;;;;
8.1.3. Поверхностные воды, включая болота;;;;;;;;;;;;;;;
"(на конец года; тысяч га)";;;;;;;;;;;;;;;
;2005;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;
Российская Федерация,         млн га;225,1;225,1;225,1;225,1;225,0;225,0;226,8;226,8;226,8;226,8;;;;;
Центральный      федеральный округ;2567,2;2567,2;2569,6;2567,3;2567,0;2565,8;2564,8;2564,8;2564,3;2564,4;;;;;
Белгородская область;47,4;47,4;47,7;47,7;47,7;47,7;47,6;47,6;47,6;47,6;;;;;
Брянская область;107,1;106,8;106,8;106,7;106,7;106,7;106,7;106,7;106,7;106,7;;;;;
Владимирская область;71,5;71,1;71,3;71,1;71,0;71,0;71,0;71,0;71,0;71,0;;;;;
Воронежская область;103,7;104,2;104,4;104,4;104,4;104,4;104,6;104,6;104,6;104,6;;;;;
Ивановская область;115,6;115,5;115,5;115,6;115,6;115,3;115,3;115,3;115,3;115,3;;;;;
Калужская область;49,4;49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6;49,6;;;;;
Костромская область;183,3;183,8;183,8;183,8;183,8;183,8;183,8;183,8;183,8;183,8;;;;;
Курская область;69,4;70,4;70,4;70,3;70,4;70,4;70,4;70,5;70,4;70,4;;;;;
Липецкая область;43,7;43,5;43,5;43,5;43,5;43,5;43,4;43,4;43,4;43,4;;;;;
Московская область;141,6;141,6;141,5;140,2;139,9;142,2;141,1;141,1;140,7;140,7;;;;;
Орловская область;18,2;18,2;18,2;18,2;18,2;18,2;18,2;18,2;18,2;18,2;;;;;
Рязанская область;122,7;122,7;122,6;122,6;122,6;122,6;122,6;122,6;122,6;122,6;;;;;
Смоленская область;169,2;168,9;168,9;168,9;168,9;168,9;168,9;168,9;169,0;169,0;;;;;
Тамбовская область;86,7;86,7;86,7;86,7;86,7;86,7;86,7;86,7;86,7;86,7;;;;;
Тверская область;713,1;713,1;713,4;713,4;713,4;713,4;713,4;713,3;713,3;713,3;;;;;
Тульская область;24,6;24,6;24,6;24,5;24,5;24,5;24,7;24,7;24,7;24,7;;;;;
Ярославская область;496,8;496,6;498,2;496,7;496,7;496,7;496,6;496,6;496,5;496,6;;;;;
