Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;
4. ОБРАЗОВАНИЕ;;;;;;;;;
4.12. ПРЕПОДАВАТЕЛИ И МАСТЕРА ПРОИЗВОДСТВЕННОГО ОБУЧЕНИЯ,  РЕАЛИЗУЮЩИЕ ПРОГРАММЫ ПОДГОТОВКИ КВАЛИФИЦИРОВАННЫХ РАБОЧИХ, СЛУЖАЩИХ;;;;;;;;;
4.12.1. Численность преподавателей1);;;;;;;;;
"(на конец года; человек)";;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018
Российская Федерация;29261;24812;19354;13381;10147;6618;21602;21578;21995
Центральный     федеральный округ;5701;5095;3729;2516;1444;976;4544;4631;5150
Белгородская область;273;229;5;7;8;7;229;230;238
Брянская область;473;444;214;7;6;6;204;180;172
Владимирская область;344;293;200;38;38;34;193;188;153
Воронежская область;425;398;342;312;297;203;326;304;336
Ивановская область;284;263;250;246;8;8;128;147;133
Калужская область;101;81;70;1;6;10;109;79;101
Костромская область;184;115;78;52;41;13;100;125;126
Курская область;311;292;252;71;5;2;276;298;301
Липецкая область;338;317;318;296;265;245;214;194;241
Московская область ;1214;1034;925;701;125;73;728;771;858
Орловская область;283;202;98;48;11;11;111;99;92
Рязанская область;132;101;11;9;11;9;101;113;124
Смоленская область;160;140;107;102;35;6;99;73;119
Тамбовская область;14;12;12;11;11;11;106;122;108
Тверская область;433;425;263;90;94;71;231;199;201
Тульская область;344;332;257;228;224;22;219;210;211
Ярославская область;388;417;327;297;259;245;315;288;281
г. Москва;-;-;-;-;-;-;855;1011;1355
Северо-Западный     федеральный округ;2660;1996;1574;1202;896;612;2115;2123;2168
Республика Карелия;136;118;106;51;5;3;132;108;96
Республика Коми;278;87;82;75;69;62;206;250;226
Архангельская область;418;291;230;134;98;29;306;321;318
в том числе: ;;;;;;;;;
Ненецкий автономный округ;14;12;11;9;10;10;9;8;14
Архангельская область    без автономного округа;404;279;219;125;88;19;297;313;304
Вологодская область;224;120;82;10;8;8;214;188;195
Калининградская область;67;56;22;9;9;10;129;89;80
Ленинградская область;116;61;30;6;3;3;179;174;157
Мурманская область;202;184;12;13;14;12;136;163;164
Новгородская область;131;116;74;20;2;1;80;62;88
