Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;
19. НАУКА И ИННОВАЦИИ;;;;;;;;;;;;;;;;;;;;;;;
19.3. ЧИСЛЕННОСТЬ ПЕРСОНАЛА, ЗАНЯТОГО НАУЧНЫМИ ИССЛЕДОВАНИЯМИ И РАЗРАБОТКАМИ, ПО КАТЕГОРИЯМ  ;;;;;;;;;;;;;;;;;;;;;;;
19.3.1. Исследователи;;;;;;;;;;;;;;;;;;;;;;;
(человек);;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Российская Федерация;425954;422176;414676;409775;401425;391121;388939;392849;375804;369237;368915;374746;372620;369015;373905;379411;370379;359793;347854;;;;
Центральный     федеральный округ;228500;224471;219522;215137;210106;206530;206413;209500;201463;197858;197977;198391;194890;194379;195838;195346;192184;184965;175219;;;;
Белгородская область;984;839;875;773;681;666;702;693;737;822;823;866;916;862;861;1295;1247;1120;932;;;;
Брянская область;1539;1449;1197;1321;1117;1188;1056;1027;1053;711;313;645;627;375;615;396;320;356;320;;;;
Владимирская область;2975;2935;2815;2611;2861;2686;2537;2491;2274;1997;1449;1698;1674;1729;2078;2243;1947;2014;1892;;;;
Воронежская область;6410;6329;6541;6465;6366;7016;6915;6576;6461;6480;5918;6655;6204;6116;6130;5987;5763;5969;6145;;;;
Ивановская область;944;952;955;893;798;679;571;573;491;547;526;463;648;626;685;473;462;404;423;;;;
Калужская область;5339;5248;5120;5668;4559;4487;4534;4778;4709;4614;4609;4561;4438;4488;4601;4271;3789;3055;3023;;;;
Костромская область;141;157;159;141;100;91;79;81;83;78;69;60;74;77;70;66;58;56;100;;;;
Курская область;1077;1024;977;993;867;803;1333;1202;1186;1070;1094;1235;1131;1142;1161;1135;1032;980;1044;;;;
Липецкая область;187;103;89;94;99;119;164;150;156;188;166;162;191;171;218;431;366;331;350;;;;
