Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;
20.  ФИНАНСЫ;;;;;;;;;;;;;;;
20.16.  ЗАДОЛЖЕННОСТЬ ПО КРЕДИТАМ В ИНОСТРАННОЙ ВАЛЮТЕ, ПРЕДОСТАВЛЕННЫМ КРЕДИТНЫМИ ОРГАНИЗАЦИЯМИ ФИЗИЧЕСКИМ ЛИЦАМ1);;;;;;;;;;;;;;;
 20.16.2. По жилищным кредитам2);;;;;;;;;;;;;;;
"(исходя из местонахождения заемщиков; на начало года;  миллионов рублей)";;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Российская Федерация;17871;48327;110815;178141;252274;213975;193116;176323;130598;118057;140809;135446;73511;43948;35027
Центральный    федеральный округ;14212;37289;80721;126349;178514;150285;136942;127715;96446;87846;104526;100538;55245;32275;26172
Белгородская область;30;76;260;397;888;731;637;573;375;312;400;460;172;114;90
Брянская область;33;102;239;375;533;439;332;262;190;194;241;220;111;69;52
Владимирская область;42;178;491;796;1075;854;767;651;444;429;539;474;172;98;88
Воронежская область;27;178;372;618;984;801;654;635;464;442;496;500;222;140;62
Ивановская область;15;69;256;366;583;470;404;392;265;176;196;186;92;58;50
Калужская область;107;334;689;947;1257;1054;893;844;552;532;672;669;330;218;165
Костромская область;5;35;130;173;278;197;166;130;61;58;53;36;7;1;6
Курская область;26;95;239;434;581;487;427;389;247;224;267;233;72;34;34
Липецкая область;17;71;161;312;514;445;390;334;196;147;151;156;46;41;21
Московская область;2596;8117;19260;28597;42985;36877;36428;34191;25120;23190;28019;26715;14645;8391;5812
Орловская область;15;47;107;215;364;303;278;236;162;171;239;239;82;54;41
Рязанская область;14;115;309;412;641;530;422;334;242;268;344;301;171;114;144
Смоленская область;51;227;513;607;768;606;498;449;316;290;335;301;139;93;71
Тамбовская область;12;50;173;357;467;392;330;269;161;161;213;192;71;46;38
Тверская область;20;170;482;753;1280;825;905;871;449;452;620;629;230;157;90
Тульская область;28;188;524;826;1238;1043;890;784;583;518;596;520;234;177;179
Ярославская область;44;81;304;496;717;525;515;531;318;230;254;250;126;82;76
г. Москва;11130;27156;56212;89668;123361;103706;92006;85840;66301;60052;70891;68456;38322;22389;19154
Северо-Западный     федеральный округ;1718;5824;15588;24601;33861;30051;26200;21489;15304;13589;16344;15910;9096;5714;4295
Республика Карелия;6;80;101;181;333;294;259;230;149;136;161;143;68;42;18
Республика Коми;59;137;230;320;471;381;334;258;156;137;145;116;54;30;21
Архангельская область;15;68;158;364;481;374;357;322;275;235;385;290;125;83;65
в том числе: ;;;;;;;;;;;;;;;
Ненецкий автономный округ;-;0,0;0,0;0,0;2;2;2;2;48;27;42;0,0;0,0;0,0;0,0
Архангельская область     без автономного округа;15;68;158;364;479;372;355;320;227;208;343;290;125;83;65
Вологодская область;7;51;125;332;591;530;507;471;293;233;291;251;152;98;39
Калининградская область;56;223;834;1241;2247;2070;1823;1121;714;686;918;953;555;399;346
Ленинградская область;76;495;1204;1740;2413;2291;2293;2013;1302;1211;1350;1249;734;481;390
Мурманская область;32;134;290;359;483;405;323;306;206;156;189;157;109;88;83
Новгородская область;0,0;48;195;325;409;262;247;214;156;107;133;114;48;29;26
Псковская область;5;56;125;161;187;156;155;140;96;89;117;102;23;9;9
г. Санкт-Петербург;1462;4532;12326;19578;26246;23288;19902;16414;11957;10599;12655;12535;7229;4455;3297
Южный                                   федеральный округ;171;648;1983;3825;5588;4713;4209;3900;2850;2710;3629;3693;1708;1138;965
Республика Адыгея;2;9;53;84;176;161;154;145;128;118;117;92;25;18;7
Республика Калмыкия;4;13;58;125;140;109;104;87;65;79;100;82;30;27;6
Республика Крым;;;;;;;;;;;10;9;66;5;5
Краснодарский край;74;244;701;1418;2054;1754;1623;1597;1224;1176;1511;1624;739;503;395
Астраханская область;7;29;65;168;257;206;174;164;96;89;134;114;42;31;23
Волгоградская область;36;170;474;708;981;799;642;582;420;415;535;510;158;80;57
Ростовская область;48;183;632;1322;1980;1684;1512;1325;917;833;1222;1262;648;475;472
г. Севастополь;;;;;;;;;;;0,0;0,0;0,0;0,0;0,0
Северо-Кавказский     федеральный округ;120;331;885;1627;2757;2339;2348;2278;1729;1291;1614;1623;746;542;514
Республика Дагестан;1;8;52;187;302;198;316;255;193;170;243;242;165;114;136
Республика Ингушетия ;-;2;13;7;15;9;36;34;3;3;1;1;0,0;0,0;0,0
Кабардино-Балкарская       Республика;9;34;85;212;340;302;271;313;210;138;227;233;141;99;99
Карачаево-Черкесская       Республика;3;7;35;59;85;86;70;76;63;51;65;57;16;10;9
Республика Северная         Осетия – Алания;11;58;124;182;334;287;256;236;173;174;243;254;68;16;14
Чеченская Республика;-;0,0;2;10;37;38;82;192;339;72;16;10;0,0;31;38
Ставропольский край;96;222;575;970;1644;1419;1317;1172;748;683;819;827;355;272;218
Приволжский    федеральный округ;496;1686;5162;9535;14196;11912;10306;9584;6651;5990;6436;6032;2800;1666;1222
Республика Башкортостан;53;141;484;871;1349;1004;833;759;462;462;471;410;158;119;49
Республика Марий Эл;5;35;142;239;361;261;201;135;126;99;106;92;48;32;17
Республика Мордовия;6;43;191;402;547;449;397;340;218;219;249;246;112;51;54
Республика Татарстан;50;178;513;834;1140;872;751;1152;929;919;369;323;181;83;81
Удмуртская Республика;9;74;175;362;702;587;549;485;333;295;374;330;83;32;11
Чувашская Республика;11;46;239;470;688;627;583;506;362;321;378;364;144;83;59
Пермский край;34;145;434;833;1384;1269;1144;994;637;512;722;762;387;300;256
Кировская область;10;55;168;470;411;373;327;275;211;178;226;169;64;23;14
Нижегородская область;80;261;775;1593;2005;1652;1374;1128;791;672;824;796;363;231;174
Оренбургская область;6;85;243;430;814;657;549;521;340;307;352;272;103;72;45
Пензенская область;6;78;225;388;584;481;415;331;241;225;286;309;161;85;65
Самарская область;178;324;776;1314;2242;2032;1846;1689;1181;1050;1222;1198;693;362;247
Саратовская область;27;150;414;760;1198;985;828;839;494;424;490;461;186;118;79
Ульяновская область;21;71;383;569;771;663;509;430;326;307;367;299;118;76;71
Уральский                             федеральный округ;446;851;1981;3707;5067;4161;3469;3032;2272;2048;2553;2514;1326;893;612
Курганская область;8;19;61;254;227;169;136;91;38;30;43;54;13;0,0;0,0
Свердловская область;101;382;937;1536;2074;1723;1419;1283;915;842;1060;1010;542;357;247
Тюменская область;313;287;597;921;1284;1030;836;731;540;492;626;649;344;210;144
в том числе:;;;;;;;;;;;;;;;
