Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;
9. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ;;;;;;;;;;;;;;;;;;
9.2. ВАЛОВОЙ РЕГИОНАЛЬНЫЙ ПРОДУКТ на душу населения ;;;;;;;;;;;;;;;;;;
(рублей);;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Орловская область;25168,4;31676,1;41322,8;49342,3;54740,1;64180,4;79341,5;95387,1;120531,4;113848,8;134533,8;167464,9;187659,7;213218,2;232961,6;273107,5;284385,8;285354,0
Рязанская область;22070,3;29645,8;37164,2;48977,6;58094,5;70665,8;89010,9;102982,5;128211,5;131891,2;154844,8;186187,2;221430,1;244399,3;259732,0;285257,8;296253,9;320764,0
Смоленская область;25798,1;33575,4;39983,1;47084,3;54178,9;63687,0;77366,8;94432,4;121012,7;125743,1;156567,3;184184,9;206391,7;232503,7;242884,6;266927,2;275444,3;296289,6
Тамбовская область;19133,8;25830,2;32858,4;40133,5;49098,8;55573,9;70416,2;94532,5;108653,3;123512,0;131456,7;159543,0;188418,7;220392,5;268051,7;300289,9;284834,1;289847,1
Тверская область;23073,1;31209,8;37695,3;47233,8;61158,4;68048,7;90517,8;112021,5;139216,2;144257,9;161305,0;189484,3;200327,2;224621,6;239829,4;251633,2;277929,2;297625,2
Тульская область;24291,8;30988,5;38894,3;43541,9;53715,1;71587,4;88476,2;109225,6;146465,6;136851,6;152571,7;180866,3;202302,5;227925,7;270914,9;316248,5;345117,1;371709,4
Ярославская область;29828,0;44116,3;54917,2;67915,1;84008,1;99335,1;117309,2;143936,4;166711,8;165757,6;187875,5;225777,7;257426,7;285331,7;307827,1;348375,7;371537,0;402639,5
г. Москва;115630,5;134435,8;171127,8;209174,1;268390,3;381997,1;477873,0;601146,9;734242,0;628930,3;730774,2;859355,1;895017,9;980986,6;1051559,6;1102496,4;1152350,9;1263698,0
Северо-Западный федеральный округ;40564,9;50157,8;63297,1;78466,3;106667,8;130846,1;160590,9;202974,4;248742,7;251018,3;289611,4;350764,2;383339,4;403612,9;430130,6;520253,4;556774,7;588507,1
Республика Карелия;38539,2;46499,2;57575,7;65708,0;77509,7;112950,3;125613,2;157959,0;175465,8;162649,3;186651,2;241688,0;251981,4;281021,6;301818,1;335944,5;368250,2;404487,6
Республика Коми;56619,5;75534,6;84101,9;106304,1;132733,1;176075,2;229053,7;256586,2;314251,6;329967,4;390740,4;487363,5;541155,3;550386,2;557641,3;613975,0;641525,0;679162,6
Архангельская область;44797,4;49474,0;61989,4;78507,0;109045,7;128965,3;169458,4;212908,3;231492,8;260584,7;302801,3;360165,9;391146,2;417776,4;456985,8;532533,7;581651,6;640787,5
в том числе:;;;;;;;;;;;;;;;;;;
Ненецкий автономный округ;…;…;…;599201,7;944926,1;1067007,7;1605587,4;2336326,5;2184301,8;3100503,1;3465406,9;3913588,7;3685897,1;4035943,2;4329031,1;5210143,9;5806862,4;6288467,9
Архангельская область без автономного округа;;;;;;;;;;;;232540,7;270662,9;283264,5;310817,4;352837,9;377993,7;418370,2
Вологодская область;53432,8;50934,4;63433,6;85259,1;129015,6;156379,7;164130,2;199003,0;242347,7;176179,2;217826,8;269252,8;296726,1;289782,8;324790,3;402652,1;402455,1;430625,5
Калининградская область;24308,8;33797,4;42019,6;49167,4;70426,0;87122,8;110255,4;153964,0;191533,4;180797,2;208193,2;255217,8;279096,9;287695,4;325131,0;359639,7;392825,3;421479,2
Ленинградская область;33265,1;45248,2;56738,1;72578,7;99230,0;122024,2;157122,1;182657,9;226011,0;252890,9;286435,4;336981,3;385686,5;386177,6;397419,3;478065,2;513307,8;535717,3
Мурманская область;59157,8;62965,4;76236,9;91442,1;144469,3;156652,5;190124,3;233765,5;263755,5;251956,9;292926,1;333511,6;361968,4;395213,7;427090,7;525475,7;568975,6;589996,9
Новгородская область;29347,0;38975,3;45178,5;55387,3;72549,3;95286,2;113246,4;132334,8;177472,4;183196,9;200248,6;243031,9;271750,9;286501,8;337279,4;379255,5;396336,2;441932,3
Псковская область;20544,7;25031,4;31547,3;39190,7;48358,5;55772,9;72029,1;87456,7;105449,0;108797,9;128685,1;150199,9;161916,7;174006,5;189383,8;208464,5;225921,3;237125,6
г. Санкт-Петербург;39811,1;53525,3;72059,8;87919,3;116030,9;141795,6;174432,8;235410,3;299436,0;306454,8;349253,6;424643,7;456943,4;490440,5;515556,9;650339,7;697806,1;727210,6
Южный         федеральный округ;23417,9;30388,9;37122,4;44227,0;55215,5;67566,0;86428,1;114085,8;144633,8;144046,0;168773,2;200306,5;229214,5;256444,6;255076,2;283856,1;304869,8;326244,5
Республика Адыгея;12315,1;14858,6;17707,5;22091,7;28133,2;38514,5;48050,2;66366,2;82378,2;94436,5;107297,5;128749,3;147262,9;159096,3;168880,1;187211,1;199777,9;219259,4
Республика Калмыкия;20183,7;22261,8;24676,8;22394,9;29105,7;33017,9;43797,2;58925,2;71450,7;82586,8;84359,4;101873,2;125773,9;145420,8;165949,9;185798,9;220662,8;240454,4
Республика Крым;;;;;;;;;;;;;;;100526,4;139873,3;171623,8;187726,0
Краснодарский край;26713,9;34912,4;42477,6;48572,8;61291,7;72794,1;94244,0;125700,4;155103,6;165555,1;196914,3;236750,6;274995,7;309837,7;328771,2;352601,2;374677,7;398397,2
Астраханская область;27815,3;32037,2;40786,8;50386,3;56357,5;69814,0;84950,0;99999,4;146391,0;133018,5;143388,8;170504,7;206677,1;269821,7;290822,2;315996,9;340398,3;413440,6
Волгоградская область;23340,8;30513,2;38617,7;47934,1;57928,0;76740,6;95683,4;126313,1;159001,5;144303,4;166028,8;195463,7;220755,1;235814,1;279101,4;290186,0;293947,7;305129,9
Ростовская область;20003,8;26817,8;31941,7;39180,4;50678,6;60575,0;78642,0;104603,1;134137,4;129626,0;154127,9;179470,3;198129,2;215923,2;237465,8;280522,0;303222,9;318782,2
г. Севастополь;;;;;;;;;;;;;;;78009,3;119384,5;155887,6;164978,4
Северо-Кавказский      федеральный округ;13802,7;18408,8;22374,6;28078,5;35083,2;39050,8;50434,2;62724,1;78921,5;84493,9;94915,3;112647,6;127042,1;146117,2;163950,4;176399,5;182558,2;190285,1
Республика Дагестан;8489,7;12562,3;16195,5;22168,7;30629,6;33839,8;45741,7;56812,6;77033,8;90542,5;94883,6;113034,2;127528,7;153260,9;177395,3;189575,2;192454,1;204197,4
Республика Ингушетия;6667,9;8000,7;7751,7;10332,4;14024,9;17435,1;21922,4;41340,7;47002,3;46174,4;48239,2;63569,7;85737,9;102241,5;113224,9;106955,7;109523,4;114844,1
