Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;;;;;
18. ИНФОРМАЦИОННЫЕ И КОММУНИКАЦИОННЫЕ ТЕХНОЛОГИИ;;;;;;;;;;;;;;;;;;;;;;;
18.8. ЧИСЛО ПОДКЛЮЧЕННЫХ АБОНЕНТСКИХ УСТРОЙСТВ МОБИЛЬНОЙ СВЯЗИ на 1000 человек населения;;;;;;;;;;;;;;;;;;;;;;;
"(на конец года; штук)";;;;;;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;
Мурманская область;11,0;30,0;115,0;327,0;610,0;1014,4;1210,2;1415,7;1872,1;1885,7;2246,1;2260,9;2239,5;2222,3;2059,7;2158,6;2057,3;1983,6;1921,1;;;;
Новгородская область;9,0;16,0;38,0;186,0;501,0;880,0;1028,1;1267,3;1548,1;1561,8;1852,9;1978,3;1984,1;1971,0;1883,6;1957,2;1874,7;1964,8;1920,4;;;;
Псковская область;4,0;12,0;47,0;154,0;447,0;762,8;971,6;1192,8;1417,1;1434,6;1671,1;1803,3;1731,5;1749,7;1725,3;1820,0;1819,5;1910,3;1861,5;;;;
г. Санкт-Петербург2);54,8;131,0;351,6;556,8;834,3;1149,3;1369,9;1503,7;1782,0;1993,0;2101,3;2272,0;2429,4;2509,1;2560,4;2737,7;2790,2;2766,3;2579,9;;;;
Южный                   федеральный округ;11,0;43,0;126,0;293,0;626,0;1167,4;1039,1;1036,1;1263,5;1262,7;1686,9;1794,5;1803,3;1863,4;1919,0;1758,5;1748,4;1787,2;1746,5;;;;
Республика Адыгея;5,0;7,0;6,0;213,0;343,0;889,5;1180,0;609,0;712,9;712,2;1072,4;1244,5;1226,5;1343,6;1295,9;1154,5;1114,1;1050,2;1030,4;;;;
Республика Калмыкия;...;...;4,0;61,0;195,0;1042,4;1258,3;1010,0;1227,9;1230,4;1571,0;1634,4;1632,5;1726,6;1652,1;1564,6;1486,4;1441,7;1315,0;;;;
Республика Крым;;;;;;;;;;;;;;;…;86,0;146,2;241,2;312,9;;;;
Краснодарский край;18,0;91,0;263,0;507,0;1036,0;1878,23);1228,3;1219,0;1403,1;1397,7;1859,1;2021,9;2017,7;2033,1;2181,6;2443,5;2421,2;2490,3;2439,5;;;;
Астраханская область;10,0;24,0;69,0;229,0;466,0;955,1;1089,8;1178,5;1483,2;1481,5;1885,1;1932,8;1856,9;1931,7;1879,7;1809,5;1692,9;1659,7;1571,2;;;;
