Социально-экономические показатели по субъектам Российской Федерации;;;;;;;;;;;;;;;;;;;
12. ПРЕДПРИЯТИЯ И ОРГАНИЗАЦИИ ;;;;;;;;;;;;;;;;;;;
ФИНАНСОВЫЕ РЕЗУЛЬТАТЫ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ ;;;;;;;;;;;;;;;;;;;
12.7. КРЕДИТОРСКАЯ ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ1);;;;;;;;;;;;;;;;;;;
12.7.2. Просроченная;;;;;;;;;;;;;;;;;;;
"(на конец года; миллионов рублей)";;;;;;;;;;;;;;;;;;;
;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Республика Дагестан;1692;1845;2724;2740;2877;2371;2620;4086;2583;1983;2175;11123;13035;14149;18332;25190;30335;43452;49357
Республика Ингушетия;455;745;442;569;730;674;682;1062;1911;1755;2473;3222;4766;4464;4420;5836;6560;2107;481
Кабардино-Балкарская Республика;5178;6453;7648;8611;8423;7569;7236;4284;3081;2132;2873;3181;5760;7094;6144;9309;9602;13275;9799
Карачаево-Черкесская Республика;2231;2309;2570;2622;2617;2513;3120;2039;1609;1617;1488;884;890;1021;550;8116;4809;4445;10578
Республика Северная Осетия – Алания;2379;3882;4221;4193;3787;3981;3960;3568;3497;5526;5074;8368;6215;3531;3013;4679;5282;7045;7921
Чеченская Республика;…;1533;3042;7179;10810;14477;18663;29417;33755;36347;51169;53656;63831;71241;76449;91020;93833;104956;113538
Ставропольский край;19519;21047;22342;23373;13853;10979;10100;8065;9260;4238;3647;5162;5031;5463;6523;10518;11391;15466;17035
Приволжский федеральный округ;347169;332662;302627;275628;230249;195250;139319;114811;156898;144127;131846;142208;161231;162162;183257;209571;226404;251977;281767
Республика Башкортостан;58036;57371;54806;46989;38351;31757;20408;15878;13978;14520;14292;11699;12185;16313;14692;16925;27135;24500;25359
Республика Марий Эл;12528;13476;13972;12114;5227;4941;3967;3200;3600;3035;1442;1272;1492;1672;1887;1854;2156;1845;2300
Республика Мордовия;7097;6717;6364;6172;5342;3334;2862;3580;3204;3287;1509;2608;2177;1858;3344;2912;3980;2146;2447
Республика Татарстан;35893;31911;35450;32265;27366;21116;18102;14039;25578;24308;19386;20279;23198;24043;20018;16500;15997;15821;24144
Удмуртская Республика;11412;12332;10692;11619;13851;11067;7671;6321;7671;8403;10451;15672;25031;19179;16988;13434;9292;9346;8663
Чувашская Республика;8904;6793;5347;4248;3305;2608;2286;1640;2816;3298;3671;4242;3099;2618;3877;7832;11995;21157;53998
Пермский край;38526;33589;33431;23325;21328;14440;9519;9049;14275;10823;10650;12425;13693;17810;17444;26333;23141;21818;42293
Кировская область;11678;12180;10652;10408;9624;8491;6538;6786;11680;8640;8583;8912;9854;7849;6253;6577;7171;6254;6318
Нижегородская область;33519;35828;23924;24906;20667;18326;14325;14053;30234;26827;24863;26551;24482;25011;31127;38043;34814;50897;55375
Оренбургская область;17774;18753;23519;18316;12230;9190;4927;3406;6429;4777;3787;5651;10841;7075;17432;11163;15485;17023;16483
Пензенская область;11044;11244;10221;8926;7637;6497;5794;4609;4577;3457;3452;2728;2394;6734;5926;6932;4320;3130;3632
Самарская область;52820;44586;27732;21316;19659;24852;19551;15675;16819;16688;14458;14986;17307;15619;21855;41042;50263;55844;23691
Саратовская область;28422;27356;25666;33628;26279;24001;11072;8670;8334;7739;7728;6797;5140;5961;8098;8449;8385;7017;6216
Ульяновская область;19516;20526;20851;21396;19383;14630;12297;7905;7703;8325;7574;8386;10338;10420;14316;11575;12270;15179;10848
Уральский федеральный округ;250580;254142;217867;238575;189796;175554;110513;140076;173797;129830;116809;125211;125152;143808;150763;149804;158068;201670;223416
Курганская область;9334;10298;9398;8035;6269;5297;4438;2939;3385;3260;3687;5720;3142;2338;3631;8989;8439;10303;10599
Свердловская область;71261;66820;51259;44584;36390;33208;31867;25731;30548;32863;30285;32489;35428;43470;45459;64049;70856;84171;72115
Тюменская область;123861;131599;113197;144107;106028;109188;55010;94997;113294;72277;64472;59609;59389;71155;74329;50503;58695;79613;111793
в том числе:;;;;;;;;;;;;;;;;;;;
Ханты-Мансийский автономный округ – Югра;59223;63957;46924;46645;48853;65421;20680;27502;28058;30272;30717;27316;18076;15627;20419;16821;21041;32446;34888
Ямало-Ненецкий автономный округ;55734;56629;48567;41911;48682;37503;27839;61256;79583;36373;29388;27172;34556;29523;18632;17321;11150;10039;27396
Тюменская область без автономных округов;8904;11013;17706;55551;8493;6264;6491;6239;5653;5632;4367;5121;6757;26005;35278;16361;26504;37128;49509
Челябинская область;46124;45425;44013;41849;41109;27861;19198;16409;26570;21430;18365;27393;27193;26845;27344;26263;20078;27583;28909
